 ,名称[string],界面大类[整型](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量),"界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28表,29世界,30对象,32角色,34投掷物，35掉落物101搜索对象 , 102移动, 103攻击 ， 150 内部节点】",形状类型[数值](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量 8.全局变量  9.AI根节点),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],使用场景过滤[string],传参[string],左右值标记[整型]1可读0可读写,返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,参数7类型,参数7默认值,参数8类型,参数8默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见 8 = 不显示）,积木间距值（间距值默认为60，超过60会开始变高）,说明,"生成规则[ 0 =lua ,1=c++]",真排序,节点版本控制：        0： 节点在全版本显示     .2： UGC2.0版本显示   3.  UGC3.0版本显示,备注
ID,Name,Type,Sort,BlockType,SimpleDisplay,Desc,Icon,SceneFilter,TranParam,LeftRightSign,ReturnValue,ParamType1,ParamDefault1,ParamType2,ParamDefault2,ParamType3,ParamDefault3,ParamType4,ParamDefault4,ParamType5,ParamDefault5,ParamType6,ParamDefault6,ParamType7,ParamDefault7,ParamType8,ParamDefault8,Display,HeightPx,Notes,GenerateType,NodeSort,VersionControl,
100001,此生物受到攻击,1,4,1,1,"当 受到攻击时,攻击者存储至%1",20,"1,1,0,1,1,0",,,47,1048|0|0,,,,,,,,,,,,,,,,,,9401001,,1,,
100002,此生物受到道具交互,1,4,1,1,"当 受到其他对象持有的%1交互时,交互者为%2,%3消耗道具",2,"1,1,0,1,1,0",,,,1028|1|0,2|200,1048|0|0,,1012|1|2,5|90001,,,,,,,,,,,,,9401002,,2,,
100003,当 接收广播,1,2,1,1,当 收到广播%1,5,"1,99,0,1,1,0",,,,1090|1|0,,,,,,,,,,,,,,,,,,9401003,1,3,,
100004,当生物听到周边音频,1,4,1,1,"当 听到以%1为中心周围%2格内%3时,音频位置为%4",17,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1005|1|0,1|10,1046|1|0,,1002|0|0,,,,,,,,,,,100,9401004,,4,,
100005,此生物被玩家点击,1,4,1,1,"当 受到玩家点击时,玩家存储到%1",20,"1,1,0,1,1,0",,,,1018|0|0,,,,,,,,,,,,,,,,,,9401058,,5,,
100006,此生物友方被攻击,1,4,1,1,"当 周边%1格内友方被攻击时,攻击者存储到%2",20,"1,1,0,1,1,0",,,47,1005|1|0,1|10,1048|0|0,,,,,,,,,,,,,,,,9401059,,6,,
100007,此生物受到任意道具交互,1,4,1,1,"当 受到其他对象交互时,交互者为%1,交互道具为%2",2,"1,1,0,1,1,0",,,,1048|0|0,,1028|0|0,,,,,,,,,,,,,,2,,9401002,,2,,26寒假
100008,玩家道具事件,1,4,1,2,玩家%1道具时，范围%2格内触发，并存储到玩家变量%3,20,"1,1,0,1,1,0",,,,3027|1|0,5|3270002,1005|1|0,1|10,1018|0|0,,,,,,,,,,,,,,,,7,,
100401,此生物进行攻击,1,4,1,0,当 此生物 开始攻击,20,"0,2,0,1,0,0",,,,,,,,,,,,,,,,,,,,,,,,7,,
100402,此生物攻击命中,1,4,1,0,当 此生物 攻击命中目标,20,"0,2,0,1,0,0",,,,,,,,,,,,,,,,,,,,,,,,8,,
100403,此生物造成伤害,1,4,1,0,当 此生物 对目标造成伤害,20,"0,2,0,1,0,0",,,,,,,,,,,,,,,,,,,,,,,,9,,
100404,此生物击败目标,1,4,1,0,当 此生物 击败目标,20,"0,2,0,1,0,0",,,,,,,,,,,,,,,,,,,,,,,,10,,
100406,此生物属性改变,1,4,1,0,当 此生物 %1属性变化,11,"0,2,0,1,0,0",,,,1035|1|2,5|210001,,,,,,,,,,,,,,,,,,,11,,
100407,此生物发生碰撞,1,4,1,0,当 此生物 碰撞任意玩家/生物,16,"0,2,0,1,0,0",,,,,,,,,,,,,,,,,,,,,,,,12,,
100408,此生物获得状态,1,4,1,0,当 此生物 获得%1状态,21,"0,2,0,1,0,0",,,,1037|1|0,2|4001,,,,,,,,,,,,,,,,,,,13,,
100409,此生物失去状态,1,4,1,0,当 此生物 失去%1状态,21,"0,2,0,1,0,0",,,,1037|1|0,2|4001,,,,,,,,,,,,,,,,100,,,14,,
100410,此生物进入区域,1,4,1,0,当  此生物 进入%1,10,"1,0,0,1,1,0",,,,1001|1|0,,,,,,,,,,,,,,,,,,,,15,,
100411,此生物离开区域,1,4,1,0,当 此生物 离开%1,10,"1,0,0,1,1,0",,,,1001|1|0,,,,,,,,,,,,,,,,,100,,,16,,
100412,内部-当此生物上岸时,1,4,1,0,当此生物上岸时,10,"1,2,0,1,1,0",,,,1001|1|0,,,,,,,,,,,,,,,,2,100,,,23,,2026年4月
100413,内部-当指定生物类型组受到攻击时,1,4,1,0,当%1格内%2受到攻时，攻击者存储到%3对象,10,"1,2,0,1,1,0",,,,1005|1|0,1|10,1069|0|0,,1048|0|0,,,,,,,,,,,,2,100,,,23,,2026年4月
100414,内部-当指定生物类型受到攻击时,1,4,1,0,当%1格内%2受到攻时，攻击者存储到%3对象,10,"1,2,0,1,1,0",,,,1005|1|0,1|10,1032|1|0,2|3400,1048|0|0,,,,,,,,,,,,2,100,,,23,,2026年4月
100415,内部-左右键点击,1,4,1,0,当%1点击时，玩家存储到%2玩家 ,10,"1,2,0,1,1,0",,,,3156|1|0,,1018|0|0,,,,,,,,,,,,,,2,100,,,23,,2026年4月
100416,接收召集消息,1,2,1,1,当 接收到召集消息%1，发送者存储到%2对象,5,"1,99,0,1,1,0",,,,1005|1|0,1|1,1048|0|0,,,,,,,,,,,,,,2,,9401416,1,24,,
100421,当属性发生变化,1,4,1,1,当%1的%2的%3发生变化时,,"1,0,0,1,1,0",,,,1048|1|0,,3002|0|0,,3003|0|0,,,,,,,,,,,,8,,,,17,3,
