行为树ID,显示名称,显示图片,"分类[ 0 = 全部 ,  1 =移动  ,  2 =  战斗 , 3 = 属性 ]",显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 9=都不显示）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,name,icon,subtab,display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7369929886822842103_4,近战攻击,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7373522751519997687_2,远程攻击,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7369895144832384759_3,闲逛,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7373875149291667191_4,飞行生物,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7374701500999417591_1,幸存者,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7375083864757911287_1,陌生幸存者,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7375356019655589623_2,爬行生物,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7376555552481754871_3,持盾生物,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7377318085270454007_1,技能近战生物,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7377589647462645495_3,毁灭日,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7384996709406620182_1,大力士,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7387597969234345719_1,小丑僵尸,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7387672027355430647_1,清除障碍僵尸,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7389192076411027191_1,擒抱僵尸,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7389516552600305399_1,地勤指挥官,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7391009165404815095_1,建筑僵尸,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7392962129983979255_1,远程飞行僵尸,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7395403027617683978_1,寻矿1,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400226653848214026_2,寻矿2,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7437041701465374455_1,寒假demoboss,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7440740510120820471_3,受伤逃跑,3006.png,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7440749469422599927_4,跟随玩家移动,3011.png,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7440734772044513015_1,近战攻击生物,3003.png,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7440737198701035255_2,近战攻击玩家,3010.png,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7440761289172598519_5,远程攻击生物,3003.png,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7440761357892075255_6,远程攻击玩家,3010.png,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7447781052440657655_1,闲逛,3011.png,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7449679290546536183_2,空中飞行,3011.png,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7449679380740849399_3,水中游泳,3011.png,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7449679123042811639_1,陆地行走,3011.png,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7450121848271683319_1,通用_被动攻击,3002.png,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7504942561729724151_1,羽蛇神,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7304173362844684100_1,野人伍长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7322456723446389415_2,野人伍长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7314939174264255974_8,野人投矛伍长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7322456792165866151_3,野人投矛伍长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7316863044734957030_12,野人百夫长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7322457067043773095_4,野人百夫长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7306026262426564070_2,野人投矛百夫长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7322456594597370535_1,野人投矛百夫长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7310533358157313510_2,虚空蛋,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7304173362844684100_1,虚空野人伍长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7316863044734957030_12,虚空野人百夫长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7314939174264255974_8,虚空野人投矛伍长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7306026262426564070_2,虚空野人投矛百夫长,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7304499514071207748_4,虚空野萌宝,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7306407079996831206_11,虚空使徒,1001.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7306443342405711334_13,野人破坏者,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7306443342405711334_13,虚空野人破坏者,1001.png,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7541670016783761143_3,动物警戒,1001.png,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7541617712672030455_1,被吸引,1001.png,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7541681059144679159_5,睡觉,1001.png,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7541663574332817143_2,待机,1001.png,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7543248730797653751_8,狗_飞盘,3014.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
