序号,动作命名,描述,动作id,图标,特效命名,特效索引装扮id（填入则单个播放，不填则都播放）,音效,表情（暂时废弃）,是否为游戏内动作[0=否，1=是],"是否解锁[不填=否,1=是]",货币类型[0=免费，1=迷你币，2=迷你豆],消耗货币数量,"专属[0=装扮,1=Avatar]",装扮id,装扮互动副ID,解锁装扮互动动作皮肤ID,排序权重,"副装扮方位(0,,1上,2下,3前,4后,5左,6右)",副装扮距离  单位:格,界面ID,界面副ID,"界面副方位(0,,1上,2下,3前,4后,5左,6右)",界面副距离  单位:格,界面偏移  单位:像素,界面缩放,备注
ID,Name,Desc,ActID,icon,Effect,EffectSkinID,Sound,FaceID,InGame,,,,SkinType,SkinID,SkinID2,UnlockActSkinID,SortWeight,PosDirect,Distance,SkinID3,SkinID4,PosDirect2,Distance2,SkinOffset,SkinScale,
1,打招呼,挥挥手，打声招呼,100140,icon100140,,,,face_100155,1,,,,,,,,4,,,,,,,,,
2,疑问,小小的脑袋，大大的疑问,100162,icon100162,anim_100162,,,,1,,,,,,,,4,,,,,,,,,
3,哭泣,捂脸大哭,100159,icon100159,anim_100159,,,face_100159,1,,,,,,,,4,,,,,,,,,
4,生气,火冒三丈，气得跺脚,100158,icon100158,anim_100158,,,face_100158,1,,,,,,,,4,,,,,,,,,
5,伸懒腰,有点困，伸个懒腰,100163,icon100163,,,,,1,,,,,,,,4,,,,,,,,,
6,高兴,露出开心的样子,100155,icon100155,,,,face_100155,1,,,,,,,,4,,,,,,,,,
7,感谢,诚恳地鞠个躬,100131,icon100131,,,,,1,,,,,,,,4,,,,,,,,,
8,休闲,四周望望，放松一下,100130,icon100130,,,,face_100130,1,,,,,,,,4,,,,,,,,,
9,倒地,突然倒地,100157,icon100157,,,,,1,,,,,,,,4,,,,,,,,,
10,pose,摆出迷人的招牌动作,100133,icon100133,,,,,1,,,,,,,,4,,,,,,,,,
11,专属动作,柔柔专属动作,100108,icon100108,140072_1,,,,1,,,,0,72,,,2,,,,,,,,,
