地形组ID,地形组名称,晴天时长下限（tick）,晴天时长上限（tick）,恶劣天气时长下限（tick）,恶劣天气时长上限（tick）,恶劣天气1（1=下雨，2=下雪，3=雷暴雨，4=沙尘暴，5=暴风雨，6=暴风雪，7=极光天，8=虚空浓雾，9=流星雨）,恶劣天气1权重,恶劣天气1时长系数,恶劣天气2（1=下雨，2=下雪，3=雷暴雨，4=沙尘暴，5=暴风雨，6=暴风雪，7=极光天，8=虚空浓雾，9=流星雨）,恶劣天气2权重,恶劣天气2时长系数,恶劣天气3（1=下雨，2=下雪，3=雷暴雨，4=沙尘暴，5=暴风雨，6=暴风雪，7=极光天，8=虚空浓雾，9=流星雨）,恶劣天气3权重,恶劣天气3时长系数,恶劣天气4（1=下雨，2=下雪，3=雷暴雨，4=沙尘暴，5=暴风雨，6=暴风雪，7=极光天，8=虚空浓雾，9=流星雨）,恶劣天气4权重,恶劣天气4时长系数,恶劣天气5（1=下雨，2=下雪，3=雷暴雨，4=沙尘暴，5=暴风雨，6=暴风雪，7=极光天，8=虚空浓雾，9=流星雨）,恶劣天气5权重,恶劣天气5时长系数,恶劣天气6（1=下雨，2=下雪，3=雷暴雨，4=沙尘暴，5=暴风雨，6=暴风雪，7=极光天，8=虚空浓雾，9=流星雨）,恶劣天气6权重,恶劣天气6时长系数,恶劣天气7（1=下雨，2=下雪，3=雷暴雨，4=沙尘暴，5=暴风雨，6=暴风雪，7=极光天，8=虚空浓雾，9=流星雨）,恶劣天气7权重,恶劣天气7时长系数,恶劣天气8（1=下雨，2=下雪，3=雷暴雨，4=沙尘暴，5=暴风雨，6=暴风雪，7=极光天，8=虚空浓雾，9=流星雨）,恶劣天气8权重,恶劣天气8时长系数,恶劣天气9（1=下雨，2=下雪，3=雷暴雨，4=沙尘暴，5=暴风雨，6=暴风雪，7=极光天，8=虚空浓雾，9=流星雨）,恶劣天气9权重,恶劣天气9时长系数
BiomeGroupID,GroupName,SunDayMin,SunDayMax,BadDayMin,BadDayMax,BadDay1ID,BadDay1Weight,BadDay1Modified,BadDay2ID,BadDay2Weight,BadDay2Modified,BadDay3ID,BadDay3Weight,BadDay3Modified,BadDay4ID,BadDay4Weight,BadDay4Modified,BadDay5ID,BadDay5Weight,BadDay5Modified,BadDay6ID,BadDay6Weight,BadDay6Modified,BadDay7ID,BadDay7Weight,BadDay7Modified,BadDay8ID,BadDay8Weight,BadDay8Modified,BadDay9ID,BadDay9Weight,BadDay9Modified
1,常见组,54000,162000,6000,18000,1,75,1,3,25,0.6,,,,,,,,,,,,,,,,,,,,,
2,海洋组,35700,107100,6300,18900,1,25,1,3,25,0.6,5,50,0.4,,,,,,,,,,,,,,,,,,
3,沙漠组,38640,115920,3360,10080,4,100,1,,,,,,,,,,,,,,,,,,,,,,,,
4,普通寒带,51000,153000,9000,27000,2,90,1,6,10,0.35,,,,,,,,,,,,,,,,,,,,,
5,高峰寒带,4200,12600,37800,113400,2,50,1,6,50,0.1,,,,,,,,,,,,,,,,,,,,,
6,特殊组,60000,180000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,湿地组,35700,107100,6300,18900,1,50,1,3,50,0.6,,,,,,,,,,,,,,,,,,,,,
8,星尘之境-常规组,12000,30000,18000,30000,7,80,0.8,9,20,0.2,,,,,,,,,,,,,,,,,,,,,
9,星尘之境-恶劣组,24000,36000,24000,36000,7,40,0.6,8,60,0.3,,,,,,,,,,,,,,,,,,,,,
