方块ID,方块名称,预制文件名,英文名称,插件用名称[必填/不能有空格],繁体名称,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,类别,插件编辑[大于0开放插件编辑，1=综合，2=彩色，3=建筑],触发器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],地形编辑器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],成长后替换的模型ID,插件编辑模板[0=不是模板，1=作为模板],变换颜色,鼠标点击碰撞,移动碰撞[0=空气， 1=固体， 2= 液体， 3=不阻挡投射物，4=空气挡子弹，5=不阻挡物理],阻挡水流（0=不阻挡，1=阻挡，2=被流沙同化，3=覆盖阻挡）,"推动标识-0:普通推动后续方块, 1:推动碾碎, 2:不能推动",重力影响方式0:不影响， 1: 沙子会下坠， 2: 流体会往低处流， 3：花草会破坏,PlaceDir(0：没有方向，1：和放置的面相关，类似火把，  2：和自己视线的方向相关，类似楼梯),放置可直接替换,植物标识（填了1就视为是植物方块）,生长时间（生长阶段数|阶段生成时间）,覆雪标识[默认0=不覆雪 1=覆雪],爆炸抗性,硬度,地滑程度,燃烧速度,点燃概率,毒液侵蚀速度,充能状态,掉落物1,掉落概率1,掉落物2,掉落概率2,空手掉落物,空手掉落概率,采集掉落经验,掉落经验概率,掉落的星星数量（数组，两个值随机）,"遮挡旁边块0: 不遮挡， 1: 遮挡， 2： 根据厚度来定,  3: 遮挡相同材质",光衰减,光源强度,使用旁边方块的光照,高度（block),贴图1,贴图2/模型类这里填模型名称,prefab资源（用到prefab资源的方块填此字段）,走在上面声音,挖的声音,放置的声音,精准掉落物品,采集工具/1=斧头，2=镐，3=铲子，5=剪刀,工具等级（1=石，2=铜，3=铁，4=铝，5=钛，6=钴，7=钨）,随机颜色【地形生成树的时候会从三个颜色里等概率随机一个，以012的形式存于blockdata】,小地图颜色,分数,特殊数据1,可被投掷物击碎,特效名字,蓝图方块分类[多类相加，1=不能复制 2=不消耗 4=有方向的方块 8=随机数 16=多方向 32=不能替换],所需材料替换方块[蓝图],物理碰撞（0-无碰撞，1-满1格碰撞，2-不满一格的碰撞，3-门那种， 6-会根据方块data改变形状）,微缩透明度(0全透 15不透明),微缩发光度(0最亮 15不发光),温度源强度（用于计算温度源的热传导）,温度衰减（用于计算温度源的传热衰减）,植物生长温度区间（1=冻结，2=极寒，3=寒冷，4=适宜，5=炎热，6=极热，7=自燃；不在适宜温度区间则会降低生长速度，仅对cropper，flowergrow，melonstem，shrub这几个type生效；0或不填则不开启）,"多格方块类型(0非多格,1多格例如床钢琴箱子等)",韧度值,LOD等级(默认为0，0=强制显示),是否产生阴影(默认为1),是否按屏幕空间大小的方式裁剪(默认是1),破坏中的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,破坏后的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,挖掘附属特效（例如石头-火花）,可否被变向（0没有方向无法变向，1四向，2六、八向，3特殊处理）,自发光颜色,不透明度(0-255),"方块结构标识-0:可被推动、转动, 1:推动、转动碾碎, 2:不能推动、转动",里世界交互标识（0不可被交互，1可被交互）,PBR功能贴图,蓝图方块价值,替换绘制类型（BlockDrawType）,是否可活化,HDR自发光强度系数
ID,Name,PrefabName,ENName,Key,TWName,RegionType,Type,EditType,TriggerType,TerrainEditor,ModelIndex,IsTemplate,TextureGroup,ClickCollide,MoveCollide,BlockFlow,PushFlag,GravityEffect,PlaceDir,Replaceable,CropsSign,GrowthTime,EnablePlaceSnow,AntiExplode,Hardness,Slipperiness,BurnSpeed,CatchFire,CorrodeSpeed,PowerState,ToolMineDrop1,ToolMineProb1,ToolMineDrop2,ToolMineProb2,HandMineDrop,HandMineProb,MineExp,MineExpOdds,StarCount,CoverNeighbor,LightAtten,LightSrc,UseNeighborLight,Height,Texture1,Texture2,PrefabRes,WalkSound,DigSound,PlaceSound,PreciseDrop,MineTool,ToolLevel,RandomColors,MiniColor,Score,UserData1,Breakable,EffectName,BluePrintFlag,ConvertID,PhyCollide,CustommodelAlpha,CustommodelLight,TempSrc,TempAtten,GrowthTempRange,MultiGridsBlockType,Tenacity,LOD,SupportCastShadow,SupportCullByScreenSize,DestroyingParticle,DestroyedParticle,DestroyAdditionalEffect,Directionable,BlockLightColor,BlockOpaue,BlockStructPushFlag,InnerInteractiveFlag,MixTexture,ValueInBlueprint,ReplacedDrawType,CanBeAnimated,HDRScale
0,空气,,Air,Air,,,air,,3,,,,,0,0,0,1,0,0,1,,,,0,-1,1,0,,0,,0,0,0,0,0,0,,,,0,0,0,,1,,,,,,,0,0,,,,,,,,1,,0,15,15,,1,,,,,,,,,,0,,0,1,0,,0,,,
1,地心基石,,UltraStone,UltraStone,,,basic,,3,3,,,,1,1,1,2,0,0,,,,1,-1,-1,1,0,,0,,1,10000,0,0,0,0,,,,1,15,0,,1,ultrastone,,,blocks.stone,blockd.stone,,0,0,,,3d3c59,,,,,33,,1,15,15,,6,,,,,,,,,,0,,255,2,1,,0,,,
2,功能方块,,FunctionBlock,FunctionBlock,,,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,,,,,,,0,,0,,1,,0,,1,
3,静态水,,StaticWater,StaticWater,,,stillfluidwater,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,,0,1,0,,1,water_still,,,,,env.splash,0,0,,,0e7bc0,,,,,2,,0,8,15,,1,,,,,,,,,,0,,17,1,1,,0,,,
4,动态水,,Water,Water,,,flowfluidwater,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,,0,1,0,,1,water_flow,,,,,env.splash,0,0,,,,,,,,2,,0,15,15,,1,,,,,,,,,,0,,17,1,1,,0,,,
5,静态岩浆,,StaticLava,StaticLava,,,stillfluidlava,,2,2,,,,0,2,0,1,2,0,1,,,,50,-1,1,0,,0,,0,0,0,0,0,0,,,,4,0,15,,1,lava_still,,,,,,0,0,,,b84b22,,,,,2,,0,15,15,13,1,,,,,,,,,,0,e9973f,170,1,1,,0,,,2
6,动态岩浆,,Lava,Lava,,,flowfluidlava,,2,2,,,,0,2,0,1,2,0,1,,,,50,-1,1,0,,0,,0,0,0,0,0,0,,,,4,0,15,,1,lava_flow,,,,,,0,0,,,b84b22,,,,,2,,0,8,0,13,1,,,,,,,,,,0,e9973f,170,1,1,,0,,,2
7,传送光效,,TeleportEffect,TeleportEffect,,,basic,,,,,,,0,0,0,2,3,1,1,,,,0,0,1,0,,0,,0,0,0,0,0,0,,,,0,0,11,,1,,,,,,,0,0,,,,,,,,33,,0,8,0,,1,,,,,,,,,,0,,0,2,1,,0,,1,
8,雕纹砖块,,EngravingBlock,EngravingBlock,,,basic,3,4,4,,,,1,1,1,2,0,0,,,,1,-1,200,1,0,,0,,8,10000,0,0,8,10000,,,,2,15,6,,1,engraving_block,,,blocks.stone,blockd.stone,,8,2,1,,844e3a,,,,,1,,1,15,15,,6,,,10,,,,,,,0,e3bf42,255,2,1,,0,,1,2
