序列ID,物品ID,物品名称,系列ID,大类ID,大类名称
ID,ItemID,ItemName,SeriesID,TypeID,TypeName
1,201667,星谕梦榻,39,1,家具
2,201668,星谕书柜,39,1,家具
3,201669,星谕门扉,39,1,家具
4,201670,星谕摇椅,39,1,家具
5,201671,星谕方桌,39,1,家具
6,201672,星谕衣橱,39,1,家具
7,201673,星谕壁炉,39,1,家具
8,201674,星谕琉窗,39,1,家具
9,201675,星谕织毯,39,1,家具
10,201676,星谕晶灯,39,1,家具
11,201660,花小楼沙发,38,1,家具
12,201661,花小楼床,38,1,家具
13,201662,花小楼衣柜,38,1,家具
14,201663,花小楼方桌,38,1,家具
15,201664,花小楼暖炉,38,1,家具
16,201665,花小楼冰箱,38,1,家具
17,201666,花小楼方柜,38,1,家具
18,201617,云朵蓝方块,36,1,家具
19,201618,云朵粉方块,36,1,家具
20,201619,云朵紫方块,36,1,家具
21,201620,云朵门,36,1,家具
22,201621,云朵视窗,36,1,家具
23,201622,云朵天窗,36,1,家具
24,201623,云朵阶梯,36,1,家具
25,201624,云朵懒人沙发,36,1,家具
26,201625,云朵躺椅,36,1,家具
27,201626,云朵软床,36,1,家具
28,201627,云朵衣橱,36,1,家具
29,201628,云朵小储物箱,36,1,家具
30,201629,云朵大储物箱,36,1,家具
31,201630,云朵圆桌,36,1,家具
32,201631,云朵花盆,36,1,家具
33,201632,云朵壁灯,36,1,家具
34,201633,云朵吊灯,36,1,家具
35,201634,云朵地毯,36,1,家具
36,201635,云朵立牌,36,1,家具
37,201636,云朵场景摆件,36,1,家具
38,201637,云朵喷泉,36,1,家具
39,201639,奶牛凳子,37,1,家具
40,201640,狗狗茶几,37,1,家具
41,201641,宠物坐垫,37,1,家具
42,201642,宠物地垫,37,1,家具
43,201643,储物格,37,1,家具
44,201644,置物格,37,1,家具
45,201645,熊猫壁灯,37,1,家具
46,201646,兔子灯,37,1,家具
47,201647,猫猫顶灯,37,1,家具
48,201648,泡泡吊灯,37,1,家具
49,201649,树枝灯,37,1,家具
50,201650,平衡木,37,1,家具
51,201651,木地板,37,1,家具
52,201652,猫架基座平板,37,1,家具
53,201653,猫架半板带单柱,37,1,家具
54,201654,猫架楼梯,37,1,家具
55,201655,猫架圆顶带单柱,37,1,家具
56,201656,猫架方箱,37,1,家具
57,201600,星河地板,35,1,家具
58,201601,星河门,35,1,家具
59,201602,星河视窗,35,1,家具
60,201603,星河窗帘,35,1,家具
61,201604,星河小圆凳,35,1,家具
62,201605,星河沙发椅,35,1,家具
63,201606,星河大沙发,35,1,家具
64,201607,星河床,35,1,家具
65,201608,星河抽屉柜,35,1,家具
66,201609,星河衣橱,35,1,家具
67,201610,星河方桌,35,1,家具
68,201611,星河星象吊灯,35,1,家具
69,201612,星河壁炉,35,1,家具
70,201613,星河吊饰,35,1,家具
71,201614,星河地毯,35,1,家具
72,201615,星河写作台,35,1,家具
73,201616,星河水晶球,35,1,家具
74,862,象牙白玻璃灯,1,1,家具
75,863,朱砂橙玻璃灯,1,1,家具
76,864,胭脂红玻璃灯,1,1,家具
77,865,天青蓝玻璃灯,1,1,家具
78,866,鹅毛黄玻璃灯,1,1,家具
79,867,松花绿玻璃灯,1,1,家具
80,868,海棠红玻璃灯,1,1,家具
81,869,苍石灰玻璃灯,1,1,家具
82,861,木纹灯,2,1,家具
83,870,浅苍灰玻璃灯,2,1,家具
84,871,青碧绿玻璃灯,2,1,家具
85,872,青莲紫玻璃灯,2,1,家具
86,873,宝石蓝玻璃灯,2,1,家具
87,874,深栗红玻璃灯,2,1,家具
88,875,翡翠绿玻璃灯,2,1,家具
89,876,赫赤红玻璃灯,2,1,家具
90,877,煤乌黑玻璃灯,2,1,家具
91,965,椅子,3,1,家具
92,966,桌子,3,1,家具
93,967,沙发,3,1,家具
94,968,棕色壁炉,3,1,家具
95,969,柜子,3,1,家具
96,970,象牙白椅子,4,1,家具
97,971,象牙白桌子,4,1,家具
98,972,象牙白沙发,4,1,家具
99,973,白色壁炉,4,1,家具
100,974,象牙白柜子,4,1,家具
101,975,松木椅子,5,1,家具
102,976,松木桌子,5,1,家具
103,977,松木沙发,5,1,家具
104,978,黑色壁炉,5,1,家具
105,979,松木柜子,5,1,家具
106,854,落日橙门,6,1,家具
107,855,深栗红门,6,1,家具
108,856,象牙白门,6,1,家具
109,857,炽炎门,6,1,家具
110,858,海棠红门,6,1,家具
111,859,琥珀黄门,6,1,家具
112,860,秋叶橙木门,6,1,家具
113,883,精致木床,7,1,家具
114,884,豪华木床,7,1,家具
115,885,公主床,7,1,家具
116,960,基石-混凝土,8,2,建筑
117,961,基石-裂土,8,2,建筑
118,962,白色基石,8,2,建筑
119,963,基石-坚冰,8,2,建筑
120,964,基石-钢板,8,2,建筑
121,886,秘银星能幕布,9,1,家具
122,888,钛金星能幕布,9,1,家具
123,890,熔岩星能幕布,9,1,家具
124,1159,铰链方块,24,3,装备
125,1160,机械爪,24,3,装备
126,1161,液压臂,24,3,装备
127,1164,避震器,24,3,装备
128,12281,弹弓,10,3,装备
129,12280,大爆竹,10,3,装备
130,12283,弩,10,3,装备
131,12284,火箭筒,10,3,装备
132,892,木质字牌,11,1,家具
133,893,石质字牌,11,1,家具
134,894,秘银字牌,11,1,家具
135,895,炽炎字牌,11,1,家具
136,896,钨金字牌,11,1,家具
137,897,熔岩字牌,11,1,家具
138,898,灯笼,12,1,家具
139,899,古典路灯,12,1,家具
140,900,现代路灯,12,1,家具
141,926,黑色铜围栏,13,1,家具
142,927,白色铜围栏,13,1,家具
143,928,小花盆,13,1,家具
144,929,大花盆,13,1,家具
145,931,蜡烛台,12,1,家具
146,933,吊灯,12,1,家具
147,934,典雅壁灯,12,1,家具
148,935,精致壁灯,12,1,家具
149,936,台灯,12,1,家具
150,881,喷花烟花,14,4,节日
151,940,春节窗花-福,14,4,节日
152,941,春节窗花-禄,14,4,节日
153,942,春节窗花-寿,14,4,节日
154,943,春节窗花-喜,14,4,节日
155,945,中式宫灯,14,4,节日
156,946,红色陶花盆,14,4,节日
157,947,绿色陶花盆,14,4,节日
158,948,大瓷花盆,14,4,节日
159,949,新春宫灯,14,4,节日
160,12253,火箭背包,14,4,节日
161,12830,孔明灯,15,4,节日
162,13808,荷灯,15,4,节日
163,419,秋叶橙地板,16,2,建筑
164,420,海棠红地板,16,2,建筑
165,424,精制黄砖板,16,2,建筑
