序列ID,系列名称,系列奖励类型（0不奖励1道具2迷你豆3迷你币）,奖励ID/道具/迷你币/迷你豆/经验，填道具ID,数量
ID,Name,RewardType,RewardID,RewardNum
1,灯具一,1,20060,20
2,灯具二,1,20061,20
3,琥珀黄家具,2,10000,150
4,象牙白家具,1,10043,40
5,秋叶橙家具,2,10000,500
6,我需要一扇门,1,10043,60
7,舒适的床,1,20029,20
8,硬家伙,1,20031,20
9,留言板,1,10043,40
10,远程武器,1,10000,150
11,字牌,1,10000,150
12,豪华灯饰,1,10000,150
13,花园,1,10000,150
14,春节,1,20033,20
15,元宵,2,10000,50
16,全民创造节（方块）,2,10000,100
17,全民创造节（栅栏）,2,10000,100
19,科幻系列-α,2,10000,88
20,科幻系列-β,2,10000,88
21,外星科技,2,10000,88
22,远古科技,,,
23,活动,,,
24,机械,,,
25,胡杨木家具,2,10000,88
26,巴啦啦小魔仙道具,,,
27,中式家具,,,
28,三丽鸥家族定制家具—凯蒂猫系列,,,
29,三丽鸥家族定制家具—大耳狗系列,,,
30,三丽鸥家族定制家具—酷洛米系列,,,
31,三丽鸥家族定制家具—美乐蒂系列,,,
32,三丽鸥家族定制家具—大眼蛙系列,,,
33,三丽鸥家族定制家具—布丁狗系列,,,
34,三丽鸥家族定制家具—双子星系列,,,
35,新定制家具-枕梦星河,,,
36,新定制家具-云端织梦,,,
37,新定制家具-萌宠相伴,,,
38,新定制家具-朝露繁花,,,
39,新定制家具-幽夜星谕,,,
