序号,类型（1=富文本，2=图片文件）,富文本,显示时间（tick，-1=无限时间）,底图文件,底图宽度（-1=自适应）,底图高度（-1=自适应）,组（数组，这个气泡id归属的组）,
Id,Type,Desc,Tick,Background,Width,Height,Group,
10000,1,给我@item_12001#可以吗？,100,,100,-1,1|2,
10001,1,离我远点,100,,100,-1,1,
10002,1,,100,,100,-1,3,
10003,1,,100,,100,-1,4,
10004,1,可以给我一个@item_200141#吗，我可以帮你干活,100,,100,-1,5,
10005,1,感谢你帮我解除诅咒,100,,100,-1,5|101731,
10006,1,太谢谢你了，我终于恢复正常了,100,,100,-1,5|101731,
10007,1,我最喜欢@item_200141#了，要是有一个就好了,100,,100,-1,5,
10008,1,我可以认你做老大吗，给我一个@item_200141#你就是老大,100,,100,-1,5|101731,
10021,1,这个世界好危险啊,100,,100,-1,6,
10022,1,不知道怎么回事，之前我戴了个猪头面具,100,,100,-1,6,
10023,1,好美丽的世界，之前我怎么看不到,100,,100,-1,6,
10031,1,老大，可以带我去你的村庄吗，村庄需要一个@item_1202#哦,100,,100,-1,7,
10032,1,老大，放置一个@item_1202#，我就可以在村庄内住下了,100,,100,-1,7,
10033,1,老大， 跟我交互我就跟着你走，去你的村庄吧,100,,100,-1,7,
10041,1,老大，给我一个@item_11002#类的东西，我就可以帮你砍树和种树,100,,100,-1,8,
10042,1,老大，给我一个@item_12012#类的东西，我就可以帮你在村庄内巡逻,100,,100,-1,8,
10043,1,老大，给我不同职业的道具，我就可以拥有不同职业的能力,100,,100,-1,8,
10051,1,老大，给我一个@item_11032#类的东西，我就可以帮你种田,100,,100,-1,9,
10052,1,老大，给我一个@item_12050#类的东西，我就可以帮你在村庄内巡逻,100,,100,-1,9,
10100,1,老大，我跟你走,100,,100,-1,100,
10101,1,点我一下，我就原地待命！,100,,100,-1,100,
10102,1,老大带我走！,100,,100,-1,100,
10103,1,要到哪里去呢？,100,,100,-1,100,
10104,1,老大等等我啊！,100,,100,-1,100,
10105,1,快到了吗？跑两步有点累了(°﹃° ),100,,100,-1,100,
10106,1,你走前面，我断后！,100,,100,-1,100,
10111,1,真菜，就这？,100,,100,-1,101,
10112,1,烦人的东西挂了,100,,100,-1,101,
10121,1,怎么跑了,100,,100,-1,102,
10122,1,真捞，这就跑了,100,,100,-1,102,
10131,1,谁敢打我！！,100,,100,-1,103,
10132,1,是谁！,100,,100,-1,103,
10133,1,给你点好果汁吃！,100,,100,-1,103,
10141,1,谁敢打我主人！！,100,,100,-1,104,
10142,1,老大！我来助你！,100,,100,-1,104,
10151,1,该吃饭了！,100,,100,-1,105,
10152,1,好饿了！吃的在哪！,100,,100,-1,105,
10153,1,饿疯了！谁也别拦我干饭！,100,,100,-1,105,
10154,1,饭点到！干饭人冲鸭！,100,,100,-1,105,
10155,1,为了干饭，我愿献出膝盖！,100,,100,-1,105,
10156,1,只要干饭快，悲伤就追不上我。,100,,100,-1,105,
10157,1,肚子咕咕叫，干饭最重要！,100,,100,-1,105,
10161,1,怎么没饭吃呢！,100,,100,-1,106,
10162,1,哪里可以搞点吃的东西呢,100,,100,-1,106,
10163,1,要是有可以吃的食物方块就好了,100,,100,-1,106,
10164,1,你看起来…… 很好吃的样子,100,,100,-1,106,
10165,1,咕咕咕咕（纯正野生火鸡叫）。,100,,100,-1,106,
10166,1,已进入省电模式……,100,,100,-1,106,
10167,1,饿！饿！饿！,100,,100,-1,106,
10171,1,明天吃点啥好呢,100,,100,-1,107,
10172,1,明天又可以上班了，真开心,100,,100,-1,107,
10173,1,别抢… 那是我的鸡腿,100,,100,-1,107,
10174,1,再睡五分钟… 就五分钟,100,,100,-1,107,
10175,1,别吵我… 我在做梦呢,100,,100,-1,107,
10176,1,别叫醒我… 我在开会,100,,100,-1,107,
10177,1,再让我趴一会儿,100,,100,-1,107,
10181,1,困了，想睡大觉了,100,,100,-1,108,
10182,1,我的床呢，我现在需要立马睡着,100,,100,-1,108,
10191,1,感谢有你,100,,100,-1,109,
10192,1,还好有你,100,,100,-1,109,
10193,1,谢谢老大！,100,,100,-1,109,
10201,1,还好有个这样的家,100,,100,-1,110,
10202,1,在迷拉星活着真好,100,,100,-1,110,
10203,1,我最喜欢聚会辣！！！！,100,,100,-1,110,
10204,1,SHOW TIME！！,100,,100,-1,110,
10205,1,快看我的舞姿,100,,100,-1,110,
10206,1,太带派辣！！！,100,,100,-1,110,
10207,1,终于能休息一下,100,,100,-1,110,
10208,1,今天不营业，聚会啦,100,,100,-1,110,
10209,1,别干活了，先嗨,100,,100,-1,110,
10210,1,聚会开始，别迟到,100,,100,-1,110,
10211,1,聚会时间开始！芜湖,100,,100,-1,111,聚会时间无篝火
10212,1,要是有个篝火@item_1200#就更好了,100,,100,-1,111,
10213,1,得想办法让主人给我们搞个篝火@item_1200#才行,100,,100,-1,111,
10214,1,吃饱饱玩一下就可以睡觉了，嘻嘻,100,,100,-1,111,
10215,1,欢迎来到迷拉星~,100,,100,-1,111,
10216,1,听说有个人来草原把草全部拔光了,100,,100,-1,111,
10217,1,昨晚好像有个人睡在猪圈里了！,100,,100,-1,111,
10221,1,嗝～撑到扶墙,100,,100,-1,112,吃饱了
10222,1,太饱了，走不动,100,,100,-1,112,
10223,1,嗝！满足到飞起,100,,100,-1,112,
10224,1,撑死我了，真爽,100,,100,-1,112,
10225,1,饱了饱了，收工,100,,100,-1,112,
10226,1,饱到想睡三天,100,,100,-1,112,
10227,1,嗝～战斗力归零,100,,100,-1,112,
10231,1,真香啊！！！！,100,,100,-1,113,吃饭中
10232,1,好吃捏,100,,100,-1,113,
10233,1,真香！停不下来,100,,100,-1,113,
10234,1,这味道太上头,100,,100,-1,113,
10235,1,这口绝了,100,,100,-1,113,
10236,1,这也太下饭了,100,,100,-1,113,
10237,1,嗯… 再来一口,100,,100,-1,113,
10241,1,怎么没有床,100,,100,-1,114,
10242,1,好想要有张床啊，求求了,100,,100,-1,114,
10251,1,希望有个部落图腾@item_1202#,100,,100,-1,115,
10252,1,要是有个部落图腾@item_1202#就好了,100,,100,-1,115,
10261,1,没有需要建造的蓝图呀,100,,100,-1,116,
10262,1,如果有个图纸放置在地上我就可以开工了,100,,100,-1,116,
10271,1,有蓝图了，准备开工！,100,,100,-1,117,
10272,1,来活了来活了,100,,100,-1,117,
10281,1,怎么没材料啊,100,,100,-1,118,
10282,1,缺材料啦，我想想去哪里搞点材料,100,,100,-1,118,
10291,1,这里有这个材料,100,,100,-1,119,
10292,1,这里有蓝图需要的材料，芜湖,100,,100,-1,119,
10301,1,材料齐全啦，启动蓝图！,100,,100,-1,120,
10302,1,启动蓝图！芜湖,100,,100,-1,120,
10311,1,蓝图在建造啦,100,,100,-1,121,
10312,1,我最喜欢看自动建造了，太有感觉了,100,,100,-1,121,
10321,1,怎么没有现成的材料，我自己动手造！,100,,100,-1,122,
10322,1,怎么没有现成的材料，我自己整一点,100,,100,-1,122,
10331,1,我来合成对应的材料,100,,100,-1,123,
10341,1,没有工匠台，我需要一个工匠台@item_797#,100,,100,-1,124,
10351,1,我去蓝图那里填充材料,100,,100,-1,125,
10361,1,没锅啊,100,,100,-1,126,
10362,1,可以帮我放个石锅吗,100,,100,-1,126,
10371,1,可以帮我放篝火吗,100,,100,-1,127,
10372,1,石锅下面没篝火啊,100,,100,-1,127,
10381,1,这个篝火没有燃烧呀，没有火就没得做饭了,100,,100,-1,128,
10382,1,篝火没有怎么燃烧，温度不够做出来的饭不好吃,100,,100,-1,128,
10391,1,我来拿点燃烧的小火炬，做出的饭更好吃,100,,100,-1,129,拿火炬
10401,1,火就是艺术！,100,,100,-1,130,点燃篝火
10402,1,火候！最重要的就是火候！,100,,100,-1,130,
10411,1,做好饭摆盘最重要，嘿嘿,100,,100,-1,131,放置食物
10412,1,色香味俱全啊！,100,,100,-1,131,放置食物
10413,1,放这儿了，趁热造,100,,100,-1,131,放置食物
10414,1,给你放桌上啦,100,,100,-1,131,放置食物
10415,1,搁这儿了，别凉了,100,,100,-1,131,放置食物
10416,1,你的饭饭已就位,100,,100,-1,131,放置食物
10417,1,放桌上了，开整吧,100,,100,-1,131,放置食物
10421,1,大功告成！,100,,100,-1,132,煮好了
10422,1,饭煮好喽~最喜欢做饭了,100,,100,-1,132,煮好了
10423,1,出锅！香到邻居报警,100,,100,-1,132,煮好了
10424,1,搞定！锅都感动了,100,,100,-1,132,煮好了
10425,1,完成！今天没烧焦,100,,100,-1,132,煮好了
10426,1,成了！味道很有态度,100,,100,-1,132,煮好了
10431,1,进去吧你！别客气,100,,100,-1,133,煮饭放置
10432,1,下锅咯，听个响,100,,100,-1,133,煮饭放置
10433,1,走你！下锅洗澡,100,,100,-1,133,煮饭放置
10434,1,统统进锅，不许逃,100,,100,-1,133,煮饭放置
10435,1,去吧，成为美味,100,,100,-1,133,煮饭放置
10441,1,别急，我也饿,100,,100,-1,134,煮饭等待
10442,1,稍等一下，马上好,100,,100,-1,134,煮饭等待
10443,1,正在料理中…,100,,100,-1,134,煮饭等待
10444,1,正在和食材谈判,100,,100,-1,134,煮饭等待
10445,1,别催，我会手抖,100,,100,-1,134,煮饭等待
10446,1,正在精心烹饪,100,,100,-1,134,煮饭等待
10451,1,把食物放进箱子里，有人有需要就从这里拿吧,100,,100,-1,135,没餐盘，放箱子
10461,1,我找找看哪里有点食材，我想要开始煮饭了,100,,100,-1,136,拿食材气泡组
10462,1,让我找找… 食材藏哪了,100,,100,-1,136,拿食材气泡组
10463,1,食材呢？别跟我捉迷藏,100,,100,-1,136,拿食材气泡组
10464,1,让我看看，今天宠幸谁,100,,100,-1,136,拿食材气泡组
10465,1,掏家底了，这可是好货,100,,100,-1,136,拿食材气泡组
10466,1,选食材我可是认真的,100,,100,-1,136,拿食材气泡组
10471,1,没有农夫旗帜@item_1203#呀,100,,100,-1,137,农夫无旗帜气泡组
10472,1,你可以帮我放置一个@item_1203#吗，那样我就可以开始工作了,100,,100,-1,137,农夫无旗帜气泡组
10481,1,我开始开垦啦，我把所有@item_100#都变成@item_102#,100,,100,-1,138,开始开垦
10482,1,锄禾日当午~汗滴禾下土~,100,,100,-1,138,开始开垦
10491,1,附近没有种子，可以拿一些放在箱子里吗,100,,100,-1,139,没种子箱子
10501,1,这里有种子，我来拿一些,100,,100,-1,140,拿种子气泡组
10511,1,没有攀藤架呀，哪里可以搞点攀藤架放在箱子里呢,100,,100,-1,141,没有攀藤架
10521,1,这个种子需要攀藤架，我来拿点,100,,100,-1,142,拿攀藤架
10531,1,我要开始种了,100,,100,-1,143,开始种
10541,1,我没有花洒，哪个的箱子有花洒呢,100,,100,-1,144,没有花洒
10551,1,我拿到花洒啦,100,,100,-1,145,拿到花洒
10561,1,嘀嘀嘀，开始浇水，快高长大呀,100,,100,-1,146,开始洒水
10571,1,哪里的箱子有肥料呢，有肥料可以让作物长得更好,100,,100,-1,147,没有肥料
10581,1,我获得肥料啦，马上去施肥,100,,100,-1,148,获得肥料
10591,1,小东西们都快快长大,100,,100,-1,149,开始施肥
10601,1,我来试试能不能收获这些作物,100,,100,-1,150,收获
10602,1,努力总是有回报的！看看这些果实,100,,100,-1,150,收获
10611,1,我来捡捡地上剩余的作物，不能浪费呀,100,,100,-1,151,拾取
10621,1,哪里有箱子呢，我想把收获的作物放到箱子里,100,,100,-1,152,没有箱子
10631,1,收获了这么多，都放到箱子里喽~,100,,100,-1,153,放到箱子里
10641,1,没有火炬呀，可以把火炬放置到箱子内吗，我会自己拿,100,,100,-1,154,没有火炬
10651,1,没有食材呀，可以把食材放到箱子里吗，我自己拿点食材来做饭~,100,,100,-1,155,没有食材
10652,1,食材断货，不开火,100,,100,-1,155,没有食材
10653,1,完了，没料下锅了,100,,100,-1,155,没有食材
10654,1,食材呢？被谁偷吃了,100,,100,-1,155,没有食材
10655,1,没食材，只能发呆,100,,100,-1,155,没有食材
10661,1,我来收拾卫生，吃完了就得收盘子,100,,100,-1,156,破坏餐盘
10671,1,有怪物！快跑啊！！！！,100,,100,-1,157,有怪物气泡组
10672,1,啊啊啊啊~不要打我！,100,,100,-1,157,有怪物气泡组
10673,1,妈呀！救命啊,100,,100,-1,157,有怪物气泡组
10674,1,别追了，我错了,100,,100,-1,157,有怪物气泡组
10675,1,腿短跑不快啊,100,,100,-1,157,有怪物气泡组
10676,1,大哥饶命！,100,,100,-1,157,有怪物气泡组
10677,1,好汉不吃眼前亏,100,,100,-1,157,有怪物气泡组
10681,1,感谢,100,,100,-1,158,感谢玩家气泡组
10691,1,我最喜欢@item_12613#了,100,,100,-1,159,沙漠村民
10692,1,@item_12613#仙人掌果实是世界上最好的东西,100,,100,-1,159,沙漠村民
10693,1,仙人掌都比我活得滋润。,100,,100,-1,159,沙漠村民
10694,1,我跟骆驼聊得挺来的,100,,100,-1,159,沙漠村民
10695,1,热得我想给太阳装空调,100,,100,-1,159,沙漠村民
10696,1,这地方连影子都想跑路,100,,100,-1,159,沙漠村民
10697,1,骆驼说我比它还慢,100,,100,-1,159,沙漠村民
10698,1,听说沙漠深处有一只大虫子，离它远点,100,,100,-1,159,沙漠村民
10699,1,这温度能把石头热哭,100,,100,-1,159,沙漠村民
