状态ID,名字,等级,作用时间(秒),"调用Update周期(秒), 0表示不调用","脚本名字:开始Script_Start,结束Script_End,Tick:Script_Tick",作为插件编辑效果[0代表不开放，1150=有害，1151=有益，1152=中立 ],触发器开放[0代表不开放，1=有害效果，2=有益效果，3=中立效果 ],效果库ID1,默认值1（时间需要除以10）,效果库ID2,默认值2,效果库ID3,默认值3,效果库ID4,默认值4,效果库ID5,默认值5,效果库ID6,默认值6,效果库ID7,默认值7,效果库ID8,默认值8,效果库ID9,默认值9,效果库ID10,默认值10,睡觉获取权重,睡觉获取权重生态加成,图标(填图标库ID),特效(填特效库ID),音效(填音效库ID),持续模式（0=无限时间 大于0=有限时间）,优先级（1=覆盖 2=并存）,死亡不清除（1=清除 2=不清除）,主动攻击清除效果（1=清除 2=不清除）,受到伤害清除效果（1=清除 2=不清除）,冷却时间（获取后这段时间内无法再次获得同一个buff，填秒数）（未开发）,冷却说明（描述冷却原因，填stringid）（未开发）,插件编辑模板(不填=不是模板 1=作为模板),属性类型1（废弃）,属性值1（废弃）,属性类型2（废弃）,属性值2（废弃）,属性类型3（废弃）,属性值3（废弃）,属性类型4（废弃）,属性值4（废弃）,属性类型5（废弃）,属性值5（废弃）,描述,图标名字,类型(0有益，1不利，2特殊),状态类型(0-无，1-火，2-变身，3-毒素，4-流血，5-冰，6-冻结),状态类型名称（填stringid）,特效名称,音效类型（0单次1循环）,音效名称,身体模型,中BUFF变第三人称,禁止做一切事,图标缺失,部件放大(将来除以1000等于部件),在buff栏隐藏,备注,标签,预制资源名
ID,Name,Level,EffectTime,UpdatePeriod,ScriptName,AtkEffectTypeSID,TriggerType,EffectBankID1,Default1,EffectBankID2,Default2,EffectBankID3,Default3,EffectBankID4,Default4,EffectBankID5,Default5,EffectBankID6,Default6,EffectBankID7,Default7,EffectBankID8,Default8,EffectBankID9,Default9,EffectBankID10,Default10,SleepWeight,SleepWeightByBiome,IconID,ParticlesID,SoundID,Continuous,Priority,DeathClearance,Attack,Bruise,ColdTime,ColdDetail,IsTemplate,AttrType1,AttrValue1,AttrType2,AttrValue2,AttrType3,AttrValue3,AttrType4,AttrValue4,AttrType5,AttrValue5,Desc,IconName,Type,Nature,NatureName,EffectName,SoundType,SoundName,BodyModel,NeedSwitchTPS,DisableAction,,PartScale,Hide,,Tag,PrefabName
1001,示例移动速度,1,3,0,,,,1001,100101|20,,,,,,,,,,,,,,,,,,,,,1067,1238,10094,3,1,1,2,2,,,,MOVE_SPEED,0.2,,,,,,,,,,move_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
1002,示例移动速度,2,3,0,,,,1001,100101|50,,,,,,,,,,,,,,,,,,,,,1067,1238,10094,3,1,1,2,2,,,,MOVE_SPEED,0.5,,,,,,,,,,move_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
1003,示例移动速度,3,10,0,,,,1001,100101|200,,,,,,,,,,,,,,,,,,,,,1067,1238,10094,10,1,1,2,2,,,,MOVE_SPEED,2,,,,,,,,,,move_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
2001,示例挖掘速度,1,3,0,,,,1001,20,,,,,,,,,,,,,,,,,,,,,1052,1238,10094,3,1,1,2,2,,,,DIG_SPEED,0.2,,,,,,,,,,dig_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
3001,缓慢生命恢复1级,1,45,4,AddHPBuff,1151,2,1007,40|5,,,,,,,,,,,,,,,,,,,,,1001,1234,10087,45,1,1,2,2,,,1,SCRIPT_VAR,5,,,,,,,,,每4秒恢复5点生命值。,addhpbuff_add,0,,,BUFF_HP_1,0,buff.buff_hp_1,,0,,,,,,,
3002,缓慢生命恢复2级,2,45,2,AddHPBuff,1151,2,1007,20|5,,,,,,,,,,,,,,,,,,,,,1001,1234,10087,45,1,1,2,2,,,1,SCRIPT_VAR,5,,,,,,,,,每2秒恢复5点生命值。,addhpbuff_add,0,,,BUFF_HP_1,0,buff.buff_hp_1,,0,,,,,,,
3003,缓慢生命恢复3级,3,45,1,AddHPBuff,1151,2,1007,10|5,,,,,,,,,,,,,,,,,,,,,1001,1234,10087,45,1,1,2,2,,,1,SCRIPT_VAR,5,,,,,,,,,每1秒恢复5点生命值。,addhpbuff_add,0,,,BUFF_HP_1,0,buff.buff_hp_1,,0,,,,,,,
4001,疾跑1级,1,180,,,1151,2,1001,100101|25,,,,,,,,,,,,,,,,,,,,,1067,1238,10094,180,1,1,2,2,,,1,MOVE_SPEED,0.25,,,,,,,,,基础速度提高25%。,move_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
4002,疾跑2级,2,180,,,1151,2,1001,100101|50,,,,,,,,,,,,,,,,,,,,,1067,1238,10094,180,1,1,2,2,,,1,MOVE_SPEED,0.5,,,,,,,,,基础速度提高50%。,move_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
4003,疾跑3级,3,180,,,1151,2,1001,100101|75,,,,,,,,,,,,,,,,,,,,,1067,1238,10094,180,1,1,2,2,,,1,MOVE_SPEED,0.75,,,,,,,,,基础速度提高75%。,move_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
