ID[整型],名称[string],界面大类[整型](1事件 2条件 3动作 4取值 5流程控制 6变量 7自定义),界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28一维表，29世界，30二维表，31对象，32角色，33实体，34投掷物，35掉落物，36蓝图】,形状类型[数值](1事件 2条件 3动作 4取值 5重复执行 6次数重复执行 7重复执行直到 8退出循环 9如果那么 如果那么否则 10保持等待直到),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],"3.0组件场景筛选（-3 完全不显示,-2 只在选择器中使用,-1 全显示,0 实体 ，1  生物，2  玩家， 3 世界，4 空对象，5 方块5，6 UI，7 道具，8 状态，9 地形，11 配方，12 方块材质，13 熔炼编辑，14 区域，15 投掷物，16 位置，17 掉落物，1001 持续效果，1002 瞬时效果）",传参[string],左右值标记[整型]1常量0变量,返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,参数7类型,参数7默认值,参数8类型,参数8默认值,参数9类型,参数9默认值,参数10类型,参数10默认值,参数11类型,参数11默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见）,积木间距值（间距值默认为60，超过60会开始变高）,说明,是否显示详细说明（0和空不显示，1显示）,创建的版本,,,
ID,Name,Type,Sort,BlockType,SimpleDisplay,Desc,Icon,SceneFilter,TranParam,LeftRightSign,ReturnValue,ParamType1,ParamDefault1,ParamType2,ParamDefault2,ParamType3,ParamDefault3,ParamType4,ParamDefault4,ParamType5,ParamDefault5,ParamType6,ParamDefault6,ParamType7,ParamDefault7,ParamType8,ParamDefault8,ParamType9,ParamDefault9,ParamType10,ParamDefault10,ParamType11,ParamDefault11,Display,HeightPx,Notes,NotesDetailSwitch,CreatVersion,真排序,,
1020001,游戏创建,1,2,1,0,当游戏创建,18,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,0,100,306442,1,1.42.0,1,,
60101002,当该组件装载后,1,2,1,0,当该组件装载后,12,"0,1,2,3,4,5,6,14,16",,,,,,,,,,,,,,,,,,,,,,,,,,0,,306443,1,1.44.0,2,,
1020003,当该组件被创建X秒后,1,2,1,0,当该组件被创建%1秒后,12,"0,1,2,3,4,5,6,14,16",,,,1005|1|0,1|5,,,,,,,,,,,,,,,,,,,,,0,,306444,1,1.42.0,3,,
1020002,游戏时间,1,2,1,0,当 游戏时间 为%1点,12,"3,6",,,,1005|1|0,1|5,,,,,,,,,,,,,,,,,,,,,0,,306446,1,1.42.0,4,,
1010002,当地形组的天气改变,1,2,1,1,当指定%1的天气改变时,18,"3,6",,,,1137|1|2,5|990010,,,,,,,,,,,,,,,,,,,,,0,100,306447,1,1.42.0,5,,
1020013,接收广播,1,2,1,0,当 收到 广播%1,5,"0,1,2,3,4,5,6,14,16,1001",,,,1090|1|0,,,,,,,,,,,,,,,,,,,,,,,100,306792,1,1.42.0,6,,
60101004,当获取此效果时,1,2,1,0,当获取此效果时,12,"1001,1002,",60503007|60504003|60506015|60508005,,,,,,,,,,,,,,,,,,,,,,,,,0,,306793,1,1.44.0,7,,
60101005,当失去此效果时,1,2,1,0,当失去此效果时,12,1001,60503007|60504003|60506015,,,,,,,,,,,,,,,,,,,,,,,,,,100,306794,1,1.44.0,8,,
1020011,每当游戏运行时长（循环）,1,2,1,0,游戏每运行%1秒都,12,"0,1,2,3,4,5,6,14,16,1001",,,,1005|1|0,1|2,,,,,,,,,,,,,,,,,,,,,,100,306795,1,1.42.0,9,,
1020009,任意计时器改变,1,2,1,0,当 任意计时器 发生改变,12,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,0,,306796,1,1.42.0,10,,
1020010,指定计时器改变,1,2,1,0,当%1发生改变,12,"3,6",,,,1040|1|0,,,,,,,,,,,,,,,,,,,,,,0,100,306797,1,1.42.0,11,,
1090002,配方合成完毕,1,2,1,0,当 配方 合成完毕,9,"3,6",60009|80006|80008|90014|90017,,,,,,,,,,,,,,,,,,,,,,,,,,100,306347,1,1.42.0,12,,
1010001,天气改变,1,2,1,0,当 天气 改变,18,暂时不要,,,,,,,,,,,,,,,,,,,,,,,,,,0,,306020,1,1.42.0,13,,
