ID[整型],名称[string],界面大类[整型](1事件 2条件 3动作 4取值 5流程控制 6变量 7自定义),界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28一维表，29世界，30二维表，36蓝图】,形状类型[数值](1事件 2条件 3动作 4取值 5重复执行 6次数重复执行 7重复执行直到 8退出循环 9如果那么 如果那么否则 10保持等待直到),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],使用场景过滤[string],传参[string],左右值标记[整型],返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,参数7类型,参数7默认值,参数8类型,参数8默认值,参数9类型,参数9默认值,参数10类型,参数10默认值,参数11类型,参数11默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见）,积木间距值（间距值默认为60，超过60会开始变高）,说明,是否显示详细说明（0和空不显示，1显示）,
ID,Name,Type,Sort,BlockType,SimpleDisplay,Desc,Icon,SceneFilter,TranParam,LeftRightSign,ReturnValue,ParamType1,ParamDefault1,ParamType2,ParamDefault2,ParamType3,ParamDefault3,ParamType4,ParamDefault4,ParamType5,ParamDefault5,ParamType6,ParamDefault6,ParamType7,ParamDefault7,ParamType8,ParamDefault8,ParamType9,ParamDefault9,ParamType10,ParamDefault10,ParamType11,ParamDefault11,Display,HeightPx,Notes,NotesDetailSwitch,真排序
1020001,游戏创建,1,2,1,0,当游戏创建,18,"1,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,0,,306001,1,1
1020002,游戏时间,1,2,1,0,当 游戏时间 为%1点,12,"1,0,0,1,1,0",,,,1005|1|0,1|5,,,,,,,,,,,,,,,,,,,,,0,,306008,1,2
1010001,天气改变,1,2,1,0,当 天气 改变,18,"1,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,0,,306020,1,3
1010002,当地形组的天气改变,1,2,1,1,当指定%1的天气改变时,18,"1,0,0,1,1,0",,,,1137|1|2,5|990001,,,,,,,,,,,,,,,,,,,,,0,100,306127,,4
1020012,云服房间收到任意信息时,1,2,1,0,当 云服房间 收到任意信息时,15,"1,0,0,1,1,0",40015,,,,0|40015,,,,,,,,,,,,,,,,,,,,,2,,,,5
1020013,接收广播,1,2,1,0,当 收到 广播%1,5,"1,99,0,1,1,0",,,,1090|1|0,,,,,,,,,,,,,,,,,,,,,,,,306017,1,6
1020016,当云服房间收到服务器广播消息,1,2,1,0,当 云服房间 收到服务器广播%1,5,"1,0,0,1,1,0",,,,1090|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306294,,7
1020014,条件成立,1,2,1,0,当%1成立,18,"0,0,0,0,0,0",,,,1087|1|0,,,,,,,,,,,,,,,,,,,,,,2,100,,,8
1020003,游戏运行时长,1,2,1,0,当游戏运行%1秒后,12,"1,0,0,1,1,0",,,,1005|1|0,1|5,,,,,,,,,,,,,,,,,,,,,0,,306019,1,9
