ID,名称,枚举类型,显示控制（0=默认全部可见  8=全部不可见 ）,参数值类型
ID,Name,Type,Display,TypeName
10001,随机天气,1,0,天气
10002,晴天,1,0,天气
10003,雨天,1,0,天气
10004,雷暴,1,0,天气
10005,恶劣天气,1,0,天气
10006,下雪,1,0,天气
10007,沙尘暴,1,0,天气
10008,暴风雨,1,0,天气
10009,暴风雪,1,0,天气
20001,东,2,0,朝向
20002,南,2,0,朝向
20003,西,2,0,朝向
20004,北,2,0,朝向
20005,上,2,0,朝向
20006,下,2,0,朝向
30001,主视角,3,0,视角
30002,背视角,3,0,视角
30003,正视角,3,0,视角
30004,俯视角,3,0,视角
30005,自定义视角,3,0,视角
30006,动作视角,3,0,视角
40001,X,4,0,坐标分量
40002,Y,4,0,坐标分量
40003,Z,4,0,坐标分量
50001,角度制,5,0,角度单位
50002,弧度制,5,0,角度单位
60001,Log,6,0,固定底对数
60002,Ln,6,0,固定底对数
70001,向下,7,0,取整方式
70002,四舍五入,7,0,取整方式
70003,向上,7,0,取整方式
80001,近战伤害,8,0,伤害类型
80002,远程伤害,8,0,伤害类型
80003,爆炸伤害,8,0,伤害类型
80004,燃烧伤害,8,0,伤害类型
80005,毒伤害,8,0,伤害类型
80006,混乱伤害,8,0,伤害类型
80007,掉落伤害,8,0,伤害类型
80008,窒息伤害,8,0,伤害类型
90001,是,9,0,是否
90002,否,9,0,是否
100001,打开,10,0,开关
100002,关闭,10,0,开关
110001,最大值,11,0,最大最小值
110002,最小值,11,0,最大最小值
120001,=,12,0,比较计算符
120002,≠,12,0,比较计算符
120003,>,12,0,比较计算符
120004,<,12,0,比较计算符
120005,≥,12,0,比较计算符
120006,≤,12,0,比较计算符
130001,+,13,0,数学运算符
130002,-,13,0,数学运算符
130003,*,13,0,数学运算符
130004,/,13,0,数学运算符
140001,最大生命值,14,0,玩家属性
140002,当前生命值,14,0,玩家属性
140003,生命恢复,14,0,玩家属性
140006,当前饥饿度,14,0,玩家属性
140008,当前氧气值,14,0,玩家属性
140010,移动速度,14,0,玩家属性
140011,奔跑速度,14,0,玩家属性
140012,潜行速度,14,0,玩家属性
140013,游泳速度,14,0,玩家属性
140014,跳跃,14,0,玩家属性
