组件ID,组件名字,备注,组件图标,组件所属类型（实体 0 ， 生物 1， 角色2， 世界 3，空对象4，方块5，UI6，道具7，状态8，配方11，熔炼13）,选择器组件一级分类(1基础 2玩法 3效果 4自定义),选择器组件二级分类（1通用 2物理）,组件LUA文件,排序ID,组件编辑类型（0 = 开发者不可访问的脚本 （实例化的组件，但通过接口获取获取不到） ， 1=官方触发器（可查看触发器实现），2=官方内部脚本（不可查看代码），3=官方外部脚本(可查看代码） ，101=开发者脚本，102，开发者触发器，103=开发者lua）,手动添加组件时能否增删（0=不可增删 1=可增删   仅影响选择器，实际运行时是可以动态添加）,预置上的属性界面分类 1 基础 2 玩法 3 行为 4 世界 5 规则 6 界面 7 数据,运行时权限（0|0=第一位代表是否能动态增删，第二位代表能否动态访问、执行指令 1|0会被识别成0|0）,组件支持运行的环境：第一位代表编辑模式，第二位代表运行模式（创造、冒险都属于运行模式）,组件属性可见范围    0、1、空=全部可见， 2=全部不可见  ，3=999渠道可见，4=白名单内用户可见（版本号Component_ShowRange）
ID,NameId,Note,Icon,Filter,FirstType,SecondType,ScriptPath,SortId,Source,SelectorSwitch,EditType,TriggePurview,Environment,ShowRange
78000000,307000,物理,icons_component/physics,0,1,1,Physics,1,2,1,1,1|1,,
78000001,307001,模型,icons_component/avatar,"0,1,2,5,7",1,1,Model,2,2,1,1,1|1,,
78000002,307002,变换,icons_component/transform,"0,1,2",1,1,Transform,3,2,0,1,0|1,,
78000005,307005,运动器,icons_component/motion,0,1,1,ActionGroup,4,2,1,2,0|0,,
78000012,300535,反弹,icons_component/rebound,0,1,1,Rebound,5,2,1,2,1|1,,
78000013,307061,特效,icons_component/effect,"0,14,15,16,17",1,1,Effect,6,2,1,1,1|1,,
78000014,307078,音效,icons_component/sound,"0,14,15,16,17",1,1,Sound,7,2,1,1,1|1,,
78000015,3128,道具,icons_component/item,7,1,1,ItemEdit,8,2,0,2,0|0,,
78000016,4488,枪械,icons_component/item,7,1,1,OldGunEdit,9,2,0,2,0|0,,
78000017,4479,方块,icons_component/block,5,1,1,BlockEdit,10,2,0,2,0|0,,
78000018,4155,生物,icons_component/sound,1,1,1,MonsterEdit,11,2,0,2,0|0,,
78000019,3526,工具,icons_component/tool,7,1,1,ToolEdit,12,2,0,2,0|0,,
78000020,4485,弓,icons_component/bow,7,1,1,BowEdit,13,2,0,2,0|0,,
78000021,4489,食物,icons_component/food,7,1,1,FoodEdit,14,2,0,2,0|0,,
78000022,21754,包裹,icons_component/sound,7,1,1,PackEdit,15,2,0,2,0|0,,
78000023,4486,弹药/投掷物,icons_component/projectile,7,1,1,ProjectileEdit,16,2,0,2,0|0,,
78000024,3013,装备,icons_component/equip,7,1,1,EquipEdit,17,2,0,2,0|0,,
78000025,4488,枪械,icons_component/gun,7,1,1,GunEdit,18,2,0,2,0|0,,
78000026,4804,生物,icons_component/sound,1,1,1,FightEdit,19,2,0,2,0|0,,
78000027,307151,行为树,icons_component/ai,1,1,1,BTree,20,2,0,3,0|0,,
78000028,9403106,路障,icons_component/sound,5,1,1,Roadblock,21,2,0,3,0|0,,
78000029,100935,页面设置,icons_component/ui,6,1,1,UIProjectSet,22,2,0,1,0|0,,
78000030,9550,状态,icons_component/status,8,1,1,StatusEdit,23,2,0,1,0|0,,
78000031,9550,状态,icons_component/status,"1,2",1,1,Status,24,2,0,0,0|0,1|1,
78000032,9403110,生物装备组件,icons_component/sound,1,1,1,EquipGridContainer,25,2,0,2,1|1,,3
78000033,9403111,生物格子组件,icons_component/sound,"0,1",1,1,GridContainer,26,2,0,2,1|1,,3
78000034,4479,方块材质,icons_component/sound,5,1,1,BlockMaterial,27,2,0,1,0|0,,
78000054,1231,配方,icons_component/crafting,11,1,1,CraftingEdit,28,2,0,1,0|0,,
78000055,80316,氧气,icons_component/oxygen,"1,2",1,1,Oxygen,29,2,0,2,0|0,,
78000101,305400,基础环境,icons_component/basicEnvironment,3,1,1,WorldRuleBaseSetting,30,2,0,4,0|1,,
78000102,15384,环境,icons_component/skyBox,3,1,1,WorldRuleSkybox,31,2,0,4,0|1,,
78000103,305402,滤镜,icons_component/filters,3,1,1,WorldRuleFilter,32,2,0,4,0|1,,
78000104,305403,声音,icons_component/sound,3,1,1,WorldRuleSound,33,2,0,4,0|1,,
78000105,305404,生成生物,icons_component/generatingOrganism,3,1,1,WorldRuleMobGen,34,2,0,4,0|0,,
78000106,305405,开局设定,icons_component/openingSettings,3,1,1,WorldRuleStartMode,35,2,0,5,0|0,,
78000107,305406,重生设定,icons_component/rebirthSetting,3,1,1,WorldRuleRebirth,36,2,0,5,0|0,,
78000108,305407,HUD 界面,icons_component/hud,3,1,1,WorldRuleHUDUI,37,2,0,6,0|0,,
78000109,305408,场景界面,icons_component/sceneInterface,3,1,1,WorldRuleSceneUI,38,2,0,6,0|0,,
78000110,305409,数据保存,icons_component/dataSaving,3,1,1,WorldRuleSaveData,39,2,0,7,0|0,,
78000111,305410,地图重置,icons_component/mapReset,3,1,1,WorldRuleResetMap,40,2,0,7,0|0,,
78000056,9403123,移动,icons_component/move,"1,2",1,1,Move,41,2,0,2,0|1,,
78000057,1230,熔炼,icons_component/furnace,13,1,1,FurnaceEdit,42,2,0,1,0|0,,
78000058,9403124,掉落,icons_component/dropItem,"1,2",1,1,DropItem,43,2,0,2,0|1,,
78000059,9403163,权限控制,icons_component/baseState,"1,2",1,1,BaseState,44,2,0,3,0|1,,
78000060,4804,战斗,icons_component/fight,"1,2",1,1,Fight,45,2,0,2,0|1,,
78000061,9403145,玩家控制,icons_component/playerController,2,1,1,PlayerController,46,2,0,3,0|1,,
78000112,4300,生命,icons_component/hp,"1,2",1,1,HP,47,2,0,2,0|1,,
78000113,300607,碰撞,icons_component/collider,"1,2",1,1,Collider,48,2,0,1,0|1,,
78000114,305212,区域,icons_component/area,0,1,1,Area,49,2,0,2,0|1,,
78000115,14523,位置,icons_component/position,0,1,1,Position,50,2,0,2,0|0,,
78000062,186,使用,icons_component/use,7,1,1,UseEdit,51,2,1,2,0|0,,
78000063,4414,耐久度,icons_component/durability,7,1,1,DurabilityEdit,52,2,0,2,0|0,,
78000064,307222,手持,icons_component/handle,7,1,1,HandleEdit,53,2,1,2,0|0,,
78000065,4488,枪械,icons_component/gun,7,1,1,GunEdit,54,2,0,2,0|0,,
78000066,9403171,骑乘,icons_component/ride,1,1,1,Ride,55,2,1,2,1|1,,
78000067,9403401,喂食,icons_component/ride,1,1,1,Feed,56,2,1,2,1|0,,3
78000068,9407401,繁殖,icons_component/dropItem,1,2,1,Reproduction,57,2,1,2,1|0,,3
78000069,9407501,交互,icons_component/dropItem,1,2,1,Interact,58,2,1,2,1|0,,3
78000070,9403351,成长,icons_component/ride,1,1,1,Grow,59,2,1,2,1|0,,3
78000071,9403301,驯服,icons_component/ride,1,1,1,Tame,60,2,1,2,1|0,,3
78000072,9403201,睡觉,icons_component/ride,1,1,1,Sleep,61,2,1,2,1|0,,3
78000073,9408401,村民组件,icons_component/ride,1,1,1,Villager,62,2,1,2,1|1,0|1,3
78000116,305447,战斗规则,icons_component/openingSettings,3,1,1,WorldRuleFightSetting,63,2,0,5,0|0,,
78000117,305448,特殊设定,icons_component/openingSettings,3,1,1,WorldRuleSpecialSetting,64,2,1,5,0|1,,
78000118,305449,物理规则,icons_component/openingSettings,3,1,1,WorldRulePhysicalSetting,65,2,1,5,0|1,,
78000119,305450,游戏模式,icons_component/openingSettings,3,1,1,WorldRuleCloudSetting,66,2,1,7,0|1,,
78000120,294,背包组件,icons_component/backpack,2,1,1,BackpackComponent,67,2,1,2,0|1,,
