组件ID,组件名字,备注,组件图标,组件所属类型（持续效果 1001 ， 瞬时效果1002）,组件一级分类(1 属性， 2 触发， 3 其它，0为不显示到外部）,组件LUA文件,排序ID,组件编辑类型（1=官方内部触发器，2=官方内部脚本，3=官方外部脚本 ，4=官方外部触发器，101=开发者脚本，102，开发者触发器，103=开发者lua）,选择器开关（0=关闭 1=打开   仅影响选择器，实际运行时是可以动态添加）,组件支持运行的环境：第一位代表编辑模式，第二位代表运行模式（创造、冒险都属于运行模式）
ID,NameId,Note,Icon,Filter,FirstType,ScriptPath,SortId,Source,SelectorSwitch,Environment
77000001,9408501,发射投掷物,icons_component/effect,1002,2,LaunchProjectileStatus,0,2,1,
77000005,9408502,造成伤害,icons_component/effect,1002,2,DoHarmStatus,0,2,1,
77000006,9408503,引发爆炸,icons_component/effect,1002,2,DoExplodeStatus,0,2,1,
77000007,9408504,施加状态,icons_component/effect,1002,2,ApplyBuffStatus,0,2,1,
77000008,9408505,恢复,icons_component/effect,1002,2,RecoverStatus,0,2,1,
77000009,9408510,通用方块放置组件,icons_component/effect,1002,0,CommonBlockPlace,0,2,0,1|1
77000010,9408511,方块堆叠效果组件,icons_component/effect,1002,0,BlockStackingStatusComp,0,2,0,1|1
77000011,9408512,方块食用效果组件,icons_component/effect,1002,0,BlockEatStatusComp,0,2,0,1|1
77000012,9408513,物质转化,icons_component/effect,1002,0,TransformBlockStatus,0,2,0,
77000013,9408514,石墙术,icons_component/effect,1002,0,StoneWallStatus,0,2,0,
77000014,9408515,化身方块术,icons_component/effect,1002,0,BlockTransformStatus,0,2,0,
77000015,9408516,互换位置,icons_component/effect,1002,0,SwapPosition,0,2,0,
77000018,9408517,召唤草精灵,icons_component/effect,1002,0,SummonGrassSpirit,0,2,0,
77000019,9408518,冰冻箭,icons_component/effect,1002,0,IceArrowStatus,0,2,0,
77000020,9408519,冰冻箭2,icons_component/effect,1002,0,IceArrowStatus2,0,2,0,
77000021,9408520,冰冻箭3,icons_component/effect,1002,0,IceArrowStatus3,0,2,0,
77000024,9408523,石墙术1,icons_component/effect,1002,0,StoneWallStatus1,0,2,0,
