id,合成品名称,合成品ID,背包显示排序,子类顺序,配方类别（0常用，1战斗，2生产，4建筑，6机械，7出现在食谱内，8出现在烹饪台内。填两个表示同时显示到两个分类里）,子类(填的是crafting的id),"插件编辑（大于0开放插件编辑，1：常用,2:装备,3:道具,4:材料,5:建筑,6:装饰,7:机械；填两个表示同时显示到两个分类里",插件编辑模板[0=不是模板，1=作为模板],英文名称,海外开放,必填/插件用,合成品数量,消耗经验,解锁等级(默认是1）,横占格（填3）,竖占格（填3）,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,是否随身合成（11616钛金锤（曾经是需要工具箱0，程序特殊处理了），11000空手（曾经是不需要工具箱1，程序特殊处理了），800不完整工匠台，797完整工匠台，794石锅，795烹饪台，150029融合台，201011烘焙箱）,烹饪时长（制作一份所需要的标准时长，单位tick，20tick=1s）,1格材料ID,1格材料数量,1格保留容器ID,2格材料ID,2格材料数量,2格保留容器ID,3格材料ID,3格材料数量,3格保留容器ID,4格材料ID,4格材料数量,4格保留容器ID,5格材料ID,5格材料数量,5格保留容器ID,6格材料ID,6格材料数量,6格保留容器ID,7格材料ID,7格材料数量,7格保留容器ID,8格材料ID,8格材料数量,8格保留容器ID,9格材料ID,9格材料数量,9格保留容器ID,货币ID,货币数量,分数,野人合成检测开关（0需要合成；1不需要合成）,标签
ID,ResultName,ResultID,DispOrder,SubTypeOrder,Type,SubType,EditType,IsTemplate,ENName,RegionType,Key,ResultCount,UseExp,UnlockLevel,GridX,GridY,IsGroup,IsFollowMe,Cooktime,MaterialID1,MaterialCount1,ContainerID1,MaterialID2,MaterialCount2,ContainerID2,MaterialID3,MaterialCount3,ContainerID3,MaterialID4,MaterialCount4,ContainerID4,MaterialID5,MaterialCount5,ContainerID5,MaterialID6,MaterialCount6,ContainerID6,MaterialID7,MaterialCount7,ContainerID7,MaterialID8,MaterialCount8,ContainerID8,MaterialID9,MaterialCount9,ContainerID9,MoneyID,MoneyCount,Score,HelperCheck,Tag
1,工匠台,797,1,"[1,1]","[0,2]","[21565,21570]",[1],1,Toolbox,,Toolbox,1,1,,3,3,1,11000,0,11323,6,,11627,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
2,木板,206,4,[4],"[0,4]","[21565,21544]","[1,5]",1,WoodBoard,,WoodBoard,1,1,,3,3,0,11000,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
3,秋叶橙木板,207,1003,[3],[4],[21544],"[1,5]",,YellowOrangeBoard,,YellowOrangeBoard,4,1,,3,3,0,797,0,11323,4,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
4,象牙白木板,208,1004,[3],[4],[21544],"[1,5]",,WhiteBoard,,WhiteBoard,4,1,,3,3,0,797,0,11323,4,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
5,海棠红木板,209,1005,[3],[4],[21544],"[1,5]",,LightRedBoard,,LightRedBoard,4,1,,3,3,0,797,0,11323,4,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
6,落日橙木板,210,1006,[3],[4],[21544],"[1,5]",,RedOrangeBoard,,RedOrangeBoard,4,1,,3,3,0,797,0,11323,4,,11536,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
7,深栗红木板,211,1007,[3],[4],[21544],"[1,5]",,DeepRedBoard,,DeepRedBoard,4,1,,3,3,0,797,0,11323,4,,11512,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
8,漂浮的木板,248,1008,[3],[4],[21544],,,FloatingPlank,,FloatingPlank,2,1,,3,3,0,797,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
10,黄铜斧,11001,1005,[15],[2],[21571],"[1,2]",1,BrassAxe,,BrassAxe,1,1,,3,3,1,797,0,11329,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
11,黄铜镐,11011,1006,[16],[2],[21571],"[1,2]",,BrassPickaxe,,BrassPickaxe,1,1,,3,3,1,797,0,11329,3,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
12,黄铜铲,11021,1007,[17],[2],[21571],"[1,2]",,BrassShovel,,BrassShovel,1,1,,3,3,1,797,0,11329,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
13,黄铜耙,11031,1008,[18],[2],[21571],"[1,2]",,BrassHoe,,BrassHoe,1,1,,3,3,1,797,0,11329,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
14,冶炼台,802,223,"[2,3]","[0,2]","[21565,21598]",[1],1,SmeltingFurnace,,SmeltingFurnace,1,1,,3,3,0,797,0,104,6,,101,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
15,符能提炼装置,825,1,[2],[2],[21599],,,,,,1,0,,3,3,0,797,0,11329,3,,632,3,,104,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
16,符文铭刻台,826,1,[3],[2],[21599],,,,,,1,0,,3,3,0,797,0,11209,5,,11911,1,,104,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
