ID,名称,文件名称,类别【1=图标|2=标签|3=按钮4=底板|5=背景图|6=文字|7=边框 8 = 天空盒 9=滤镜 10=方块贴图 11=特效贴图】,上级,文件夹,开关(0:关 1:开),排序,选择器类型（0不开放  1图片通用选择器 2贴图选择器 3天空盒贴图选择器 4太阳月亮选择器 5银河贴图选择器）,一级分类（1基础图片 2贴图）
ID,Name,Resource,Type,Pack,Dir,Open,Order,SelectorType,PrimaryType
10001,图标2,icon_08,1,common,,1,2,1,1
10002,图标1,npchat_icon_attack,1,c_miniwork,,1,1,1,1
10003,图标3,icon_bean,1,common,,1,3,1,1
10004,图标4,icon_blood,1,common,,1,4,1,1
10005,图标183,icon_box,1,common,,1,585,1,1
10006,图标184,icon_camera,1,common,,1,586,1,1
10007,图标185,icon_card,1,common,,1,587,1,1
10008,图标26,icon_Certified_Studio,1,common,,1,26,1,1
10009,图标186,icon_chat,1,common,,1,588,1,1
10010,图标27,icon_coin,1,common,,1,27,1,1
10011,标签2,btn_returnhome,2,common,,1,29,1,1
10012,标签1,label_information_bg,2,common,,1,28,1,1
10013,标签3,label_information_download,2,common,,1,30,1,1
10014,标签4,label_information_green,2,common,,1,31,1,1
10015,标签5,label_information_purple,2,common,,1,32,1,1
10016,标签6,label_information_red,2,common,,1,33,1,1
10017,标签7,label_information_share,2,common,,1,34,1,1
10018,标签8,label_notice_aqua,2,common,,1,35,1,1
10019,标签9,label_notice_aqua_b,2,common,,1,36,1,1
10020,标签10,label_notice_blue,2,common,,1,37,1,1
10021,按钮3,btn_bigsquare_yellow,3,common,,1,41,1,1
10022,底板59,btn_circle_blue,4,common,,1,131,1,1
10023,底板88,btn_circle_gray,4,common,,1,160,1,1
10024,按钮46,btn_close_banner,3,common,,1,161,1,1
10025,按钮47,close_button,3,common,,1,162,1,1
10026,按钮48,btn_help,3,common,,1,163,1,1
10027,标签62,btn_mini_gray_r,2,common,,1,549,1,1
10028,按钮4,btn_middle_blue,3,common,,1,42,1,1
10029,按钮5,btn_square_blue1,3,common,,1,43,1,1
10030,按钮6,btn_superbig_yellow,3,common,,1,44,1,1
10031,底板30,img_icon_lignt,4,common,,1,101,1,1
10032,底板40,img_icon_shortcut,4,common,,1,111,1,1
10033,底板41,tab_book_left_h,4,common,,1,112,1,1
10034,底板42,tab_clip_left_h,4,common,,1,113,1,1
10035,底板43,tab_book_left_n,4,common,,1,114,1,1
10036,底板44,tab_right_h,4,common,,1,115,1,1
10037,底板45,btn_entry_develop,4,common,,1,116,1,1
10038,底板46,board_activity_box_blue,4,common,,1,117,1,1
10039,底板47,btn_price,4,common,,1,118,1,1
10040,底板48,img_icon_green,4,common,,1,119,1,1
10041,标签11,need,2,c_ingame,,1,164,1,1
10042,背景图1,board_activity_box_white,5,common,,1,165,1,1
10043,底板69,img_board_scoring_sel,4,c_ingame,,1,141,1,1
10044,背景图2,img_play_revise,5,c_miniwork,,1,166,1,1
10045,背景图3,img_play_standard,5,c_miniwork,,1,167,1,1
10046,背景图4,img_play_setup,5,c_miniwork,,1,168,1,1
10047,底板108,img_land_2,4,c_ingame,,1,606,1,1
10048,背景图5,img_box_Dark,5,common,,1,169,1,1
10049,背景图6,frame_title_board_dark,5,common,,1,170,1,1
10050,底板70,img_bd_white50_circle,4,common,,1,142,1,1
10051,文字1,ico_lv1,6,common,,1,171,1,1
10052,文字2,ico_lv2,6,common,,1,172,1,1
10053,文字3,ico_lv3,6,common,,1,173,1,1
10054,文字4,ico_lv4,6,common,,1,174,1,1
10055,文字5,ico_lv5,6,common,,1,175,1,1
10056,边框21,icon_minus_white,7,common,,1,585,1,1
10057,边框1,lzy_37,7,c_ingame,,1,150,1,1
10058,边框10,frame_commend,7,common,,1,178,1,1
10059,边框11,frame_sink,7,common,,1,179,1,1
10060,边框12,sel_icon_custom,7,common,,1,180,1,1
10061,边框13,sel_icon_map,7,common,,1,181,1,1
10062,边框2,sight,7,c_ingame,,1,151,1,1
10063,边框3,operating_special_effects,7,c_ingame,,1,151,1,1
10064,边框14,img_item__box_selected,7,c_ingame,,1,184,1,1
10065,边框15,img_frame_activity,7,common,,1,185,1,1
10066,图标187,ico_model_top,1,common,,1,589,1,1
10067,图标188,icon_collect,1,common,,1,590,1,1
10068,图标28,icon_exp,1,common,,1,186,1,1
10069,图标189,icon_cottage,1,common,,1,591,1,1
10070,图标190,icon_custom,1,common,,1,592,1,1
10071,图标29,icon_dress_open,1,common,,1,187,1,1
10072,图标191,icon_friendshome,1,common,,1,593,1,1
10073,图标192,icon_flag,1,common,,1,594,1,1
10074,图标30,icon_fans_white,1,common,,1,188,1,1
10075,图标193,icon_garden,1,common,,1,595,1,1
10076,图标31,icon_gift_minipoint,1,common,,1,189,1,1
10077,图标32,icon_giftback,1,common,,1,190,1,1
10078,图标33,icon_give_,1,common,,1,191,1,1
10079,图标34,icon_homelv,1,common,,1,192,1,1
10080,图标35,icon_homecoin,1,common,,1,193,1,1
10081,图标36,icon_home_shop_o,1,common,,1,194,1,1
10082,图标37,icon_like_h,1,common,,1,195,1,1
10083,图标38,icon_like_n,1,common,,1,196,1,1
10084,图标39,icon_notice,1,common,,1,197,1,1
10085,图标194,icon_pet,1,common,,1,596,1,1
10086,图标195,icon_petcomposition,1,common,,1,597,1,1
10087,图标196,icon_petexploration,1,common,,1,598,1,1
10088,图标197,icon_quality,1,common,,1,599,1,1
10089,图标40,icon_reward_consume,1,common,,1,198,1,1
10090,图标170,icon_season1,1,common,,1,571,1,1
10091,图标171,icon_score_white,1,common,,1,572,1,1
10092,图标41,icon_warn,1,common,,1,199,1,1
10093,图标42,icon_xingxing,1,common,,1,200,1,1
10094,图标198,icon_workshop_b,1,common,,1,600,1,1
10095,图标43,icon_video_white,1,common,,1,201,1,1
10096,图标44,icon_speed,1,common,,1,202,1,1
10097,图标45,icon_shop_entry,1,common,,1,203,1,1
10098,图标46,icon_backpack,1,c_ingame,,1,204,1,1
10099,图标47,icon_official_pre,1,common,,1,206,1,1
10100,图标48,icon_praise_h,1,common,,1,207,1,1
10101,图标49,icon_score,1,common,,1,208,1,1
10102,图标50,icon_star_yellow,1,common,,1,209,1,1
10103,图标51,icon_tipoff_o,1,common,,1,210,1,1
10104,图标52,icon_fire,1,common,,1,211,1,1
10105,图标53,icon_fire01,1,common,,1,212,1,1
10106,图标54,icon_form_bow,1,c_miniwork,,1,213,1,1
10107,图标55,icon_form_equipment,1,c_miniwork,,1,214,1,1
10108,图标56,icon_form_food,1,c_miniwork,,1,215,1,1
10109,图标57,icon_form_gun,1,c_miniwork,,1,216,1,1
10110,图标58,icon_form_mess,1,c_miniwork,,1,217,1,1
10111,图标59,icon_form_missile,1,c_miniwork,,1,218,1,1
10112,图标60,icon_form_package,1,c_miniwork,,1,219,1,1
10113,图标61,icon_form_tool,1,c_miniwork,,1,220,1,1
10114,图标104,npchat_icon_juqing,1,c_ingame,,1,488,1,1
10115,图标105,npchat_icon_juqing_d,1,c_ingame,,1,489,1,1
10116,图标15,npcshop_icon,1,c_ingame,,1,15,1,1
10117,标签12,label_notice_darkorange,2,common,,1,221,1,1
10118,标签13,label_notice_gray,2,common,,1,222,1,1
10119,标签14,label_notice_green,2,common,,1,223,1,1
10120,标签15,label_notice_olive,2,common,,1,224,1,1
10121,标签16,label_notice_orange1,2,common,,1,225,1,1
10122,标签17,label_notice_orangered,2,common,,1,226,1,1
10123,标签18,label_notice_orchid,2,common,,1,227,1,1
10124,标签19,label_notice_pink,2,common,,1,228,1,1
10125,标签20,label_notice_purple,2,common,,1,229,1,1
10126,标签21,label_notice_radient_purple,2,common,,1,230,1,1
10127,标签22,label_notice_radient_red,2,common,,1,231,1,1
10128,标签23,label_notice_red,2,common,,1,232,1,1
10129,标签24,label_notice_royalblue,2,common,,1,233,1,1
10130,标签25,label_ser_sel,2,common,,1,234,1,1
10131,标签26,label_trends_official,2,common,,1,235,1,1
10132,标签27,laber_map_connoisseur,2,common,,1,236,1,1
10133,标签28,label_map_blue,2,c_miniwork,,1,237,1,1
10134,标签29,label_map_blue2,2,c_miniwork,,1,238,1,1
10135,标签30,label_map_gray,2,c_miniwork,,1,239,1,1
10136,标签31,label_map_green,2,c_miniwork,,1,240,1,1
10137,标签32,label_map_green2,2,c_miniwork,,1,241,1,1
10138,标签33,label_map_orange,2,c_miniwork,,1,242,1,1
10139,标签34,label_map_purple,2,c_miniwork,,1,243,1,1
10140,按钮7,board_check_d,3,common,,1,45,1,1
10141,按钮8,board_map_info,3,common,,1,46,1,1
10142,按钮9,board_map_page,3,common,,1,47,1,1
10143,按钮10,board_more,3,common,,1,48,1,1
10144,按钮11,btn_safe_middle,3,common,,1,49,1,1
