id,枚举名称,枚举类型,枚举类型名,属性类型（在本表中每新增一个新条目顺序向下加一，枚举名称相同归为一类）,备注
ID,EnumName,Type,,AttType,
100101,基础速度,1,速度类型,1001,
100102,奔跑速度,1,速度类型,1002,
100103,游泳速度,1,速度类型,1003,
100104,潜行速度,1,速度类型,1004,
100201,生命值,2,属性类型,1006,
100202,饥饿度,2,属性类型,1007,
100203,温度,2,属性类型,1073,
100204,金币数量,2,属性类型,,
100301,近战伤害,3,伤害类型,1008,
100302,远程伤害,3,伤害类型,1009,
100303,爆炸伤害,3,伤害类型,1010,
100304,燃烧伤害,3,伤害类型,1011,
100305,毒素伤害,3,伤害类型,1012,
100306,混乱伤害,3,伤害类型,1013,
100307,对精英的伤害,3,伤害类型,1014,
100308,对野兽的伤害,3,伤害类型,1015,
100309,对玩家的伤害,3,伤害类型,1016,
100310,对野人的伤害,3,伤害类型,1017,
100311,所有伤害,3,伤害类型,1018,
100313,冰冻伤害,3,伤害类型,1076,
100314,对僵尸的伤害,3,伤害类型,1081,
100315,枪械伤害,3,伤害类型,1106,
100401,受到近战伤害,4,受伤类型,1019,
100402,受到远程伤害,4,受伤类型,1020,
100403,受到爆炸伤害,4,受伤类型,1021,
100404,受到燃烧伤害,4,受伤类型,1022,
100405,受到毒素伤害,4,受伤类型,1023,
100406,受到混乱伤害,4,受伤类型,1024,
100407,受到精英的伤害,4,受伤类型,1025,
100408,受到野兽的伤害,4,受伤类型,1026,
100409,受到玩家的伤害,4,受伤类型,1027,
100410,受到野人的伤害,4,受伤类型,1028,
100411,受到跌落伤害,4,受伤类型,1029,
100412,受到所有伤害,4,受伤类型,1030,
100413,受到冰冻伤害,4,受伤类型,1077,
100414,受到僵尸的伤害,4,受伤类型,1082,
100501,近战防御,5,防御力类型,1031,
100502,远程防御,5,防御力类型,1032,
100503,爆炸防御,5,防御力类型,1033,
100504,燃烧抗性,5,防御力类型,1034,
100505,毒素抗性,5,防御力类型,1035,
100506,混乱抗性,5,防御力类型,1036,
100507,所有防御力,5,防御力类型,1037,
100508,冰冻抗性,5,防御力类型,1078,
100509,元素防御,5,防御力类型,1104,
100510,物理防御,5,防御力类型,1105,
100601,挖掘,6,幸运类型,1038,
100602,狩猎,6,幸运类型,1039,
100701,全身,7,身体部位,1040,
100702,头部,7,身体部位,1041,
100801,水下,8,环境,1042,
100802,太空,8,环境,1043,
100901,近战攻击,9,攻击力类型,1044,
100902,远程攻击,9,攻击力类型,1045,
100903,爆炸攻击,9,攻击力类型,1046,
100904,燃烧攻击,9,攻击力类型,1047,
100905,毒素攻击,9,攻击力类型,1048,
100906,混乱攻击,9,攻击力类型,1049,
100907,所有攻击力,9,攻击力类型,1050,
100908,冰冻攻击力,9,攻击力类型,1079,
101001,近战伤害,10,属性伤害,1019,
101002,远程伤害,10,属性伤害,1020,
101003,爆炸伤害,10,属性伤害,1021,
101004,燃烧伤害,10,属性伤害,1022,
101005,毒素伤害,10,属性伤害,1023,
101006,混乱伤害,10,属性伤害,1024,
101007,真实伤害,10,属性伤害,1051,
101008,冰冻伤害,10,属性伤害,1077,
101101,体力值,11,体力类型,1052,
101102,拓展体力值,11,体力类型,1053,
101201,所有体力消耗行为,12,玩家体力消耗行为类型,1054,
101202,奔跑,12,玩家体力消耗行为类型,1055,
101203,游泳,12,玩家体力消耗行为类型,1056,
101204,奔跑跳跃,12,玩家体力消耗行为类型,1057,
101205,挖掘方块,12,玩家体力消耗行为类型,1058,
101206,使用工具蓄力,12,玩家体力消耗行为类型,1059,
101301,所有体力恢复状态,13,玩家体力恢复行为类型,1060,
101302,静止,13,玩家体力恢复行为类型,1061,
