滑动条id,描述,数值类型（1=百分比  2=整数数值  3=实数数值，支持小数点后一位 UI显示是除以10）,上限值,下限值,默认值,步长,数值单位描述ID,显示前缀（不填=不显示 1=显示个+号）
ID,,NumericalType,Max,Minimum,Default,Step,UnitID,Prefix
200001,整数数值（-100至100）,2,100,-100,0,1,,1
200002,百分比（-100至100）,1,100,-100,0,1,,1
200003,整数数值（-1000至1000）,2,1000,-1000,0,1,,1
200004,整数数值（1至100）,2,100,1,0,1,,
200005,实数数值（0.1至60.0）,3,600,1,0,1,6283,
200006,百分比（1至100）,1,100,1,0,1,,
200007,整数数值（2至10）,2,10,2,0,1,,
200008,整数数值（1至10）,2,10,1,0,1,,
200009,百分比（-1000至1000）,1,1000,-1000,0,1,,1
200010,整数数值（-10至10）,2,10,-10,0,1,,1
200011,整数数值（1至1000）,2,1000,1,0,1,,
200012,百分比（-100至1000）,1,1000,-100,0,1,,1
200013,整数数值（0至15）,2,15,0,4,1,,
200014,整数数值（15至-15）,2,15,-15,0,1,,1
200015,整数数值（-15至15）支持小数,3,150,-150,0,1,,1
200016,整数数值（0.1至10）支持小数,3,100,1,1,1,,
200017,滑翔速度（1至100）,2,100,1,12,1,,
200018,电脑端旋转跟随速度（1至720）,2,720,1,180,1,,
200019,手机端旋转跟随速度（1至720）,2,720,1,240,1,,
200020,旋转延迟时间（0.0至10.0）,3,100,0,2,1,6283,
200021,滑翔重力系数（0.1至1.0）,3,10,1,2,1,6283,
200022,,,,,,,,
200023,,,,,,,,
200024,,,,,,,,
200025,,,,,,,,
200026,,,,,,,,
200027,,,,,,,,
200028,,,,,,,,
