鱼的id,中文名称,稀有度（0~4递增）,咬饵时间tick,基础全生态权重（biomedef.csv）,加成生态权重（biomedef.csv）,暴风雨权重加成,彩虹0假动作概率,普通鱼竿,角珊瑚鱼竿,气泡珊瑚鱼竿,圆盘珊瑚鱼竿,树珊瑚鱼竿,猫猫鱼竿,举鱼动作,模型路径（0=itemmod，1=entity）
ID,name,rarity,time,biome,biome2,waittime,feint,12721,12722,12723,12724,12725,12021,up,modepath
27,远方的漂流瓶,3,20,0,OCEAN|200;RIVER|200;FROZEN_OCEAN|200;FROZEN_RIVER|200;BEACH|300;BIOME_DESERT_LAKE|100;DEEPOCEAN|300;ISLAND_SHORE_DESERT|300;ISLAND_LAND_DESERT|300;ISLAND_SHORE_REDSOIL|300;ISLAND_LAND_REDSOIL|300;ISLAND_SHORE_REEF|300;ISLAND_LAND_REEF|300;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|10;FOREST|10,0,100,1.2,1.5,1.5,1.5,1.5,1,,
245,水草,1,50,500,,0,100,1.2,1,1,1,1,1,,
12615,生海带,1,50,0,OCEAN|300;BEACH|500;DEEPOCEAN|200;ISLAND_SHORE_DESERT|200;ISLAND_LAND_DESERT|200;ISLAND_SHORE_REDSOIL|200;ISLAND_LAND_REDSOIL|200;ISLAND_SHORE_REEF|200;ISLAND_LAND_REEF|200,0,100,1,1,1,1,1,1,,
486,角珊瑚,1,50,0,OCEAN|50;BEACH|100,0,100,1,1,1,1,1,1,,
487,白化角珊瑚,1,50,0,OCEAN|50;BEACH|50,0,100,1,1,1,1,1,1,,
488,气泡珊瑚,1,50,0,OCEAN|50;BEACH|50,0,100,1,1,1,1,1,1,,
489,白化气泡珊瑚,1,50,0,OCEAN|50;BEACH|50,0,100,1,1,1,1,1,1,,
490,圆盘珊瑚,1,50,0,OCEAN|50;BEACH|50,0,100,1,1,1,1,1,1,,
491,白化圆盘珊瑚,1,50,0,OCEAN|50;BEACH|50,0,100,1,1,1,1,1,1,,
492,树珊瑚,1,50,0,OCEAN|50;BEACH|50,0,100,1,1,1,1,1,1,,
493,白化树珊瑚,1,50,0,OCEAN|50;BEACH|50,0,100,1,1,1,1,1,1,,
11657,发光的荧光棒,2,40,0,DEEPOCEAN|300;ISLAND_SHORE_DESERT|300;ISLAND_LAND_DESERT|300;ISLAND_SHORE_REDSOIL|300;ISLAND_LAND_REDSOIL|300;ISLAND_SHORE_REEF|300;ISLAND_LAND_REEF|300,0,100,1,1,1,1,1,1,,
13600,灯笼鱼,3,40,0,OCEAN|80;DEEPOCEAN|100;ISLAND_SHORE_DESERT|100;ISLAND_LAND_DESERT|100;ISLAND_SHORE_REDSOIL|100;ISLAND_LAND_REDSOIL|100;ISLAND_SHORE_REEF|100;ISLAND_LAND_REEF|100,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13602,鳐鱼,3,40,0,OCEAN|80;DEEPOCEAN|100;ISLAND_SHORE_DESERT|100;ISLAND_LAND_DESERT|100;ISLAND_SHORE_REDSOIL|100;ISLAND_LAND_REDSOIL|100;ISLAND_SHORE_REEF|100;ISLAND_LAND_REEF|100,0,100,1,1.5,1.5,1.5,1.5,1,1,1
13604,淡蓝呆呆鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|100;FROZEN_RIVER|100;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100,0,100,1,1,1,1,1,1,1,1
13605,深蓝呆呆鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|100;FROZEN_RIVER|100;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100,0,100,1,1,1,1,1,1,1,1
13606,黑色呆呆鱼,2,40,0,DEEPOCEAN|400;ISLAND_SHORE_DESERT|400;ISLAND_LAND_DESERT|400;ISLAND_SHORE_REDSOIL|400;ISLAND_LAND_REDSOIL|400;ISLAND_SHORE_REEF|400;ISLAND_LAND_REEF|400;REDSOIL|50;REDSOIL_SHORE|50,0,100,1,1,1,1,1,1,1,1
13607,淡蓝奇奇鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|150;FROZEN_RIVER|150;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100,0,100,1,1,1,1,1,1,1,1
13608,粉红丑丑鱼,2,40,0,OCEAN|100;RIVER|100;FROZEN_OCEAN|150;FROZEN_RIVER|150;BEACH|200;BIOME_DESERT_LAKE|100;DEEPOCEAN|60;ISLAND_SHORE_DESERT|60;ISLAND_LAND_DESERT|60;ISLAND_SHORE_REDSOIL|60;ISLAND_LAND_REDSOIL|60;ISLAND_SHORE_REEF|60;ISLAND_LAND_REEF|60;REDSOIL|100;REDSOIL_SHORE|100;PLAINS|100;FOREST|100;TAIGA|100;SWAMPLAND|100;ICE_PLAINS|100;JUNGLE|100;RAINFOREST|100;AIR_ISLAND|100;BASIN_PEACH|100,0,100,1,1,1,1,1,1,1,1
13609,金色呆呆鱼,4,40,0,OCEAN|50;RIVER|30;FROZEN_OCEAN|30;FROZEN_RIVER|30;BEACH|100;BIOME_DESERT_LAKE|50;DEEPOCEAN|50;ISLAND_SHORE_DESERT|50;ISLAND_LAND_DESERT|50;ISLAND_SHORE_REDSOIL|50;ISLAND_LAND_REDSOIL|50;ISLAND_SHORE_REEF|50;ISLAND_LAND_REEF|50;REDSOIL|50;REDSOIL_SHORE|50;SWAMPLAND|50,50,100,0,1.5,1.5,1.5,1.5,1,1,1
13610,金色奇奇鱼,4,40,0,OCEAN|50;RIVER|30;FROZEN_OCEAN|30;FROZEN_RIVER|30;BEACH|100;BIOME_DESERT_LAKE|50;DEEPOCEAN|50;ISLAND_SHORE_DESERT|50;ISLAND_LAND_DESERT|50;ISLAND_SHORE_REDSOIL|50;ISLAND_LAND_REDSOIL|50;ISLAND_SHORE_REEF|50;ISLAND_LAND_REEF|50;REDSOIL|50;REDSOIL_SHORE|50;SWAMPLAND|50,50,100,0,1.5,1.5,1.5,1.5,1,1,1
13611,金色丑丑鱼,4,40,0,OCEAN|50;RIVER|30;FROZEN_OCEAN|30;FROZEN_RIVER|30;BEACH|100;BIOME_DESERT_LAKE|50;DEEPOCEAN|50;ISLAND_SHORE_DESERT|50;ISLAND_LAND_DESERT|50;ISLAND_SHORE_REDSOIL|50;ISLAND_LAND_REDSOIL|50;ISLAND_SHORE_REEF|50;ISLAND_LAND_REEF|50;REDSOIL|50;REDSOIL_SHORE|50;SWAMPLAND|50,50,100,0,1.5,1.5,1.5,1.5,1,1,1
