熔炼ID,熔炼材料ID,物品名字,英文名称/必填/插件用,插件用名称,插件编辑模板[0=不是模板，1=作为模板],插件编辑[大于0开放插件编辑，1=作物，2=工具，3=杂物，4=方块],"熔炉类型(0熔炉,1氧气提炼装置,2篝火)",氧气值,热量（燃烧时间单位tick，20tick=1s）,燃烧值（篝火，0-100）,熔炉产出（石炉产出）,产出数量,（废弃）熔炉产出2（铜炉产出）,（废弃）产出数量2,（废弃）熔炉产出3（铁炉产出）,（废弃）产出数量3,经验产出,掉落几率,掉落的星星数量（数组，两个值随机）,保留容器ID,分数,提供热量（每个tick提供的热量）,熔炼时间,标签
ID,MaterialID,Name,ENName,Key,IsTemplate,EditType,Type,OxyValue,Heat,Combustion,Result,ResultNum,Result2,ResultNum2,Result3,ResultNum3,Exp,ExpOdds,StarCount,ContainerID,Score,ProvideHeat,BurnTime,Tag
4,200,樱桃木,CherryWood,CherryWood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
5,201,落叶松木,Larch,Larch,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
6,202,白杨木,Poplarwood,Poplarwood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
7,203,红杉木,Redwood,Redwood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
8,11226,植物纤维,ABundleofWeeds,ABundleofWeeds,0,0,1,10,50,5,,,,,,,,,,,,1,,
9,205,核桃木,WalnutWood,WalnutWood,0,4,0,,400,40,,,,,,,,,,,0.1,6,,
10,206,木板,WoodBoard,WoodBoard,0,4,0,,320,32,0,0,,,,,,,,,,4,,
11,207,秋叶橙木板,YellowOrangeBoard,YellowOrangeBoard,0,4,0,,320,32,0,0,,,,,,,,,,4,,
12,208,象牙白木板,WhiteBoard,WhiteBoard,0,4,0,,320,32,0,0,,,,,,,,,,4,,
13,209,海棠红木板,LightRedBoard,LightRedBoard,0,4,0,,320,32,0,0,,,,,,,,,,4,,
14,210,落日橙木板,RedOrangeBoard,RedOrangeBoard,0,4,0,,320,32,0,0,,,,,,,,,,4,,
15,211,深栗红木板,DeepRedBoard,DeepRedBoard,0,4,0,,320,32,0,0,,,,,,,,,,4,,
16,212,樱桃树苗,CherryWoodSapling,CherryWoodSapling,0,1,0,,160,16,0,0,,,,,,,,,,2,,
17,213,落叶松树苗,LarchSapling,LarchSapling,0,1,0,,160,16,0,0,,,,,,,,,,2,,
18,214,白杨树苗,PoplarSapling,PoplarSapling,0,1,0,,160,16,0,0,,,,,,,,,,2,,
19,215,红杉树苗,RedwoodSapling,RedwoodSapling,0,1,0,,160,16,0,0,,,,,,,,,,2,,
