规则ID,排序ID/从小到大，相等则按规则ID,规则名称,繁体规则名称,英文规则名称,规则描述,繁体规则描述,英文规则描述,大类ID,大类名称,繁体大类名称,英文大类名称,缺省option,跑酷option,对战option,吃鸡option,选项ID1,选项ID2,选项ID3,选项ID4,选项ID5,选项ID6,选项ID7,选项ID8,选项ID9,选项ID10
ID,OrderID,Name,TWName,ENName,Desc,TWDesc,ENDesc,TypeID,TypeName,TWTypeName,ENTypeName,DefOption1,DefOption2,DefOption3,DefOption4,OptionID1,OptionID2,OptionID3,OptionID4,OptionID5,OptionID6,OptionID7,OptionID8,OptionID9,OptionID10,OptionID11,OptionID12
1,11,地图当前时间,地圖當前時間,Current time,设置当前地图的时间点,設置當前地圖的時間點,Set the time of current map,1,场景基本设定,場景基本設定,General,4,3,3,4,3,4,5,6,7,8,,,,
2,12,锁定时间,鎖定時間,Time locking,是否锁定为固定的时间,是否鎖定為固定的時間,Lock time to a fixed point or not,1,场景基本设定,場景基本設定,General,1,1,1,2,2,1,,,,,,,,
3,13,天气,天氣,Weather,设置当前的天气,設置當前的天氣,Set current weather condition,1,场景基本设定,場景基本設定,General,10,60,60,60,60,10,11,97,107,108,109,110,111,113,114,115,
5,14,允许破坏方块,允許破壞方塊,Destory cubes,允许挖掘和破坏方块（转为玩法模式后生效）,允許挖掘和破壞方塊（轉為玩法模式後生效）,Allow to dig and destroy cubes (Available in Custom mode),1,场景基本设定,場景基本設定,General,1,1,1,1,1,2,,,,,,,,
6,15,允许放置方块,允許放置方塊,Place cubes,允许放置手中的方块（转为玩法模式后生效）,允許放置手中的方塊（轉為玩法模式後生效）,Allow to place cubes  (Available in Custom mode),1,场景基本设定,場景基本設定,General,1,1,1,1,1,2,,,,,,,,
7,16,允许使用功能方块,允許使用功能方塊,Use function cubes,允许使用功能方块，例如箱子（转为玩法模式后生效）,允許使用功能方塊，例如箱子（轉為玩法模式後生效）,"Allow to use function cubes, such as box (Available in Custom mode)",1,场景基本设定,場景基本設定,General,1,1,1,1,1,2,,,,,,,,
4,21,最大玩家数,最大玩家數,MAX. NO. of gamers,最多可参与的玩家数量,最多可參與的玩家數量,Maximum number of players involved,2,场景开启规则,場景開啟規則,Scene rules,86,17,17,86,12,13,14,15,16,17,84,85,86,87
10,22,开启方式,開啟方式,Launch game,进入地图后的正式开启游戏的方式,進入地圖後的正式開啟遊戲的方式,The way to launch game after entering the map,2,场景开启规则,場景開啟規則,Scene rules,30,30,30,30,30,31,70,,,,,,,
11,23,开启需求人数,開啟需求人數,MIN. NO. of gamers,达到最低需要的人数，才可手动或自动开启玩法,達到最低需要的人數，才可手動或自動開啟玩法,The game can be launched only when the minimum number of gamers is reached.,2,场景开启规则,場景開啟規則,Scene rules,12,12,12,13,12,13,14,15,16,17,84,85,86,87
12,31,队伍数量,隊伍數量,No. of teams,参与游戏的队伍数量（玩家会随机分配到队伍内）,參與遊戲的隊伍數量（玩家會隨機分配到隊伍內）,The number of teams (gamers will be assigned to teams randomly),3,队伍（阵营）设定,隊伍（陣營）設定,Teams,32,12,13,32,32,12,13,14,17,,,,,
13,32,攻击玩家设定,攻擊玩家設定,Attack settings,设定玩家队伍间的攻击关系,設定玩家隊伍間的攻擊關係,Set the attack mode among teams,3,队伍（阵营）设定,隊伍（陣營）設定,Teams,59,58,59,59,59,58,57,,,,,,,
16,41,击败玩家得分,擊敗玩家得分,Defeat gamer,击败敌方玩家，可获得的分数,擊敗敵方玩家，可獲得的分數,The score to get for defeating an enemy gamer,4,得分设定,得分設定,Scores,12,32,12,12,12,13,14,15,16,32,41,,,
17,42,击败怪物得分,擊敗怪物得分,Defeat monster,击败怪物，可获得的分数,擊敗怪物，可獲得的分數,The score to get for defeating a monster,4,得分设定,得分設定,Scores,32,32,12,89,12,13,14,15,16,32,41,,,
18,43,收集闪光得分,收集閃光得分,Collect shining star,收集到闪光星星方块，可获得的分数,收集到閃光星星方塊，可獲得的分數,The score to get for collecting a shining star,4,得分设定,得分設定,Scores,12,12,12,89,12,13,14,15,16,32,41,,,
19,45,复活时间,復活時間,Revival interval,选择复活的间隔时间,選擇復活的間隔時間,Select the interval time for revival,4,得分设定,得分設定,Scores,9,43,43,14,9,42,43,44,,,,,,
20,46,复活保护,復活保護,Revival Protection,复活后一段时间内受到保护，不受任何伤害，主动攻击后取消。,復活後一段時間內受到保護，不受任何傷害，主動攻擊後取消。,Takes no damage after revival. Initiative attack will terminate the protection.,4,得分设定,得分設定,Scores,45,45,45,45,45,46,44,,,,,,,
24,47,开启战斗提示,開啟戰鬥提示,Battle reminder,击败玩家后，开启音效和聊天信息（适合对战规则）,擊敗玩家後，開啟音效和聊天資訊（適合對戰規則）,"After defeating players, turn on the sound and chat messages (suitable for battle rule)",4,得分设定,得分設定,Scores,1,2,1,1,2,1,,,,,,,,
14,51,结束时间,結束時間,Closing time,达到时间后，本局游戏结束，分数高的队伍获胜,達到時間後，本局遊戲結束，分數高的隊伍獲勝,"The game is over at the preset time, and the team with higher score wins",5,完成目标设定,完成目標設定,Goal achievement,33,35,35,33,33,34,35,36,37,,,,,
15,52,完成目标分数,完成目標分數,Target score,达到分数后，本局游戏结束，先达到分数的队伍获胜,達到分數後，本局遊戲結束，先達到分數的隊伍獲勝,The team that reaches the target score wins and the game is over,5,完成目标设定,完成目標設定,Goal achievement,61,61,61,61,61,38,39,40,41,,,,,
23,53,玩法模式退出后重置,玩法模式退出後重置,Reset Custom mode,房主退出或关闭后，玩法模式会重置到开启状态,房主退出或關閉後，玩法模式會重置到開啟狀態,The custom mode will be turned on when the home owner exits or closes the room,5,完成目标设定,完成目標設定,Goal achievement,1,1,1,1,2,1,,,,,,,,
8,61,重力,重力,Gravity,改变场景的重力系数（重力越低，跳跃越高）,改變場景的重力係數（重力越低，跳躍越高）,Change the gravity coefficient of the scene (Lower gravity means larger height of jump),6,其他规则,其他規則,Other rules,21,19,21,21,18,19,20,21,22,23,,,,
9,62,默认视角,預設視角,Default angle view,锁定进入场景的玩家视角,鎖定進入場景的玩家視角,Lock gamers' angle view when they enter scenes,6,其他规则,其他規則,Other rules,24,24,24,24,24,25,26,78,27,28,29,88,95,
25,63,背景音乐,背景音樂,BGM,选择循环播放的背景音乐,選擇迴圈播放的背景音樂,Select the background music to be played in the loop,6,其他规则,其他規則,Other rules,9,49,52,9,9,49,50,51,52,53,54,55,56,48
26,17,怪物生成,怪物生成,Monster generation,游戏中是否继续生成怪物,遊戲中是否繼續生成怪物,Whether monsters can be generated in game,1,场景基本设定,場景基本設定,General,62,62,62,62,62,1,2,,,,,,,
27,47,复活点方式,復活點方式,Revival point,同种复活点最多放置10个,同種復活點最多放置10個,Up to 10 revival points of the same kind can be placed,4,得分设定,得分設定,Scores,63,64,63,63,63,64,,,,,,,,
28,33,不同队伍小地图显示,不同隊伍小地圖顯示,Teams on minimap,不同队伍小地图显示的标记,不同隊伍小地圖顯示的標記,The marks of different teams on minimap,3,队伍（阵营）设定,隊伍（陣營）設定,Teams,65,65,65,66,65,66,,,,,,,,
29,64,玩家死亡是否掉落物品,玩家死亡是否掉落物品,Item drops after death,玩家死亡是否掉落物品,玩家死亡是否掉落物品,Whether a gamer drops items when he/she dies in game,6,其他规则,其他規則,Other rules,67,67,67,67,67,68,69,94,,,,,,
30,65,显示比分和时间,顯示比分和時間,Scores and time,显示屏幕上方的比分和游戏时间。,顯示幕幕上方的比分和遊戲時間。,Show scores and game time,6,其他规则,其他規則,Other rules,1,1,1,2,1,2,,,,,,,,
33,44,染色得分,染色得分,Staining score,配合彩蛋枪，将方块染色得分，掉色则减分。,配合彩蛋槍，將方塊染色得分，掉色則减分。,"Get score after dyeing cubes with a paintball pistol, the opposite is point-deduction.",4,得分设定,得分設定,Scores,32,32,32,32,12,13,14,15,16,32,41,,,
21,34,名字显示,名字顯示,Display names,是否显示对方头顶的名字,是否顯示對方頭頂名字,Whether display names on top of the heads of gamers,3,队伍（阵营）设定,隊伍（陣營）設定,Teams,71,71,71,74,71,72,73,74,,,,,,
22,54,时间结束后胜负判定,時間結束後勝負判定,Victory condition,根据分数:时间结束后分数高的队伍获。全体胜利/全体失败:时间结束后所有玩家胜利/失败。,時間結束後勝負判定,Score: the team with the highest score wins. Victory/Defeat: all the gamers win/lose.,5,完成目标设定,完成目標設定,Goal achievement,75,75,75,75,75,76,77,,,,,,,
31,55,生命数限制,生命數限制,Revival chances,每个队伍的复活次数，次数用光则失败。队伍中玩家共享次数。,每個隊伍的復活次數，次數用光則失敗。,The revival chances of each team. Gamers in the same team share the chances.,5,完成目标设定,完成目標設定,Goal achievement,79,79,79,12,79,80,81,82,83,,,,,
32,66,显示准星,顯示準星,Crosshair,PC版本是否显示准星。,PC版本是否顯示準星。,Whether the crosshair appears on PC mode,6,其他规则,其他規則,Other rules,1,1,1,1,1,2,,,,,,,,
35,67,开启毒气扩散,開啟毒氣擴散,,开启后，默认开启一系列吃鸡规则,開啟後，默認開啟壹系列吃雞規則,,1,世界设定,世界設定,,2,2,2,1,1,2,,,,,,,,
36,68,第一个安全区直径,第壹個安全區直徑,,第一个生成的安全区，安全区外的人会被毒死,第壹個生成的安全區，安全區外的人會被毒死,,1,世界设定,世界設定,,84,84,84,82,,,,,,,,,,
37,69,生成安全区前时间,生成安全區前時間,,缩圈前的准备时间,縮圈前的準備時間,,1,世界设定,世界設定,,90,90,90,90,,,,,,,,,,
38,70,中途加入游戏,中途加入遊戲,,开启此选项，则本地图开始游戏后，其他玩家就不能加入,開啟此選項，則本地圖開始遊戲後，其他玩家就不能加入,,2,开局设定,開局設定,,1,1,1,2,1,2,,,,,,,,
39,71,队伍共用生命数,,,队伍是否共用生命数,,,6,其它规则,,,1,1,1,2,1,2,,,,,,,,
40,72,开启观战失败,,,开启观战失败,,,6,其它规则,,,1,1,1,2,1,2,,,,,,,,
41,73,观战类型,,,观战类型,,,6,其他规则,其他規則,Other rules,91,91,91,91,91,92,93,,,,,,,
42,74,倒计时（秒）,,,开启游戏的倒计时长,,,2,场景开启规则,,,14,14,14,14,,,,,,,,,,
43,75,达到分数回合重置,,,达到分数重置回合,,,5,完成目标设定,,,2,1,1,1,2,1,,,,,,,,
44,76,重置分数,,,重置回合需要得到的分数,,,2,完成目标设定,,,44,17,17,86,12,13,14,,,,,,,
