解锁对象ID,解锁类型（（0免费，1迷你币，2家园币，3迷你豆，4迷你点，5道具不足用迷你豆）,消耗道具ID,消耗道具数量,消耗位置（0家园1账号）,代替道具ID,代替需要数量,系列ID,获得数量（在创造背包中获得的数量）
ItemID,CostType,CostItemID,CostNum,CostPlace,ReplaceItemID,ReplaceItemNum,GroupID,GainNum
419,5,20097,1,1,10000,270,16,0
420,5,20098,1,1,10000,270,16,0
424,5,20099,1,1,10000,270,16,0
427,5,20100,1,1,10000,270,16,0
428,5,20101,1,1,10000,270,16,0
429,5,20102,1,1,10000,270,16,0
539,5,20103,1,1,10000,270,17,0
551,5,20104,1,1,10000,270,17,0
552,5,20105,1,1,10000,270,17,0
553,5,20106,1,1,10000,270,17,0
554,5,20107,1,1,10000,270,17,0
854,5,20000,5,1,10000,45,6,0
855,5,20001,5,1,10000,45,6,0
856,5,20002,10,1,10000,45,6,0
857,5,20003,10,1,10000,90,6,0
858,5,20004,5,1,10000,90,6,0
859,5,20005,2,1,10000,90,6,0
860,5,20006,10,1,10000,90,6,0
861,5,20007,5,1,10000,90,2,0
862,5,20008,2,1,10000,30,1,0
863,5,20009,3,1,10000,30,1,0
864,5,20010,5,1,10000,30,1,0
865,5,20011,8,1,10000,30,1,0
866,5,20012,3,1,10000,45,1,0
867,5,20013,5,1,10000,45,1,0
868,5,20014,10,1,10000,45,1,0
869,5,20015,2,1,10000,45,1,0
870,5,20016,2,1,10000,90,2,0
871,5,20017,5,1,10000,90,2,0
872,5,20018,12,1,10000,90,2,0
873,5,20019,4,1,10000,90,2,0
874,5,20020,8,1,10000,90,2,0
875,5,20021,3,1,10000,90,2,0
876,5,20022,10,1,10000,90,2,0
877,5,20023,10,1,10000,90,2,0
881,5,20084,2,1,10000,90,14,0
883,5,20054,2,1,10000,90,7,0
884,5,20055,5,1,10000,90,7,0
885,5,20056,15,1,10000,90,7,0
886,5,20057,6,1,10000,45,9,0
888,5,20058,10,1,10000,45,9,0
890,5,20059,16,1,10000,45,9,0
892,5,20066,5,1,10000,90,11,0
893,5,20067,5,1,10000,90,11,0
894,5,20068,5,1,10000,90,11,0
895,5,20069,5,1,10000,90,11,0
896,5,20070,5,1,10000,90,11,0
897,5,20071,5,1,10000,90,11,0
898,5,20072,5,1,10000,90,12,0
899,5,20073,5,1,10000,90,12,0
900,5,20074,5,1,10000,90,12,0
926,5,20075,5,1,10000,90,13,0
927,5,20076,5,1,10000,90,13,0
928,5,20077,5,1,10000,90,13,0
929,5,20078,5,1,10000,90,13,0
931,5,20079,5,1,10000,90,12,0
933,5,20080,5,1,10000,90,12,0
934,5,20081,5,1,10000,90,12,0
935,5,20082,5,1,10000,90,12,0
936,5,20083,5,1,10000,90,12,0
940,5,20085,3,1,10000,90,14,0
941,5,20086,4,1,10000,90,14,0
942,5,20087,5,1,10000,90,14,0
943,5,20088,6,1,10000,90,14,0
945,5,20089,10,1,10000,90,14,0
946,5,20090,2,1,10000,90,14,0
947,5,20091,3,1,10000,90,14,0
948,5,20092,4,1,10000,90,14,0
949,5,20093,8,1,10000,90,14,0
960,5,20024,2,1,10000,90,8,0
961,5,20025,5,1,10000,90,8,0
962,5,20026,3,1,10000,90,8,0
963,5,20027,10,1,10000,90,8,0
964,5,20028,10,1,10000,90,8,0
965,3,10000,60,1,,,3,0
966,3,10000,120,1,,,3,0
967,5,20041,5,1,10000,45,3,0
968,3,10000,270,1,,,3,0
969,3,10000,180,1,,,3,0
970,5,20044,6,1,10000,45,4,0
971,5,20045,8,1,10000,45,4,0
972,5,20046,20,1,10000,45,4,0
973,5,20047,10,1,10000,45,4,0
974,5,20048,16,1,10000,45,4,0
975,5,20049,4,1,10000,45,5,0
976,5,20050,6,1,10000,45,5,0
977,5,20051,12,1,10000,45,5,0
978,5,20052,6,1,10000,45,5,0
979,5,20053,8,1,10000,45,5,0
1060,5,20138,10,1,10000,90,22,0
1101,5,20111,1,1,10000,450,19,0
1102,5,20112,1,1,10000,180,19,0
1103,5,20113,1,1,10000,270,19,0
1104,5,20114,1,1,10000,450,19,0
1105,5,20115,1,1,10000,180,19,0
1106,5,20116,1,1,10000,270,19,0
1107,5,20117,1,1,10000,270,19,0
1108,5,20118,1,1,10000,90,19,0
1109,5,20119,1,1,10000,180,19,0
1110,5,20120,1,1,10000,360,19,0
1111,5,20121,1,1,10000,450,20,0
1112,5,20122,1,1,10000,90,20,0
1113,5,20123,1,1,10000,90,20,0
1114,5,20124,1,1,10000,90,20,0
1115,5,20125,1,1,10000,180,20,0
1116,5,20126,1,1,10000,180,20,0
1117,5,20127,1,1,10000,270,20,0
1118,5,20128,1,1,10000,360,20,0
1119,5,20129,1,1,10000,180,20,0
1120,5,20130,1,1,10000,540,20,0
1136,5,20139,10,1,10000,90,23,0
1137,5,20140,4,1,10000,90,23,0
1159,5,20142,10,1,10000,90,24,0
1160,5,20143,10,1,10000,90,24,0
1161,5,20144,10,1,10000,90,24,0
1164,5,20145,10,1,10000,90,24,0
12253,5,20094,20,1,10000,90,14,0
12280,5,20062,5,1,10000,90,10,0
12281,3,10000,60,1,,,10,0
12283,5,20064,12,1,10000,90,10,0
12284,5,20065,10,1,10000,90,10,0
12291,5,20135,14,1,10000,90,22,0
12589,5,20131,12,1,10000,90,21,0
12830,5,20095,5,1,10000,90,15,0
13808,5,20096,5,1,10000,90,15,0
15506,5,20132,5,1,10000,90,21,0
15507,5,20133,6,1,10000,90,21,0
15508,5,20134,3,1,10000,90,21,0
15519,5,20136,9,1,10000,90,22,0
15520,5,20137,12,1,10000,90,22,0
1145,5,20147,12,1,10000,90,23,0
1147,5,20293,12,1,10000,90,23,0
1747,5,20149,5,1,10000,90,25,0
1748,5,20150,10,1,10000,90,25,0
1749,5,20148,15,1,10000,90,25,0
1750,5,20151,4,1,10000,90,25,0
1751,5,20152,5,1,10000,90,25,0
1752,5,20153,6,1,10000,90,25,0
1811,5,20294,6,1,10000,45,27,0
1812,5,20295,8,1,10000,45,27,0
1813,5,20296,20,1,10000,45,27,0
1814,5,20297,10,1,10000,45,27,0
1815,5,20298,16,1,10000,45,27,0
12301,5,20154,10,1,10000,150,26,0
12302,5,20155,10,1,10000,150,26,0
12303,5,20156,10,1,10000,150,26,0
12304,5,20157,10,1,10000,150,26,0
12305,5,20158,10,1,10000,150,26,0
12306,5,20159,10,1,10000,150,26,0
12307,5,20160,10,1,10000,150,26,0
201600,5,97030,4,1,10002,12,35,0
201601,5,97031,4,1,10002,12,35,0
201602,5,97032,4,1,10002,12,35,0
201603,5,97033,8,1,10002,12,35,0
201604,5,97034,4,1,10002,12,35,0
201605,5,97035,8,1,10002,12,35,0
201606,5,97036,13,1,10002,12,35,0
201607,5,97037,13,1,10002,12,35,0
201608,5,97038,8,1,10002,12,35,0
201609,5,97039,13,1,10002,12,35,0
201610,5,97040,8,1,10002,12,35,0
201611,5,97041,13,1,10002,12,35,0
201612,5,97042,8,1,10002,12,35,0
201613,5,97043,4,1,10002,12,35,0
201614,5,97044,13,1,10002,12,35,0
201615,5,97045,4,1,10002,12,35,0
201616,5,97046,8,1,10002,12,35,0
201639,5,97068,1,1,10002,25,37,0
201640,5,97069,1,1,10002,25,37,0
201641,5,97070,1,1,10002,25,37,0
201642,5,97071,1,1,10002,25,37,0
201643,5,97072,1,1,10002,10,37,0
201644,5,97073,1,1,10002,10,37,0
201645,5,97074,1,1,10002,25,37,0
201646,5,97075,1,1,10002,25,37,0
201647,5,97076,1,1,10002,25,37,0
201648,5,97077,1,1,10002,25,37,0
201649,5,97078,1,1,10002,25,37,0
201650,5,97079,1,1,10002,10,37,0
201651,5,97080,1,1,10002,5,37,0
201652,5,97081,1,1,10002,10,37,0
201653,5,97082,1,1,10002,10,37,0
201654,5,97083,1,1,10002,10,37,0
201655,5,97084,1,1,10002,25,37,0
201656,5,97085,1,1,10002,10,37,0
201617,5,97047,2,1,10002,12,36,0
201618,5,97048,2,1,10002,12,36,0
201619,5,97049,2,1,10002,12,36,0
201620,5,97050,4,1,10002,12,36,0
201621,5,97051,4,1,10002,12,36,0
201622,5,97052,4,1,10002,12,36,0
201623,5,97053,4,1,10002,12,36,0
201624,5,97054,4,1,10002,12,36,0
201625,5,97055,9,1,10002,12,36,0
201626,5,97056,14,1,10002,12,36,0
201627,5,97057,14,1,10002,12,36,0
201628,5,97058,9,1,10002,12,36,0
201629,5,97059,9,1,10002,12,36,0
201630,5,97060,9,1,10002,12,36,0
201631,5,97061,4,1,10002,12,36,0
201632,5,97062,9,1,10002,12,36,0
201633,5,97063,14,1,10002,12,36,0
201634,5,97064,14,1,10002,12,36,0
201635,5,97065,9,1,10002,12,36,0
201636,5,97066,14,1,10002,12,36,0
201637,5,97067,19,1,10002,12,36,0
201660,5,97086,4,1,10002,12,38,0
201661,5,97087,14,1,10002,12,38,0
201662,5,97088,12,1,10002,12,38,0
201663,5,97089,5,1,10002,12,38,0
201664,5,97090,9,1,10002,12,38,0
201665,5,97091,6,1,10002,12,38,0
201666,5,97092,5,1,10002,12,38,0
