iD,备注（坐骑必须配置两个，服务器解锁用0级，客户端商店用1级）,被骑时高度,存档界面显示放缩,商城界面显示放缩,最小生命,最大生命,最小陆地速度,最大陆地速度,最小飞行速度,最大飞行速度,最小游泳速度,最大游泳速度,最小跳跃高度,最大跳跃高度,坐骑蛋ID,下蛋时间(刻),骑乘切换背视角,子模型显示（原鞍使用模型）,天生装备鞍,天生装备铠甲,铠甲栏位概率,天生技能1（1孵化蛋，2蓄力期间加速，3水上行走，4超级跳跃，5滑翔，6岩浆行走，7奔腾）,天生技能2（同天生技能1）,天生技能3（同天生技能1）,天生技能4（同天生技能1）,天生技能5（同天生技能1）,天生技能6（同天生技能1）,坐骑类型(1=变形关联坐骑2=驯服类坐骑3=解锁坐骑),骑乘绑点ID,"个人中心界面位置调整（基准位置-260, 20, -150）",,加速特效名称,食物,骑乘坐姿（0坐，1站）,变色
ID,,RideHeight,UIScale,ShopUIScale,MinHP,MaxHP,MinLandSpeed,MaxLandSpeed,MinFlySpeed,MaxFlySpeed,MinSwimSpeed,MaxSwimSpeed,MinJumpHeight,MaxJumpHeight,EggBlock,EggGenTicks,ChangeFPS,SaddleModel,BornSaddle,BornArmor,ArmorSlotProb,BornSkill1,BornSkill2,BornSkill3,BornSkill4,BornSkill5,BornSkill6,HorseType,RidingBindID,PlayerCenterPosition,,AccelerateEffect,Food,RiddenAnim,ChangeColors
3245,虚空团子,290,0.9,,250,300,150,150,,,,,70,80,,,,,11810,,,,,,,,,2,,,,,,,
3247,虚空角鹿,190,0.7,,70,100,300,300,,,,,50,50,,,,1,11810,,,,,,,,,2,,,,,,,
3262,虚空沃沃兽,190,0.7,,70,100,300,300,,,,,50,50,,,,1,11810,,,,,,,,,2,,,,,,,
3405,冰熊,290,0.7,,150,225,500,700,,,,,60,80,,,,1,11810,,1,,,,,,,2,,,,,,,
3406,迅猛龙,290,0.7,,100,150,550,750,,,,,80,120,,,,1,11810,,1,,,,,,,2,,,,,,,
3410,鸵鸟,290,0.7,,75,100,600,800,,,,,60,100,,,,1,11810,,1,,,,,,,2,,,,,,,
3415,团子,290,0.9,,250,300,150,150,,,,,70,80,,,,,11810,,,,,,,,,2,,,,,,,
3422,飞鸡,290,0.9,,100,150,300,300,,,,,60,80,,,,1,11810,,1,10,,,,,,2,,,,,,,
3430,普通化石龙,290,0.6,,200,200,700,700,,,,,80,80,,,,1,11810,,1,,,,,,,3,,,,,11403,,
3431,化石龙,290,0.6,,200,200,1000,1000,,,,,120,120,950,108000,,2,12271,,100,2,,,,,,3,,,,,11403,,
3432,化石龙,290,0.6,,200,200,1010,1010,,,,,120,120,950,108000,,2,12271,,100,2,,,,,,3,,,,,11403,,
34303,化石龙,290,0.6,,200,200,1020,1020,,,,,120,120,950,108000,,2,12271,,100,2,,,,,,3,,,,,11403,,
34304,化石龙,290,0.6,,200,200,1030,1030,,,,,120,120,950,108000,,2,12271,,100,2,,,,,,3,,,,,11403,,
34305,化石龙,290,0.6,,200,200,1040,1040,,,,,130,130,950,108000,,2,12271,,100,2,,,,,,3,,,,,11403,,
34306,化石龙,290,0.6,,200,200,1050,1050,,,,,130,130,950,108000,,2,12271,,100,2,,,,,,3,,,,,11403,,
34307,化石龙,290,0.6,,200,200,1060,1060,,,,,130,130,950,108000,,2,12271,,100,2,,,,,,3,,,,,11403,,
34308,化石龙,290,0.6,,200,200,1070,1070,,,,,130,130,950,108000,,2,12271,,100,2,,,,,,3,,,,,11403,,
34309,化石龙,290,0.6,,200,200,1080,1080,,,,,130,130,950,108000,,2,12271,,100,2,,,,,,3,,,,,11403,,
34310,超级化石龙,290,0.6,,200,200,1100,1100,,,,,130,130,950,72000,,3,12271,12272,100,2,3,,,,,3,,,,,11403,,
3433,小飞鼠,290,0.7,,200,200,500,500,,,,,120,120,,,,1,11810,,1,,,,,,,3,,"-300, 20, -150",,,12503,,
3434,敏捷小飞鼠,290,0.7,,200,200,800,800,,,,,180,180,951,108000,,2,12273,,100,4,,,,,,3,,"-300, 20, -150",,,12503,,
