能力ID,能力名称,图标,技能分类（1特性技能，2普通技能）,技能文件名（需要lua逻辑支持时才填，名字罗列于技能模板.xlsx）,描述,效果ID,效果值1,效果名称1,效果值2,效果名称2,效果值3,效果名称3,效果值4,效果名称4,效果值5,效果名称5,效果值6,效果名称6,效果值7,效果名称7,特效1,特效2,特效3,音效1,音效2,音效3,备注,
ID,Name,Icon,SkillType,ScriptName,Desc,EffectID,Effect1,EffectDesc1,Effect2,EffectDesc2,Effect3,EffectDesc3,Effect4,EffectDesc4,Effect5,EffectDesc5,Effect6,EffectDesc6,Effect7,EffectDesc7,SkillEffectName1,SkillEffectName2,SkillEffectName3,Sound1,Sound2,Sound3,,
1,坐骑宝宝,8,1,,拥有这个技能的坐骑，在地图中玩一段时间后，会产出1个坐骑宝宝，可以送给房间中的其他小伙伴。,1,,,,,,,,,,,,,,,,,,,,,,
2,冲刺,7,1,,蓄力期间移动速度增加30%。,2,30,,,,,,,,,,,,,,,,,,,,,
3,踏水,2,1,,可以在水面上快速行走，但不可以在水面上跳跃。,3,,,,,,,,,,,,,,,,,,,,,,
4,超跳,6,1,,拥有超强的跳跃能力。,,,,,,,,,,,,,,,,,,,,,,,
5,滑翔,glide,1,,可以在空中乘风滑翔。,5,,,,,,,,,,,,,,,,,,,,,,
6,炎走,firerun,1,,可以在岩浆表面行走。,,,,,,,,,,,,,,,,,,,,,,,
7,疾冲,jumpsprint,1,,跳跃后在空中按下跳跃键，会往面朝方向疾速冲刺。,,370,,,,,,,,,,,,,,,,,,,,,
9,双骑,9,1,,可以乘载两名乘客，带上你的小伙伴吧~,6,2,,,,,,,,,,,,,,,,,,,,,
10,蹦跃,1,1,,可以不断使用跳跃键向上飞，但下坠得特别快哦。,,14,,75,,19,,15,,0.66,,0.66,,2,,,,,,,,,
11,顽强,10,1,,拥有较高的生命力。,,,,,,,,,,,,,,,,,,,,,,,
12,浮水,12,1,,可以浮在水面。,,,,,,,,,,,,,,,,,,,,,,,
13,潜泳,13,1,,可以潜入水中遨游。,,,,-1,,30,,,,,,,,,,,,,,,,,
14,激流,14,1,,在水中按下跳跃键，会往面朝方向疾速突进。,,15,,4,,2,,,,,,,,,,,,,,,,,
15,汽车人突击,15,1,,向前冲刺撞击。,,3,,5,,4,,0.2,,,,,,,,,,,,,,cd时间，攻击点数，格子数，镜头抖动的时间,
16,霸天虎导弹,16,1,,直线发射导弹。,7,3,,0.8,,12299,,250,,85,,0.1,,,,,,,,,,cd时间，力量(决定发射速度)，物品id（子弹），初始位置往前的偏移，初始位置向上的偏移，镜头抖动的时间,
17,黄蜂突刺,17,1,,向前冲刺一段时间。,8,6,,1.5,,30,,1.5,,,,,,,,,,,,,,cd时间，持续时间，加速速度，镜头抖动时间,
18,飞扑,18,1,,长按跳跃键蓄满力，跳跃落地时对前方生物施加减速buff。,,5,,5,,,,,,,,,,,,,,,,,,格子数，减速时间（秒），,
19,威慑,19,1,,长按跳跃键蓄满力，跳跃落地时可以短距离击退前方生物。,,5,,3,,,,,,,,,,,,,,,,,,格子数，击退距离，,
20,漂浮,20,1,,可以漂浮在空中进行短距离飞行，下落过程不会掉血。,9,16,,-24,,2,,15,,9,,20,,0.1,,,,,,,,,
21,飞行,21,1,,可以在空中飞行一段距离，下落过程不会掉血。,,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
22,双骑,22,1,,可以乘载两名乘客，带上你的小伙伴吧~,,,,,,,,,,,,,,,,,,,,,,,
23,能量盾,23,1,,可以形成一个能量盾保护你和你的同伴。,,50,,25,,,,,,,,,,,,,,,,,,生命值，冷却时间s,
24,单骑,24,1,,可以乘载一名乘客。,,,,,,,,,,,,,,,,,,,,,,,
25,空中警报,25,1,,可以在空中飞行一段距离，下落过程不会掉血。,9,15,,-8,,0.8,,10,,7,,18,,0.1,,,,,,,,,
26,红色闪电,26,1,,向前冲刺一段时间。,8,6,,1.5,,30,,1.5,,,,,,,,,,,,,,cd时间，持续时间，加速速度，镜头抖动时间,
27,聚变激光,27,1,,直线发射导弹。,7,3,,0.8,,12299,,250,,170,,0.1,,,,,,,,,,cd时间，力量(决定发射速度)，物品id（子弹），初始位置往前的偏移，初始位置向上的偏移，镜头抖动的时间,
28,炎狱火,28,1,,点击攻击键可喷出火焰，对前方生物施加灼烧debuff。,10,30,,5,,3,,70,,,,,,,,,,,,,,技能CD，技能距离，技能高度，技能扇形角度,
29,幽冥火,29,1,,点击攻击键可喷出火焰，对前方生物施加灼烧debuff。,10,30,,5,,3,,70,,,,,,,,,,,,,,技能CD，技能距离，技能高度，技能扇形角度,
30,振翅,30,1,,长按跳跃键可以在空中进行短距离飞行，下落过程不会掉血。,9,16,,-24,,2,,15,,9,,20,,0.1,,,,,,,,,
31,展翼,31,1,,长按跳跃键可以在空中进行较长距离飞行，下落过程不会掉血。,9,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,,
32,暴龙咆哮,32,1,,点击攻击键咆哮，对前方生物施加减速buff。,10,30,,5,,3,,70,,,,,,,,,,,,,,技能CD，技能距离，技能高度，技能扇形角度,
33,迅捷之翼,33,1,,长按跳跃键可以在空中进行短距离飞行，下落过程不会掉血。,9,15,,-8,,0.8,,10,,7,,18,,0.1,,,,,,,,,
34,骨刺横扫,34,1,,点击攻击键可甩动尾部，对后方扇形区域生物造成3点伤害。,10,10,,4,,5,,180,,10,,,,,,,,,,,,技能CD，技能距离，技能高度，技能扇形角度，技能伤害,
35,星光,35,1,,向上发射一颗星星。,11,15,,12300,,60,,,,,,,,,,,,,,,,技能cd、投掷物id、发射角度,
36,月生,36,1,,长按跳跃键可以在空中进行短距离飞行，下落过程不会掉血。,9,15,,-24,,4,,15,,9,,20,,0.1,,,,,,,,,
37,时间告急,37,1,,向前急速奔跑一段时间。,8,6,,1.5,,30,,1.5,,,,,,,,,,,,,,cd时间，持续时间，加速速度，镜头抖动时间,
38,双骑,38,1,,可以乘载两名乘客，带上你的小伙伴吧~,,,,,,,,,,,,,,,,,,,,,,,
39,踏雪行,39,1,,可以踩着雪花在空中行走，下落过程不会掉血。,9,16,,-24,,2,,15,,9,,20,,0.1,,,,,,,,,
40,嘟嘟车冲啊,40,1,,使用可以发出车喇叭的声音，车前灯闪烁。,8,8,,3,,2,,1,,0,,,,,,,,,,,,cd时间，持续时间，加速速度，镜头抖动时间，音效循环,
41,五谷丰登,41,1,,使用后向四周投掷元宝、铜币，投掷时会短暂加速。,8,8,,3,,2,,1,,0,,,,,,,,,,,,cd时间，持续时间，加速速度，镜头抖动时间，音效循环,
42,四人同行,42,1,,可以乘载4名乘客，带上你的小伙伴吧。,6,4,,,,,,,,,,,,,,,,,,,,,
43,星河穿梭,44,1,,可以在空中飞行一段距离，下落过程不会掉血。,9,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,,
44,鲸之浮岛,43,1,,可以潜入水中遨游。,,,,-1,,30,,,,,,,,,,,,,,,,,
45,蛮牛之力震慑,45,1,,长按跳跃键蓄满力，跳跃落地时对前方生物施加减速buff。,,5,,5,,,,,,,,,,,,,,,,,,格子数，减速时间（秒），,
46,蛮牛之力强击,46,1,,长按跳跃键蓄满力，跳跃落地时可以短距离击退前方生物。,,5,,3,,,,,,,,,,,,,,,,,,格子数，击退距离，,
47,飞花,47,1,,可以在空中飞行一段距离，下落过程不会掉血。,9,12,,-25,,3,,12,,8,,15,,0.07,,,,,,,,,
48,惊鸿,48,1,,可以在空中飞行一段距离，下落过程不会掉血。,9,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,,
49,叶舞,49,1,,使用身边会飘散叶片。,8,10,,3,,2,,1,,0,,,,,,,,,,,,cd时间，持续时间，加速速度，镜头抖动时间，音效循环,
50,日轮,50,1,,使用获得一个可以吸收20伤害的护盾。,,20,,30,,,,,,,,,,,,,,,,,,防护盾生命值，冷却时间,
51,神光,51,1,,使用使玩家伤害提升5%。,12,1011001,,1012001,,30,,20,,0,,50,,3,,,,,,,,"buffid1，buffid2,cd时间，buff持续时间，使用者，半径，效果远程近战",
52,魔法烟花,52,1,,满足蓄力条件，跳跃落地时触发，坐骑周围会燃放烟花、播放音效。,,,,,,,,,,,,,,,,,,,,,,,
53,华丽烟花,53,1,,满足蓄力条件，跳跃落地时触发，坐骑周围会燃放精致华丽的烟花、播放音效。,,,,,,,,,,,,,,,,,,,,,,,
