id,中文名称【所有用到道具名称的地方都是读这里】,预制文件名,插件用【作为插件json文件的名称，不能有空格】,2.0创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象,插件编辑【大于0开放插件编辑，1=工具，2=武器，3=食物，4=装备，5=材料】,2.0插件编辑模板【0=不是模板，1=作为插件编辑模板】,作为插件编辑材料，如道具掉落等【0=不作为材料，1=作物分类，2=工具，3=杂物，4=方块】,开放到触发器选择的道具库【1-5方块类 6-10道具类 12投掷物类 1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块 6=消耗品 7=材料 8=武器 9=装备 10=工具 11=生物蛋 12=投掷物 13=乐器】,模型文件夹名字【用于手持模型和凋落物模型，位于res/itemmods】,贴图【模型的贴图文件，已弃用】,贴图id【一个模型可以使用不同的贴图，改变外观；仅用于手持模型名字为texturen】,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,"品质等级【用于旧版家园开果实的奖励级别，0一级,1二级,2三级,3四级】","帐号道具类型【0普通功能，1碎片，2仅普通地图提取，3仅家园提取，4都可提取,5可选择，6抽奖礼包，7商业化道具，8宠物蛋】",1-皮肤，2-坐骑，3-avatar，4-皮肤碎片，5-坐骑碎片，6-武器皮肤道具，7-武器皮肤碎片，8-头像框，9-喷漆道具，10-喷漆道具碎片，11-气泡道具，12-播报道具，13-称号道具，14-迷你大会员，15-优惠券，16-头像，17-动作，18-心情框，19-背景，20称号，21表情包，22迷你赛季积分道具，23坐骑升级道具，24搭配赛抽奖券，26七彩碎片，29图鉴道具,皮肤/坐骑/avatarID/武器皮肤,"品质等级（1=浅灰色,2=绿色，3=蓝色，4=紫色，5=橙色，6=红色，7=白金）",0-普通，1-稀有，2-珍贵，3-传说，抽奖礼包暂用:4-永久，5-体验,关联物品ID【用于家园图鉴碎片配置对应解锁的道具，解锁类型是4时填10000】,家园图鉴解锁的货币类型【0不用解锁3碎片4迷你豆5混合】,家园图鉴解锁标志位【每个道具对应一个标志位】,替换解锁物品【家园图鉴解锁货币不足时用什么代替，解锁类型是4的时候这里填服务器那个ID】,碎片价格【跟替换解锁物品配套使用，替换物数】,家园图鉴解锁需要的碎片数量,"条件解锁类型【用来控制打完黑龙解锁的配方,1=一阶黑龙,2=二阶黑龙,3=三阶黑龙,4=科技树，-1=解锁配方才能用的道具】",背包筛选类型【冒险模式背包的筛选类型，1装备2工具3方块4材料】,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景，31可孵化蛋，32方块+预制蓝图】","创造模式背包一级分类【0不显示,1作物2工具3杂物4方块5编辑】",创造模式背包二级分类【植物=11 食物=12 饲料=13 特殊作物=14 道具=21 电路=22 生物=23 装备=24 建材=[31] 家具=32 装饰物=33 特殊杂物=34 地形=41 资源=42 特殊方块=43 建筑=44 玩法=51】,排序【创造模式背包同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,高级创造排序【高级创造背包/高级资源列表/资源库，同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,类型描述,新道具提示版本号【填了之后，玩家第一次看到时会显示新字，取第二位】,描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),图标【所有显示道具图标的地方都是读的这里，默认文件路径是env1/bin/res/items；方块类道具不填则使用自动生成的图标；#=使用角色头像，hf=使用头像框图标，#avatar_icon1000_=使用avatar图标，[=使用方块贴图】,是否显示模型【控制拿在手上是否显示模型，0显示图标，1显示工具模型toolmodel，2显示方块模型有模型优先调用模型没有就程序生成blockmodel，9显示新prefab模型（prefab道具手持），10prefab方块手持】,图标特效/填1带有特效,挥舞音效,挥舞用的图片,第一人称大小,第三人称大小,掉落物大小,挥舞周期（毫秒）,冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机,是否可以右键使用,右键使用操作范围(1/100方块）,归属物品组【同一物品组，在作为制作或者修理素材时会视为同一物品】,"使用目标:0-放置或者不能用, 1-点击方块, 2-点击液体方块  3-点使用按钮,  4-使用弓, 5-使用食物，6-使用特技，7-仓库中使用，8-使用枪, 9-蓄力扔出，烟雾弹，手雷等,10-钩爪, 11-“微缩组合”道具，12-乐器，14-使用盾牌，15-使用timeline蓄力投出）",使用的脚本,使用的脚本2（同时使用两个脚本时填写）,发射器发射物品的脚本,附魔标记（1放上面 2放下面 3前两者都可以 0前两者都不可以）,材料级别（0木1皮2石3链4铁5钛合金6钻，6代表5条附魔 5代表3条附魔 4代表1条附魔）,附魔后道具ID,是否可以提取(0不能 1能 2只有房主),分数,冷却,道具功能,消耗饥饿度,手持特效,手持特效放大系数,UGC工具屏蔽（填0或空不屏蔽脚本调用，作者解锁了就能用。填1屏蔽脚本调用。填2屏蔽脚本、选择器调用，作者解锁也不能用）,给道具添加技能（可以添加多个，用 | 隔开）,3.0高级创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象 999=不展示并屏蔽使用功能,显示模型特效（prefab模型使用，0或不填=不显示，1=显示）,显示第一人称手模型(1=显示，0=不显示),新输入方式标识（0或不填为老单击、长按判断，1为新单击长按判断）,标签,豪华值
ID,Name,PrefabName,Key,EditType,EditTypeEX,IsTemplate,DropType,TriggerType,Model,Texture,TextureID,RegionType,Quality,Chip,ShowType,ShowId,QualityLevel,ShowQuality,InvolvedID,UnlockType,UnlockFlag,ReplaceID,ChipPrice,ChipNum,CondUnlcokType,FilterType,Type,CreateType,ClassificationType,SortId,EXSortId,TypeDesc,Version,UnlockWay,TypeDesc,Desc,GetWay,Icon,IsMeshModel,IconEffect,WieldSound,WieldImage,WieldScale,ThirdPersonScale,DropScale,WieldPeriod,StackMax,Usable,Range,ItemGroup,UseTarget,UseScript,UseScript2,EmitScript,EnchantTag,StuffType,EnchantAfterID,CanExtract,Score,Cooldown,Skills,CostFoodLevel,HandEffect,HandEffectScale,ScriptMasking,AddSkills,EditThree,DisplayModelParticles,ShowFPSHand,InputFlag,Tag,LuxuryValue
0,空气,,Air,,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,100016,你看不见我,,[Air_wall,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
1,地心基石,,UltraStone,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,850,测试,,,100016,位于最深的地心，超级坚硬，无法撼动,,,2,,dig.stone,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
2,功能方块,,FunctionBlock,,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,神奇方块，威力不明,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
3,静态水,,StaticWater,11,,,4,2,,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,静止的水方块,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
4,动态水,,Water,11,,,4,2,,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,可流动的水,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
5,静态岩浆,,StaticLava,11,,,4,2,,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,静止的岩浆方块，小心这很烫！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
6,动态岩浆,,Lava,11,,,4,2,,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,可流动的岩浆方块，小心这很烫，会受伤！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
7,传送光效,,TeleportEffect,,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,似乎是个魔法方块,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
8,雕纹砖块,,EngravingBlock,13,,,4,4,,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,410,测试,,,100018,布满浮雕的建筑方块，质地坚硬,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,13,,,,,
9,加速移动方块,,SpeedUpBlock,41,,,4,4,,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,50,测试,,,100018,穿过此方块的人会受到一股莫名的推力,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,41,,,,,
10,星能块,,StarenergyBlock,,,,,,,,,,,,,,,-1,,,,,,,,,1,0,,,,测试,,,,放置后可以持续输出#c0aba1d星能信号#n,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
11,静态蜂蜜,,StaticHoney,11,,,4,2,,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,静止的蜂蜜,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
12,动态蜂蜜,,Honey,11,,,4,2,,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,可流动的蜂蜜,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
13,静态流沙,,StaticQuicksand,11,,,4,2,,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,细沙构成的“河流”，危险！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
14,动态流沙,,Quicksand,11,,,4,2,,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,细沙构成的“河流”，危险！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
15,咒岩,,CurseStone,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,220,测试,,,100018,散发着诡异气息的岩石，触碰#c0aba1d流沙#n后会怎样？挖掘时会获得流血诅咒！,沙漠绿洲地下遗迹的外墙,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
16,咒岩-激活,,CurseStoneActivated,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,100018,散发着诡异气息的岩石，触碰#c0aba1d流沙#n后会怎样？挖掘时会获得流血诅咒！,沙漠绿洲地下遗迹的外墙,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
17,静态剧毒,,StaticHighlyVenom,11,,,4,2,,,,,,,,,,-1,,,,,,,,,0,0,,70,750,测试,,,,散发着危险气息的液体，尽量远离,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
18,动态剧毒,,HighlyVenom,11,,,4,2,,,,,,,,,,-1,,,,,,,,,0,0,,70,750,测试,,,,散发着危险气息的液体，尽量远离,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
19,风蚀岩,,WindErosionStone,11,,,4,4,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,220,测试,,,,强风侵蚀后的沙漠岩石，有些脆弱,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
