道具ID,名称/只用作备注,皮肤ID,类型/1是7天，2是30天，3是永久，4是1天,补偿迷你豆/已永久解锁，则获得迷你豆
ItemID,,SkinID,ExpireTimeType,MiniBean
12981,胖哒（1天）,1,4,10
12989,慕容笑天（1天）,13,4,10
12990,羽姬（1天）,12,4,10
12991,荒原猎人雪诺（1天）,11,4,10
12992,叮叮当（1天）,10,4,10
12993,德古拉六世（1天）,9,4,10
12994,墨家小飞（1天）,8,4,10
12995,安妮（1天）,7,4,10
12996,乔治（1天）,6,4,10
12997,琉璃酱（1天）,5,4,10
12998,迷斯拉（1天）,4,4,10
12999,兔美美（1天）,3,4,10
13000,齐天小圣（1天）,2,4,10
13021,胖哒（永久）,1,3,10
13022,齐天小圣（永久）,2,3,10
13023,兔美美（永久）,3,3,10
13024,迷斯拉（永久）,4,3,10
13025,琉璃酱（永久）,5,3,10
13026,乔治（永久）,6,3,10
13027,安妮（永久）,7,3,10
13028,墨家小飞（永久）,8,3,10
13029,德古拉六世（永久）,9,3,10
13030,叮叮当（永久）,10,3,10
13031,荒原猎人雪诺（永久）,11,3,10
13032,羽姬（永久）,12,3,10
13033,慕容笑天（永久）,13,3,10
13034,西部警长乔伊（永久）,14,3,10
13035,篮球队长卢卡斯（永久）,15,3,10
13036,啦啦队长克莱尔（永久）,16,3,10
13037,西部玫瑰露西（永久）,17,3,10
13038,黑帽子船长蒂奇（永久）,18,3,10
13039,甜心玛丽（永久）,19,3,10
13001,花小楼（1天）,21,4,10
13002,程锦衣（1天）,20,4,10
13003,甜心玛丽（1天）,19,4,10
13004,黑帽子船长蒂奇（1天）,18,4,10
13005,西部玫瑰露西（1天）,17,4,10
13006,啦啦队长克莱尔（1天）,16,4,10
13007,篮球队长卢卡斯（1天）,15,4,10
13008,西部警长乔伊（1天）,14,4,10
