资源ID,名称,备注,预制名称,图标,分类,编辑器开放（0=开放，1=不开放）,排序ID
ID,Name,Note,Path,Icon,Type,Open,SortId
1001,分裂箭,弓,1001,cube,,0,1
1002,追踪箭,弓,1002,cube,,0,2
1003,冰冻箭,弓,1003,cube,,0,3
1004,火焰箭,弓,1004,cube,,0,4
1005,雷电箭,弓,1005,cube,,0,5
1006,蓄力魔弓,弓,1006,cube,,0,6
1007,火球术,法杖,1007,cube,,0,7
1008,冰球术,法杖,1008,cube,,0,8
1009,雷球术,法杖,1009,cube,,0,9
1010,跟踪飞弹,法杖,1010,cube,,0,10
1011,连锁闪电,法杖,1011,cube,,0,11
1012,延迟保护,虚空boss一阶段,1012,cube,,0,12
1013,控石术,法杖,1013,cube,,0,13
1014,满天星弹幕,虚空boss一阶段,1014,cube,,0,14
1015,酸液泡,食人花,1015,cube,,0,15
1016,符能机关枪,法杖,1016,cube,,0,16
1017,射箭,动物村民,1017,cube,,0,17
1018,火焰子箭,弓,1018,cube,,0,18
1019,雷电子箭,弓,1019,cube,,0,19
1020,分裂箭子箭1,弓,1020,cube,,0,20
1021,分裂箭子箭2,弓,1021,cube,,0,21
1022,分裂箭子箭3,弓,1022,cube,,0,22
1023,分裂箭子箭4,弓,1023,cube,,0,23
1024,冰球子球1,法杖,1024,cube,,0,24
1025,冰球子球2,法杖,1025,cube,,0,25
1026,冰球子球3,法杖,1026,cube,,0,26
1027,雷球子球,法杖,1027,cube,,0,27
1028,雷电分球1,法杖,1028,cube,,0,28
1029,雷电分球2,法杖,1029,cube,,0,29
1030,雷电分球3,法杖,1030,cube,,0,30
1031,控石术,子弹,1031,cube,,0,31
1032,控石术,子弹,1032,cube,,0,32
1033,超级虚空法球,虚空boss一阶段,1033,cube,,0,33
1034,箭形法球,法杖,1034,cube,,0,34
1035,白色法球,法师村民使用,1035,cube,,0,35
1036,孢子投射,蚀化菇王使用,1036,cube,,0,36
1037,孢子弹幕,蚀化菇王使用,1037,cube,,0,37
1038,虚空法球,虚空boss一阶段,1038,cube,,0,38
1039,远距离法球,虚空boss一阶段,1039,cube,,0,39
1040,全屏法球,虚空boss一阶段,1040,cube,,0,40
1041,环绕曲线弹幕,虚空boss一阶段,1041,cube,,0,41
1042,延迟炸弹,虚空boss一阶段,1042,cube,,0,42
1043,环绕直线弹幕,虚空boss一阶段,1043,cube,,0,43
1044,五散射弹幕,虚空boss一阶段,1044,cube,,0,44
1045,虚空boss裂波弹,虚空boss二阶段,1045,cube,,0,45
1046,虚空小弟激光,虚空boss二阶段,1046,cube,,0,46
1047,空间卷轴,卷轴,1047,cube,,0,47
1048,扇形激光,虚空boss一阶段,1048,cube,,0,48
1049,扇形激光2,虚空boss一阶段,1049,cube,,0,49
1050,扇形激光3,虚空boss一阶段,1050,cube,,0,50
1051,扇形激光4,虚空boss一阶段,1051,cube,,0,51
1052,扇形激光5,虚空boss一阶段,1052,cube,,0,52
1053,蘑菇炮弹,蘑菇国王,1053,cube,,0,53
1054,远程虚空弹幕,虚空使大祭司,1054,cube,,0,54
1055,虚空法球,法杖,1055,cube,,0,55
1056,虚空扇形激光,法杖,1056,cube,,0,56
1057,虚空扇形激光2,法杖,1057,cube,,0,57
1058,虚空扇形激光3,法杖,1058,cube,,0,58
1059,虚空扇形激光4,法杖,1059,cube,,0,59
1060,虚空扇形激光5,法杖,1060,cube,,0,60
1061,虚空环绕球,近战,1061,cube,,0,61
1062,虚空激光球,近战,1062,cube,,0,62
1063,虚空陨石雨,虚空陨石雨发射器,1063,cube,,0,63
1064,虚空陨石雨2,虚空陨石雨发射器2,1064,cube,,0,64
1065,虚空陨石雨3,虚空陨石雨发射器3,1065,cube,,0,65
1066,虚空陨石雨4,虚空陨石雨发射器4,1066,cube,,0,66
1067,瞬步炸弹,近战,1067,cube,,0,67
1068,蚀化法球,狗法师,1068,cube,,0,68
1069,蘑菇法球,蘑菇法师,1069,cube,,0,69
1070,蚀化法球2,坏法师,1070,cube,,0,70
1071,蚀化法球3,坏法师,1071,cube,,0,71
