id,名称,预制文件名,必填/插件用/不能有空格,英文名字,备注,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,描述,名称显示,描述显示,背包容量,饥饿度,饥饿度消耗速率,模型名字,模型贴图ID,ICON,幼年ID,创建ID（大生物生成时创建小生物的ID）,创建概率,"类型: 0-怪物, 1-动物, 2-稀有动物, 3-水生物, 4-移动工具，5-村民（商人）, 6-boss, 7-Npc，8-飞行生物， 9球，10-村民（新野人），11-三栖生物",编辑类型（1生物，2怪物）,编辑模板(0不是模板1是模板),触发器类型（1是动物 2是怪物 3是坐骑 4是村民-人形生物 5是载具）,"怪物属性(0-玩家和npc, 1-野兽,  2-野人,  3-精英,  4-虚空， 5-机械 ，6-外星 ，7-水生 ，8-飞行)",Tick周期,Tick脚本,生命,韧性,韧性恢复（每秒恢复量）,击退抗性,生命加强系数,物理防御,近程物理防御,远程物理防御,爆炸防御,元素防御,燃烧防御,毒素防御,混乱防御,冰冻防御,防御加强系数,"攻击类型:0近程,1:远程,2:爆炸",攻击,削韧值（默认5）,攻击附带buff,元素攻击,燃烧攻击,毒素攻击,混乱攻击,闪电攻击,冰冻攻击,攻击buff（近战）,攻击加强系数,攻击动作时间1/20秒,攻击范围/通用近战范围=1.6,视野范围,质量,高度,宽度,厚度,受击高度,受击宽度,受击厚度,转身速度（默认值30角度，每个tick转多少度）,移动速度,出生灯光上限,出生需要阳光,出生最低高度,出生最高高度,出生最低时间,出生最高时间,出生最低温度,出生最高温度,刷新数量上限,怪物群数量,拾取物品几率,怪物装备组id,怪物装备的几率,掉落1组,掉落1组几率,掉落2组,掉落2组几率,掉落id1,掉落1几率,掉落1数量,掉落id2,掉落2几率,掉落2数量,掉落id3,掉落3几率,掉落3数量,燃烧掉落,燃烧掉落概率,掉落经验,掉落经验概率,掉落的星星数量（数组，两个值随机）,掉落等级经验,主动攻击（1受伤后一起逃跑）,喂养物品id（弃用）,喂养成功几率（弃用）,可否驯养,可否繁殖（弃用）,成长时间（弃用）,可否骑乘（弃用）,是否可对话,受伤声音,死亡声音,说话声音,走路声音,攻击声音1,攻击冷却声音1,攻击声音2,攻击冷却声音2,携带特效,受击特效,死亡特效,模型放缩,模型随机缩放范围下限,击杀分数,繁殖分数,驯服分数,队伍（0= 无队伍， 1 = 队伍1，2=队伍2，99 = 队伍99  ， 101=村落1，102=村落2，199=村落99， 201 = 中立敌对， 202=中立被动）,默认对白,开发者脚本屏蔽召唤（0允许 1禁止）,备注,预缩放(触发器),繁殖类型（1哺乳、2鸟纲，没有填则无法繁殖，哺乳需要草垛，鸟纲需要窝）,"饲料类型（1,1草食消耗1次、1,2草食消耗2次、1,3草食消耗3次、2,1肉食消耗1次、2,2肉食消耗2次、2,3肉食消耗3次、3,1杂食消耗1次、3,2杂食消耗2次、3,3杂食消耗3次）",变蛋枪可否变蛋,温度防御,出生自带buff,出生自带buff组（用|隔开）,初始好感度,好感度上限,AI配置,移动能力 [行走， 游泳，飞行，爬行(暂时不支持)],标签
ID,Name,PrefabName,Key,ENName,,RegionType,Desc,NameDisPlay,DescDisplay,BagNum,Food,FoodReduce,Model,TextureID,Icon,BabyID,CreateID,BabyProb,Type,EditType,IsTemplate,TriggerType,Nature,TickPeriod,TickScript,Life,Toughness,ToughnessRecover,RepelRes,LifeIncrease,ArmorPhysics,ArmorPunch,ArmorRange,ArmorExplosion,ArmorMagic,ArmorFire,ArmorPoison,ArmorWither,ArmorIce,ArmorIncrease,AttackType,Attack,TouReduce,BuffId,AttackMagic,AttackFire,AttackPoison,AttackWither,AttackFlash,AttackIce,PunchBuff,AttackIncrease,AttackAnimTicks,AttackDistance,ViewDistance,Mass,Height,Width,Thickness,HitHeight,HitWidth,HitThickness,TurningSpeed,Speed,SpawnMaxLight,SpawnSunLight,SpawnMinHeight,SpawnMaxHeight,SpawnMinTime,SpawnMaxTime,SpawnMinTemperature,SpawnMaxTemperature,NumLimit,PackNum,PickItemOdds,EquipGroup,EquipOdds,DropGroup1,DropGroupOdds1,DropGroup2,DropGroupOdds2,DropItem1,DropItemOdds1,DropItemNum1,DropItem2,DropItemOdds2,DropItemNum2,DropItem3,DropItemOdds3,DropItemNum3,BurnDropItem,BurnDropItemOdds,DropExp,DropExpOdds,StarCount,LvExp,ActiveAtk,FeedItem,FeedOdds,CanTame,CanBreed,GrowTime,CanRide,CanTalk,HurtSound,DeathSound,SaySound,StepSound,AttackSound,AttackStopSound,AttackSound2,AttackStopSound2,Effect,HitEffect,DeadEffect,ModelScale,MinRandomScale,KillScore,BreedScore,TameScore,TeamID,Dialogue,ScriptDisable,,PreScale,Breed,Fodder,BecomeEgg,TemperatureDefense,BornBuff,BornBuffList,InitFavor,MaxFavor,AIConfig,MoveAbility,Tag
3001,备用ID,,,,,,,,,,,,player,,3001,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3002,备用ID,,,,,,,,,,,,,,3002,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3003,备用ID,,,,,,,,,,,,,,3003,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3004,备用ID,,,,,,,,,,,,,,3004,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3005,备用ID,,,,,,,,,,,,,,3005,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3006,备用ID,,,,,,,,,,,,,,3006,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3007,备用ID,,,,,,,,,,,,,,3007,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,100,50,50,120,70,70,,400,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3008,备用ID,,,,,,,,,,,,,,3008,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,100,50,50,120,70,70,,400,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3009,备用ID,,,,,,,,,,,,130002,,3009,,,,5,,,,,,,100,,,,,,,,,,,,,,,0,5,3,,,,,,,,,,7,1.6,10,,200,95,100,220,120,120,,500,15,1,0,255,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,备用的ID,,,,,,,,,,,,
