id,名称,浅海,草原,沙漠,峭壁,森林,针叶林,沼泽,冰原,红土,丛林,草地沙漠,河流,冻洋,冻河,冰山,红土海岸,沙滩,沙漠山丘,森林山丘,针叶林山丘,峭壁边缘,丛林山丘,烈焰星,空岛,盆地,盆地边缘,竹林盆地,桃花盆地,雨林,星球地表,星球山丘,星球地表-祭坛平原区,星球地表-高山,星球地表-丘陵,星球空岛占位,星球空岛,星球空岛子地形,星球空岛子地形2,星球空岛子地形3,星球空岛子地形4,星球空岛边缘,草原空岛地面,草原空岛天空,火山口,火山主峰,火山平原,火山山脉,火山岩浆网,深海,荒岛海岸,荒岛岛心,红土岛海岸,红土岛心,珊瑚岛海岸,珊瑚岛岛心,覆雪针叶林,雪山主峰,雪山副峰,雪山山脉,雪山中部,副峰雪山中部,雪山底部,冻湖,峡谷,峡谷边缘,干旱草原,蒲公英花海,油菜花海,薰衣草花海,狗尾花海,菊花花海,稻田,沼泽河畔,粉蝶花空岛,三角梅峭壁,郁金香岛心,郁金香海岸,迷拉星-丛林-蓝花楹树林,铁穹平原,铁穹舰队,荧菇平原-星尘之境,星辉湖泊-星尘之境,巨菇林-星尘之境,星影森林-星尘之境,碎岛边境-星尘之境,晶簇浮岛-星尘之境,破碎离岛-星尘之境,腐化遗岛-星尘之境,荧菇丘陵-星尘之境,荧菇平原边缘-星尘之境,四叶草溪-星尘之境,符光遗迹-星尘之境,星影森林丘陵-星尘之境,昏暗树林-星尘之境,猫狗村-星尘之境,蘑菇村-星尘之境,虚空-星尘之境
ID,Name,OCEAN,PLAINS,DESERT,EXTREMEHILLS,FOREST,TAIGA,SWAMPLAND,ICE_PLAINS,REDSOIL,JUNGLE,GrassDesert,RIVER,FROZEN_OCEAN,FROZEN_RIVER,ICE_MOUNTAINS,REDSOIL_SHORE,BEACH,DESERT_HILLS,FOREST_HILLS,TAIGA_HILLS,EXTREMEHILLS_EDGE,JUNGLE_HILLS,Earthcore,AIR_ISLAND,BASIN,BASIN_EDGE,BASIN_BAMBOO,BASIN_PEACH,RAINFOREST,BIOME_PLANET_SAPCE,BIOME_PLANET_SAPCE_HILLS,BIOME_PLANET_SAPCE_SUB1,BIOME_PLANET_SAPCE_SUB2,BIOME_PLANET_SAPCE_SUB3,BIOME_PLANET_SAPCE_AIRLANDS_BASE,BIOME_PLANET_SAPCE_AIRLANDS,BIOME_PLANET_SAPCE_AIRLANDS_SUB1,BIOME_PLANET_SAPCE_AIRLANDS_SUB2,BIOME_PLANET_SAPCE_AIRLANDS_SUB3,BIOME_PLANET_SAPCE_AIRLANDS_SUB4,BIOME_PLANET_SAPCE_AIRLANDS_SUB5,BIOME_AIR_PLAINS,BIOME_AIR_PLAINS_H,VOLCANO_CORE,VOLCANO,VOLCANO_PLAIN,VOLCANO_MOUNTAIN,VOLCANO_RIVER,DEEPOCEAN,ISLAND_SHORE_DESERT,ISLAND_LAND_DESERT,ISLAND_SHORE_REDSOIL,ISLAND_LAND_REDSOIL,ISLAND_SHORE_REEF,ISLAND_LAND_REEF,ICE_PLAINS_CONIFEROUS_FOREST,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUNTAIN,ICE_PLAINS_MOUTAINSIDE,ICE_PLAINS_SECOND_MOUTAINSIDE,ICE_PLAINS_PEAK_PLAIN,ICE_PLAINS_FRIZEB_LAKE,CANYON,CANYON_EAGE,PLAINS_ARID,PLAINS_DANDELION,PLAINS_RAPESEED,FOREST_LAVENDER,FOREST_FOXTAIL,FOREST_CHRYSANTH,BASIN_RICE,SWAMPLAND_RIVERSIDE,AIRISLAND_SHINE,EXTREMEHILLS_PLUM,ISLAND_LAND_TULIP,ISLAND_SHORE_TULIP,JUNGLE_LANHUAYING,BIOME_AIRSHIP,BIOME_AIRSHIP_H,MUSHROOM_PLAINS,STARLIGHT_LAKE,MUSHROOM_FOREST,STAR_FOREST,STAR_FOREST_EDGE,CRYSTAL_ISLAND,SHATTERED_ISLES,CORRUPTED_RUINS,MUSHROOM_HILLS,MUSHROOM_PLAINS_EDGE,CLOVER_STREAM,RUNE_RELIC,STAR_FOREST_HILLS,DARK_WOODS,CATDOG_VILLAGE,MUSHROOM_VILLAGE,VOID
3400,嘟嘟鸟,0,0,0,0,0,0,100,0,200,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,500,500,100,100,,,,,,,,,0,0,,,,,,,,50,,,50,50,,,,,,,,,,,,,,,,,,,,
3401,沃沃兽,0,80,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,0,0,0,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,0,100,,0,50,50,50,50,0,50,50,0,0,0,50,100,,,,,,,,,,,,,,,,,,
3402,墩墩,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,100,100,3,0,0,0,0,0,0,0,0,50,0,0,0,,,,,,,,,,,,,,,,,,,
3403,角鹿,0,0,0,100,100,80,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,100,0,0,100,100,100,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,100,,,,,,,,100,0,,50,50,50,50,50,0,0,0,50,0,0,50,,,,,,,,,,,,,,,,,,,
3404,马,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,  ,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
3407,狐狸,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,100,100,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,25,25,25,25,25,25,0,25,0,0,0,25,,,,,,,,,,,,,,,,,,,
3409,企鹅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,500,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,野人战士,300,300,0,300,300,300,300,0,0,300,300,300,300,300,300,0,300,300,300,300,300,300,0,300,300,300,300,300,300,,,,,,,,,,,,,,,,,,,,,300,300,300,300,300,300,,,,,,,,,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102,野萌宝,100,100,0,100,100,100,100,0,0,100,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,100,50,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,野人投矛手,200,200,0,200,200,200,200,0,0,200,200,200,200,200,200,0,200,200,200,200,200,200,0,200,200,200,200,200,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,200,200,,,,,,,,,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3107,蝙蝠,300,300,0,300,500,500,200,0,0,500,200,300,100,100,100,0,100,100,100,100,100,100,0,500,500,300,500,500,100,,,,,,,,,,,,,,,,,,,,,300,300,300,300,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
