任务ID,名称,类型（0=主线、1=支线、2=成就、3=科技树）,描述(加上@goal_index#会显示对应任务目标序号的任务计数，使用@item_道具id#添加可查看详情的道具),任务追踪框描述(加上@goal_index#会显示对应任务目标序号的任务计数，使用@item_道具id#添加道具文本，默认颜色#c7bbe3a),任务目标(道具：I_itemID(若使用组则填“IG_道具ID”)、生物：M_monsterID、生态：B_biometypename、星球：P_planet(0=迷拉星，1=烈焰星，2=萌眼星)、T_tunestoneEnchantType，0代表任意),奖励（成就型任务只读取index=1的奖励）,奖励发放类型(1=自动发放 2=手动领取),任务icon(填写“id”，获取显示对应item的图标，填写“#id”表示使用生物头像，路径：Assetruntime\Assets\Resources\ui\roles),指引图片(读取Assetruntime\Assets\Resources\ui\survivetaskguide目录下的文件名),继承存量已完成任务id,条件记录方式（科技树专用）,能否预完成（0=允许，1=不允许）,是否上报服务器（0=不上报，1=上报）,上报参数1,上报参数2
ID,Name,Type,Desc,TrackDesc,Goal,Rewards,RewardDistributionType,Icon,GuidePicture,OldTaskID,GoalCount,PreFinish,Reportserver,ReportParam1,ReportParam2
100101,战胜虚空！,0,"[
{
""String"" : ""留给迷你宇宙的时间不多了，我们需要抓紧时间收集一切可用资源恢复科技能力!#r"",
""UnlockTaskId"" : 0
},
{
""String"" : ""我们的最终目标就是#r"",
""UnlockTaskId"" : 0
},
{
""String"" : ""战胜#ca18be9虚空幻影#n!#r"",
""UnlockTaskId"" : 0
},
{
""String"" : ""终于有新的进展了#r生命圣物到手！#r"",
""UnlockTaskId"" : 100803
},
{
""String"" : ""勇气圣物到手！#r"",
""UnlockTaskId"" : 101003
},
{
""String"" : ""智慧圣物到手！#r"",
""UnlockTaskId"" : 101204
},
{
""String"" : ""我们已经集齐了所有圣物！#r#r找到“它”了！祭坛就在迷拉星的火山顶上！"",
""UnlockTaskId"" : 101204
}
]","[
""战胜#ca18be9虚空幻影#n!""
]","[
{
""Index"" : 1,
""Type"" : 8,
""GoalID1"" : ""M_3516"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 1000
}
]",1,#3515,100101,[1001004],0,,0,,
100102,窥探虚空,0,"[
{
""String"" : ""虚空幻影似乎留下了什么东西#r"",
""UnlockTaskId"" : 0
},
{
""String"" : ""获得@item_11333#@goal_1#"",
""UnlockTaskId"" : 0
}
]","[
""获得@item_11333#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11333"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 200411,
""RewardNum"" : 10
}
]",1,11333,100102,[1001005],0,,0,,
100201,初始资源,0,"[
{
""String"" : ""我们需要采集周边的#c7bbe3a石头#n和#c7bbe3a树木#n获得一些必要资源!#r"",
""UnlockTaskId"" : 0
},
{
""String"" : ""采集#c7bbe3a树木的树干或树枝#n可以得到"",
""UnlockTaskId"" : 0
},
{
""String"" : ""@item_11323#@goal_1#·#r"",
""UnlockTaskId"" : 0
},
{
""String"" : ""采集周围@item_110#可以得到"",
""UnlockTaskId"" : 0
},
{
""String"" : ""@item_11627#@goal_2#"",
""UnlockTaskId"" : 0
}
]","[
""采集周边的#c7bbe3a石头#n和#c7bbe3a树木#n获得"",
""@item_11323#@goal_1#"",
""@item_11627#@goal_2#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11323"",
""GoalNum"" : 3
},
{
""Index"" : 2,
""Type"" : 3,
""GoalID1"" : ""I_11627"",
""GoalNum"" : 3
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11323,
""RewardNum"" : 2
},
{
""Index"" : 2,
""RewardType"" : 0,
""RewardID"" : 11627,
""RewardNum"" : 2
}
]",1,11323,100201,[1002003],0,,0,,
100202,趁手工具,0,"[
{
""String"" : ""基础资源收集了不少，但是采集效率好像不是那么高#r"",
""UnlockTaskId"" : 0
},
{
""String"" : ""我们需要一把趁手的工具才行#r"",
""UnlockTaskId"" : 0
},
{
""String"" : ""打开#c7bbe3a背包#n,#r"",
""UnlockTaskId"" : 0
},
{
""String"" : ""在#c7bbe3a制作#n页面中制作@item_11002#@goal_1#吧!#r"",
""UnlockTaskId"" : 0
},
{
""String"" : ""用对工具可以加快采集速度，有了@item_11002#可以让我们伐木更快"",
""UnlockTaskId"" : 0
}
]","[
""打开#c7bbe3a背包#n制作"",
""@item_11002#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_11002"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 20
}
]",1,11002,100202,[1002004],0,,0,,
100203,伐木工,0,"[
{
""String"" : ""我们还需要更多的木料来制作所需物品#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""快用刚做的@item_11002#再砍点树干吧#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""获得@item_11323#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11323#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11323"",
""GoalNum"" : 6
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11627,
""RewardNum"" : 2
}
]",1,200,100203,[1002005],0,1,0,,
100204,工匠,0,"[
{
""String"" : ""大部分的物品是没办法通过#c7bbe3a背包#n直接制作的#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""打开背包，用刚刚收集的@item_11323#和@item_11627#"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""制作@item_797#@goal_1#吧#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_797#非常重要，今后的绝大部分物品都需要通过它来制作#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""制作完，把它置放到地上就可以使用了！"",
""UnlockTaskId"" : 0,
}
]","[
""打开#c7bbe3a背包#n"",
""制作获得@item_797#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_797"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11323,
""RewardNum"" : 2
},
{
""Index"" : 2,
""RewardType"" : 0,
""RewardID"" : 11627,
""RewardNum"" : 2
}
]",1,797,100204,[1002012],0,,0,,
100205,武装自己,0,"[
{
""String"" : ""把@item_797#放到地上接着点开它，里面是你当前科技水平可以制作的所有物品#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""身上应该还有很多@item_11323#和@item_11627#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""在@item_797#里制作@item_12012#@goal_1#吧！#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""别看现在一片祥和，野外其实处处充满危险#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""你需要#c7bbe3a武器#n来保护自己！"",
""UnlockTaskId"" : 0,
}
]","[
""点击@item_797#"",
""在#c7bbe3a制作页面#n中"",
""制作获得@item_12012#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_12012"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 20
}
]",1,12012,100205,[1002008],0,,0,,
100206,动手！,0,"[
{
""String"" : ""除了武器，你还需要装备来增强自己的防御力。#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""但是制作装备需要用到不少的@item_11307#·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""拿起刚做的@item_12012#从动物身上获取吧！#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""战胜#c7bbe3a任意能产皮革的动物#n，#r比如#c7bbe3a沃沃兽、墩墩、角鹿、狐狸#n·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""获得@item_11307#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""战胜#c7bbe3a沃沃兽、狐狸等动物#n"",
""获得@item_11307#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11307"",
""GoalNum"" : 3
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11307,
""RewardNum"" : 3
}
]",1,11307,100206,[1002009],0,,0,,
100207,人靠衣装,0,"[
{
""String"" : ""有了皮革，终于可以做一套衣服了#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""使用@item_11307#制作任意#c7bbe3a皮制装备#n@goal_1#吧#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""皮制装备分为#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_12201#、@item_12202#、@item_12203#"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_12204#、@item_12205# ·#r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""共5个部位，可分别制作"",
""UnlockTaskId"" : 0,
}
]","[
""制作任意#c7bbe3a皮制装备#n@goal_1#"",
""比如@item_12201#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_12201,I_12202,I_12203,I_12204,I_12205"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11323,
""RewardNum"" : 3
},
{
""Index"" : 2,
""RewardType"" : 0,
""RewardID"" : 11226,
""RewardNum"" : 3
}
]",1,12201,100207,[1002009],0,,0,,
