索引,矿编号,出现地图/0迷拉星 1烈焰星 2萌眼星,名字,最小高度,最大高度,最小高度Falloff,最大高度Falloff,产生方式,（无效字段）出现概率（万分之),矿脉最大矿石数量(最小填3）,概率增加矿物,矿脉生成次数,替换方块,"生态生成（生态名+英文逗号分隔,MAX_BIOME_TYPE：全部生态）"
Index,ID,MapID,Name,MinHeight,MaxHeight,MinFalloff,MaxFalloff,GenMethod,Odds,MaxNum,Increase,Lode,ReplaceBlock,Genbiome
1,451,0,铜矿,17,64,3,2,0,72,6,"[0, 1]",15,104,MAX_BIOME_TYPE
2,451,0,铜矿,49,64,3,0,0,72,9,"[0, 1]",12,104,MAX_BIOME_TYPE
3,451,0,铜矿（山体）,65,128,3,0,0,72,6,"[0, 1]",5,104,MAX_BIOME_TYPE
4,451,0,铜矿（地表）,65,96,8,0,0,72,4,"[0, 1]",6,100,MAX_BIOME_TYPE
5,401,0,铁矿,0,56,5,3,0,48,4,"[0, 1]",10,104,MAX_BIOME_TYPE
6,401,0,铁矿,33,48,3,2,0,48,9,"[0, 1]",10,104,MAX_BIOME_TYPE
7,401,0,铁矿（山体）,65,128,0,0,0,48,9,"[0, 1]",15,104,MAX_BIOME_TYPE
8,401,0,铁矿（空岛）,105,120,0,0,0,45,6,"[0, 1]",8,100,"BIOME_AIR_PLAINS_H,BIOME_AIR_PLAINS"
9,175,0,铝矿,0,48,5,3,0,24,4,"[0, 1]",8,104,MAX_BIOME_TYPE
10,175,0,铝矿,0,16,3,2,0,24,6,"[0, 1]",3,104,MAX_BIOME_TYPE
11,175,0,铝矿,17,32,0,0,0,24,6,"[0, 1]",5,104,MAX_BIOME_TYPE
12,175,0,铝矿（山体）,65,128,0,0,0,24,6,"[0, 1]",10,104,MAX_BIOME_TYPE
13,175,0,铝矿（空岛）,105,120,0,0,0,24,4,"[0, 1]",4,100,"BIOME_AIR_PLAINS_H,BIOME_AIR_PLAINS"
14,452,0,钛矿,0,16,5,2,0,8,3,"[0.2, 2]",3,104,MAX_BIOME_TYPE
15,452,0,钛矿,0,24,5,2,0,8,3,"[0.1, 2]",4,104,MAX_BIOME_TYPE
16,452,0,钛矿,9,32,0,0,0,8,3,"[0, 1]",4,104,MAX_BIOME_TYPE
17,452,0,钛矿,0,40,0,0,0,8,3,"[0, 1]",5,104,MAX_BIOME_TYPE
18,402,0,凝能矿（地表）,56,96,8,5,0,100,5,"[0, 1]",8,100,MAX_BIOME_TYPE
19,402,0,凝能矿,0,128,5,20,0,100,12,"[0, 1]",22,104,MAX_BIOME_TYPE
20,101,0,土块,0,128,10,32,0,100,33,"[0, 1]",10,104,MAX_BIOME_TYPE
21,107,0,碎石堆,0,128,10,32,0,100,33,"[0, 1]",8,104,MAX_BIOME_TYPE
22,448,0,石油块,0,48,5,5,0,100,6,"[0.3, 2]",15,104,MAX_BIOME_TYPE
23,407,0,硅石矿,0,128,5,5,0,16,6,"[0.3, 2]",15,104,MAX_BIOME_TYPE
24,405,0,星能矿,0,16,5,2,0,100,5,"[0.3, 2]",2,104,MAX_BIOME_TYPE
25,405,0,星能矿,17,32,5,2,0,100,5,"[0.3, 2]",5,104,MAX_BIOME_TYPE
26,455,0,符文矿石,49,60,0,0,0,32,5,"[0, 1]",12,104,MAX_BIOME_TYPE
27,455,0,符文矿石,0,48,5,2,0,32,5,"[0, 1]",12,104,MAX_BIOME_TYPE
28,455,0,符文矿石（空岛）,105,120,5,0,0,32,5,"[0, 1]",8,100,"BIOME_AIR_PLAINS_H,BIOME_AIR_PLAINS"
29,24,0,锰结核矿,0,24,3,2,0,8,5,"[0, 1]",5,23,DEEPOCEAN
30,24,0,锰结核矿,0,24,3,2,0,8,5,"[0, 1]",5,104,DEEPOCEAN
31,175,0,铝矿（火山）,17,48,0,0,0,8,4,"[0, 1]",5,104,"VOLCANO,VOLCANO_PLAIN,VOLCANO_MOUNTAIN,VOLCANO_RIVER,VOLCANO_CORE"
32,101,0,土块,0,128,10,32,0,100,33,"[0, 1]",10,104,"ICE_PLAINS_MOUNTAIN,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUTAINSIDE"
