投射物id,名称,攻击类型（0 - 点射，1范围爆炸，2新范围爆炸）,伤害类型(1物理伤害、9元素伤害、4燃烧伤害、5毒素伤害、6混乱伤害、7闪电伤害、8冰冻伤害),攻击力,爆炸范围（新范围爆炸使用）,爆炸范围类型（新范围爆炸使用1全向爆炸 2向上爆炸）,爆炸是否破坏方块（新范围爆炸使用0不破坏方块，1破坏方块）,削刃值,运动类型（0 - 抛物线模型）,重力,重力变化时机（投掷物生成后一段时间）,重力变化量,初始速度,速度衰减（速度=初始速度*（1-速度衰减））,是否可以拾取（0否 1是）,"触发条件（1碰撞Actor，2碰撞Block，3两者皆有, 4出手就触发，5不触发）",触发延迟,触发特效,触发音效（0伤害 1爆炸）,模型,（无效的）碰撞体大小,拖尾特效,Buff,Buff等级,是否开放作为弹药[0=不开放，1=开放],触发器开放[0=不开放 1=开放],可击碎方块,击碎值,穿透上限
ID,Name,AttackType,DamageType,AttackValue,ExplodeRange,ExplodeRangeType,BombBlock,TouReduce,LocomotionType,Gravity,GChangeTime,GChangeNum,InitSpeed,SpeedDecay,Pickable,TriggerCondition,TriggerDelay,TriggerEffect,TriggerSound,Model,Bounds,TailEffect,BuffId,BuffLevel,BeAmmunition,TriggerType,Break,Puncture,Limit
26,漂流瓶,0,1,0,,,,,0,2,,,200,0,1,3,0,,,26,50,1026,,,,,,,
27,远方的漂流瓶,0,1,0,,,,,0,2,,,200,0,1,3,0,,,27,50,1026,,,,,,,
9997,微缩投掷,0,1,30,,,,,0,3,,,200,0,0,5,0,snowhit,misc.snowball_hit,12054,20,item_12248_2,,,,,,,
10100,,0,1,15,,,,,0,3,,,280,0,1,3,0,,misc.bowhit,12051,50,1026,,,,,,,
10103,,0,1,15,,,,,0,3,,,280,0,1,3,0,,misc.bowhit,12051,50,1026,,,,,,,
10122,手持布丁,0,1,0,,,,,0,0.5,,,50,0,,3,0,item_12591_trigger,item.12591.hit,12054,20,item_12591_tail,,,1,1,,,
10123,传送球,0,1,0,,,,,0,10,,,200,0,,3,0,,item.12591.hit,10123,20,item_12591_tail,,,1,1,,,
11424,投射物-椰子炮弹,2,1,95,3,1,1,45,0,5,,,250,0,0,3,0,sea_39_baozha,ent.3508.lavaball_hit,11424,100,1026,,,,,1,,
11518,湛蓝符能瓶,0,1,0,,,,,0,3,,,80,0,0,3,0,,misc.bottlebreak,11518,50,1026,,,,,,,
11517,赤红符能瓶,0,1,0,,,,,0,3,,,80,0,0,3,0,,misc.bottlebreak,11517,50,1026,,,,,,,
11520,碧绿符能瓶,0,1,0,,,,,0,3,,,80,0,0,3,0,,misc.bottlebreak,11520,50,1026,,,,,,,
11522,无色符能瓶,0,1,0,,,,,0,3,,,80,0,0,3,0,,misc.bottlebreak,11522,50,1026,,,,,,,
11519,耀黄符能瓶,0,1,0,,,,,0,3,,,80,0,0,3,0,,misc.bottlebreak,11519,50,1026,,,,,,,
11521,幽紫符能瓶,0,1,0,,,,,0,3,,,80,0,0,3,0,,misc.bottlebreak,11521,50,1026,,,,,,,
11551,破坏方块,,,,,,,,0,3,,,250,0,0,3,0,item_12287_2,misc.egg_hit,12287,20,mob_3414_4,,,,,,,
11552,放置方块,,,,,,,,0,3,,,250,0,0,3,0,item_12287_2,misc.egg_hit,12287,20,mob_3414_4,,,,,,,
11553,替换方块,,,,,,,,0,3,,,250,0,0,3,0,item_12287_2,misc.egg_hit,12287,20,mob_3414_4,,,,,,,
