回收物品ID,名称,0级关联物品ID,类型（0普通物品1解锁型道具2角色3皮肤4坐骑5头像6特长碎片）,获得物品ID1,获得物品数量1,获得物品ID2,获得物品数量2
ID,,InvolvedID,Type,GetID1,GetNum1,GetID2,GetNum2
12950,原始护腕,1,2,10000,2,10001,1
12951,骨头发簪,7,2,10000,2,10001,1
12952,骨头项链,2,2,10000,2,10001,1
12953,羽毛头饰,8,2,10000,2,10001,1
12954,熊牌炸弹,6,2,10000,2,10001,1
12955,贝雷帽,4,2,10000,2,10001,2
12956,热辣唇印,9,2,10000,2,10001,2
12957,蝴蝶结,5,2,10000,2,10001,2
12958,护目镜,10,2,10000,2,10001,2
12959,探险家帽,3,2,10000,2,10001,2
12960,装扮卡片,,0,10000,3,10001,2
10070,普通迷你季经验卡,,0,10000,1,10001,2
10071,高级迷你季经验卡,,0,10000,10,10001,2
20000,落日橙木门-碎片,854,1,10000,8,10001,5
20001,深栗红门-碎片,855,1,10000,8,10001,5
20002,象牙白门-碎片,856,1,10000,8,10001,5
20003,炽炎门-碎片,857,1,10000,16,10001,5
20004,海棠红门-碎片,858,1,10000,16,10001,5
20005,琥珀黄门-碎片,859,1,10000,16,10001,5
20006,秋叶橙木门-碎片,860,1,10000,16,10001,5
20007,木纹灯-碎片,861,1,10000,16,10001,5
20008,白色玻璃灯-碎片,862,1,10000,3,10001,2
20009,橙色玻璃灯-碎片,863,1,10000,3,10001,2
20010,洋红玻璃灯-碎片,864,1,10000,3,10001,2
20011,淡蓝玻璃灯-碎片,865,1,10000,3,10001,2
20012,黄玻璃灯-碎片,866,1,10000,3,10001,5
20013,黄绿色玻璃灯-碎片,867,1,10000,3,10001,5
20014,粉色玻璃灯-碎片,868,1,10000,3,10001,5
20015,灰色玻璃灯-碎片,869,1,10000,3,10001,5
20016,淡灰色玻璃灯-碎片,870,1,10000,16,10001,5
20017,青色玻璃灯-碎片,871,1,10000,16,10001,5
20018,紫色玻璃灯-碎片,872,1,10000,16,10001,5
20019,蓝色玻璃灯-碎片,873,1,10000,16,10001,5
20020,棕色玻璃灯-碎片,874,1,10000,16,10001,5
20021,绿色玻璃灯-碎片,875,1,10000,16,10001,5
20022,红色玻璃灯-碎片,876,1,10000,16,10001,5
20023,黑色玻璃灯-碎片,877,1,10000,16,10001,5
20024,强混凝土-碎片,960,1,10000,16,10001,5
20025,强裂土-碎片,961,1,10000,16,10001,5
20026,白色基石-碎片,962,1,10000,16,10001,5
20027,坚冰-碎片,963,1,10000,16,10001,5
20028,钢板-碎片,964,1,10000,16,10001,5
20029,琉璃酱-碎片,5,3,10000,3,10001,3
20030,墨家小飞-碎片,8,3,10000,3,10001,2
20035,迷梭梭-碎片,27,3,10000,2,10001,1
20037,安吉洛斯-碎片,39,3,10000,3,10001,1
20039,椅子-碎片,965,1,10000,3,10001,2
20040,桌子-碎片,966,1,10000,3,10001,2
20041,沙发-碎片,967,1,10000,3,10001,2
20042,棕色壁炉-碎片,968,1,10000,8,10001,2
20043,柜子-碎片,969,1,10000,8,10001,2
20044,象牙白椅子-碎片,970,1,10000,8,10001,5
20045,象牙白桌子-碎片,971,1,10000,8,10001,5
20046,象牙白沙发-碎片,972,1,10000,8,10001,5
20047,白色壁炉-碎片,973,1,10000,8,10001,5
20048,象牙白柜子-碎片,974,1,10000,8,10001,5
20049,松木椅子-碎片,975,1,10000,8,10001,5
20050,松木桌子-碎片,976,1,10000,8,10001,5
20051,松木沙发-碎片,977,1,10000,8,10001,5
20052,黑色壁炉-碎片,978,1,10000,16,10001,5
20053,松木柜子-碎片,979,1,10000,16,10001,5
20054,精致木床-碎片,883,1,10000,16,10001,5
20055,豪华木床-碎片,884,1,10000,8,10001,5
20056,公主床-碎片,885,1,10000,8,10001,5
20057,岩石星能幕布-碎片,886,1,10000,8,10001,5
20058,秘银星能幕布-碎片,888,1,10000,3,10001,5
20059,熔岩星能幕布-碎片,890,1,10000,3,10001,5
20060,乔治-碎片,6,3,10000,16,10001,3
20061,安妮-碎片,7,3,10000,16,10001,3
20062,大爆竹-碎片,12280,1,10000,16,10001,5
20063,弹弓-碎片,12281,1,10000,0,10001,5
20064,弩-碎片,12283,1,10000,12,10001,5
20065,火箭筒-碎片,12284,1,10000,12,10001,0
20066,木质字牌-碎片,892,1,10000,12,10001,5
20067,石质字牌-碎片,893,1,10000,12,10001,5
20068,秘银字牌-碎片,894,1,10000,12,10001,5
20069,炽炎字牌-碎片,895,1,10000,12,10001,5
20070,钨金字牌-碎片,896,1,10000,12,10001,5
20071,熔岩字牌-碎片,897,1,10000,12,10001,5
20072,灯笼-碎片,898,1,10000,12,10001,5
20073,古典路灯-碎片,899,1,10000,12,10001,5
20074,现代路灯-碎片,900,1,10000,12,10001,5
20075,黑秘银围栏-碎片,926,1,10000,12,10001,5
20076,白秘银围栏-碎片,927,1,10000,12,10001,5
20077,小花盆-碎片,928,1,10000,12,10001,5
20078,大花盆-碎片,929,1,10000,12,10001,5
20079,蜡烛台-碎片,931,1,10000,12,10001,5
20080,吊灯-碎片,933,1,10000,12,10001,5
20081,典雅壁灯-碎片,934,1,10000,12,10001,5
20082,精致壁灯-碎片,935,1,10000,12,10001,5
20083,台灯-碎片,936,1,10000,12,10001,5
20084,喷花烟花-碎片,881,1,10000,12,10001,5
20085,春节窗花-福-碎片,940,1,10000,12,10001,5
20086,春节窗花-禄-碎片,941,1,10000,12,10001,5
20087,春节窗花-寿-碎片,942,1,10000,12,10001,5
20088,春节窗花-喜-碎片,943,1,10000,12,10001,5
20089,中式宫灯-碎片,945,1,10000,12,10001,5
20090,红色陶花盆-碎片,946,1,10000,12,10001,5
20091,绿色陶花盆-碎片,947,1,10000,12,10001,5
20092,大瓷花盆-碎片,948,1,10000,12,10001,5
20093,新春宫灯-碎片,949,1,10000,12,10001,5
20094,火箭背包-碎片,12253,1,10000,12,10001,5
20095,孔明灯-碎片,12830,1,10000,40,10001,5
20096,荷灯-碎片,13808,1,10000,40,10001,5
20097,秋叶橙地板-碎片,419,1,10000,40,10001,15
20098,红杉地板-碎片,420,1,10000,40,10001,15
20099,黄砖板-碎片,424,1,10000,40,10001,15
20100,竖格釉面砖-碎片,427,1,10000,40,10001,15
20101,四格釉面砖-碎片,428,1,10000,40,10001,15
20102,不规则釉面砖-碎片,429,1,10000,40,10001,15
20103,象牙白栅栏-碎片,539,1,10000,40,10001,15
20104,粗制石砖围栏-碎片,551,1,10000,40,10001,15
20105,象牙白围栏-碎片,552,1,10000,40,10001,15
20106,木栅栏-碎片,553,1,10000,40,10001,15
20107,铜围栏-碎片,554,1,10000,40,10001,15
20108,金色呆呆鱼-碎片,13609,1,10000,40,10001,15
20109,金色奇奇鱼-碎片,13610,1,10000,60,10001,15
20110,金色丑丑鱼-碎片,13611,1,10000,24,10001,15
20111,实验室门-碎片,1101,1,10000,36,10001,25
20112,镜冰-碎片,1102,1,10000,60,10001,10
20113,冰灯-碎片,1103,1,10000,24,10001,15
20114,花纹电石块-碎片,1104,1,10000,36,10001,25
20115,星能秘银块-碎片,1105,1,10000,36,10001,10
20116,星能秘银板-碎片,1106,1,10000,12,10001,15
20117,紫线秘银块-碎片,1107,1,10000,24,10001,15
20118,厚秘银板-碎片,1108,1,10000,48,10001,5
20119,镂空秘银板-碎片,1109,1,10000,60,10001,10
20120,实验室灯-碎片,1110,1,10000,12,10001,20
20121,锈秘银门-碎片,1111,1,10000,12,10001,25
20122,秘银丝网-碎片,1112,1,10000,12,10001,5
20123,竖纹秘银板-碎片,1113,1,10000,24,10001,5
20124,锈秘银板-碎片,1114,1,10000,24,10001,5
20125,条纹锈秘银板-碎片,1115,1,10000,36,10001,10
20126,镂空锈秘银板-碎片,1116,1,10000,48,10001,10
20127,星能锈秘银块-碎片,1117,1,10000,24,10001,15
20128,荧光灯-碎片,1118,1,10000,72,10001,20
20129,花纹秘银块-碎片,1119,1,10000,15,10001,10
20130,旧秘银块-碎片,1120,1,10000,15,10001,30
20131,荧光弹弓-碎片,12589,1,10000,15,10001,5
20132,圆球爆弹-碎片,15506,1,10000,15,10001,5
20133,冰锥-碎片,15507,1,10000,15,10001,5
20134,熔岩球-碎片,15508,1,10000,15,10001,5
20135,脉冲弓-碎片,12291,1,10000,15,10001,5
20136,黑龙熔岩球-碎片,15519,1,10000,15,10001,5
20137,黑龙混乱球-碎片,15520,1,10000,12,10001,5
20138,反射镜-碎片,1060,1,10000,12,10001,5
20139,雪梅屏风-碎片,1136,1,10000,1,10001,5
20140,红烛灯-碎片,1137,1,10000,2,10001,5
20294,中式椅子-碎片,1811,1,10000,1,10001,1
20295,中式桌子-碎片,1812,1,10000,1,10001,1
20296,中式木椅-碎片,1813,1,10000,1,10001,1
20297,中式火炉-碎片,1814,1,10000,1,10001,1
20298,中式柜子-碎片,1815,1,10000,1,10001,1
24802,林千树碎片,57,3,10000,1,10001,1
24803,雪球球碎片,61,3,10000,1,10001,1
24805,蛙太郎碎片,63,3,10000,1,10001,1
24807,电玩少女铃音碎片,68,3,10000,1,10001,1
24808,全能玩家劳尔碎片,67,3,10000,1,10001,1
24810,色彩旅行者达奇碎片,77,3,10000,1,10001,1
20142,铰链方块碎片,1159,1,10000,5,10001,5
20143,机械爪碎片,1160,1,10000,5,10001,5
20144,液压臂碎片,1161,1,10000,5,10001,5
20145,避震器碎片,1164,1,10000,5,10001,5
24812,塔莉娅碎片,78,3,10000,1,10001,1
24813,余小欢碎片,83,3,10000,1,10001,1
24814,章小丸碎片,84,3,10000,1,10001,1
20147,春节窗花-牛-碎片,1145,1,10000,1,10001,1
20293,春节窗花-虎-碎片,1147,1,10000,1,10001,1
24821,临江仙 颂碎片,109,3,10000,1,10001,1
24822,橘子碎片,111,3,10000,1,10001,1
24823,泡泡碎片,113,3,10000,1,10001,1
24824,迷小酷碎片,106,3,10000,1,10001,1
24825,哈鲁碎片,136,3,10000,1,10001,1
24826,沈一弦碎片,191,3,10000,1,10001,1
24827,蜜多多碎片,190,3,10000,1,10001,1
24828,烽灵碎片,211,3,10000,1,10001,1
24829,马红俊碎片,244,3,10000,1,10001,1
24830,野蛮人酋长碎片,257,3,10000,1,10001,1
24838,龙潮儿碎片,397,3,10000,1,10001,1
24839,澄团团碎片,402,3,10000,1,10001,1
24840,天际巡航者碎片,439,3,10000,1,10001,1
24841,金樱子碎片,465,3,10000,1,10001,1
24842,守护熊碎片,472,3,10000,1,10001,1
24843,奶龙碎片,473,3,10000,1,10001,1
24844,萨亚碎片,332,3,10000,1,10001,1
24845,卡皮·巴拉碎片,480,3,10000,1,10001,1
24846,暗影使者碎片,499,3,10000,1,10001,1
10009,迷你点,,0,10000,1,,
20148,敦煌飞天雕塑碎片,1749,1,10000,1,10001,1
20149,骆驼雕塑碎片,1747,1,10000,1,10001,1
20150,敦煌石窟碎片,1748,1,10000,1,10001,1
20151,莲花壁画碎片,1750,1,10000,1,10001,1
20152,飞天女壁画碎片,1751,1,10000,1,10001,1
