材料id,材料名,成功产物（11517=红/11518=蓝/11519=黄/11520=绿/11521=紫）,生产时间,生产数量,基础成功率,适配方块类型（竖线隔开）,适配环境修正值（%）,相悖方块类型（竖线隔开）,相悖环境修正值（%）,备注说明
ItemID,Name,ProductID,ProductTime,ProductNum,BaseSuccessRate,PositiveTerrain,PositiveBonus,NegativeTerrain,NegativeBonus,Description
15,咒岩,11521,4,2,60,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
19,风蚀岩,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
23,深积岩,11518,4,2,60,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
24,锰结核矿,11519,5,3,66,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
25,礁石,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
26,漂流瓶,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
29,黄沙,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
31,坚固冰棱,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
32,脆冰棱,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
34,霜火石矿,11517,4,2,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
35,霜火石块,11517,3,1,80,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
