资源ID,备注,模型路径,模型文件[如果是程序生成的模型，这里需要配置模型的枚举，否则配置模型的文件名字。0.立方体、1.球体、2.圆柱、3.圆锥、4.三角斜面、5.胶囊体、6.多边形],"资源类型[1.程序生成, 2.obj 3.omod 4.Prefab 5.blockmesh 6.png]",名称,图标,一级分类(1.生物 2.),二级分类[1.基础 2.装饰 3.玩法4.方块5.部件],是否合并SUBMESH,材质类型（按照submesh的顺序设置材质是否是透明材质，0是不透明材质1是透明材质2是遮罩材质 ）,模型文件名,贴图文件名,"模型类型[1.静态, 2.动态]"
ID,Note,Path,File,ResourceType,Name,Icon,Type,SubType,IfCombineSubmesh,ifTransparent,ModelName,TextureName,ModelType
11000000,立方体,ugcModel,11000000,4,立方体,cube,,1,1,0,,,
11000125,立方体,ugcModel,11000000,4,立方体（三面）,cube,,1,0,0,,,
11000001,球体,ugcModel,11000001,4,球体,sphere,,1,0,0,,,
11000002,圆柱体,ugcModel,11000002,4,圆柱体,cylinder,,1,0,0,,,
11000003,圆锥,ugcModel,11000003,4,圆锥,cone,,1,0,0,,,
11000004,楔形,ugcModel,11000004,4,楔形,wedge,,1,0,0,,,
11000005,空心半球,ugcModel,11000005,4,碗,bowl,,2,0,0,,,
11000006,星星,ugcModel,11000006,4,星星,star,,2,0,0,,,
11000007,半圆柱,ugcModel,11000007,4,半圆柱,halfround,,2,0,0,,,
11000008,桌子,ugcModel,11000008,4,桌子,desk,,2,0,0,,,
11000009,板凳,ugcModel,11000009,4,板凳,stool,,2,0,0,,,
11000010,木板,ugcModel,11000010,4,木板,plank,,2,0,0,,,
11000011,半球,ugcModel,11000011,4,半球,hemisphere,,2,0,0,,,
11000012,泳圈,ugcModel,11000012,4,泳圈,annular,,2,0,0,,,
11000013,圆饼,ugcModel,11000013,4,圆饼,cake,,2,0,0,,,
11000014,树,ugcModel,11000014,4,树,tree,,2,0,0,,,
11000015,阀门,ugcModel,11000015,4,阀门,valve,,2,0,0,,,
11000016,长凳,ugcModel,11000016,4,长凳,bench,,2,0,0,,,
11000017,方块,ugcModel,11000017,4,方块,block,,2,0,0,,,
11000018,花,ugcModel,11000018,4,花,flower,,2,0,0,,,
11000019,小树,ugcModel,11000019,4,面包树,smalltree,,2,0,0,,,
11000020,栅栏,ugcModel,11000020,4,栅栏,fence,,2,0,0,,,
11000021,雨伞,ugcModel,11000021,4,雨伞,umbrella,,2,0,0,,,
11000022,长棍,ugcModel,11000022,4,长棍,stick,,2,0,0,,,
11000023,锤子,ugcModel,11000023,4,锤子,hammer,,2,0,0,,,
11000024,甜甜圈,ugcModel,11000024,4,甜甜圈,donut,,2,0,0,,,
11000025,威化饼,ugcModel,11000025,4,威化饼,waffle,,2,0,0,,,
11000026,三叶草,ugcModel,11000026,4,三叶草,clover,,2,0,0,,,
11000027,红水管,ugcModel,11000027,4,红水管,red_water_pipe,,2,0,0,,,
11000028,红苹果,ugcModel,11000028,4,红苹果,red_apple,,2,0,0,,,
11000029,蓝转盘,ugcModel,11000029,4,蓝转盘,blue_turntable,,2,0,0,,,
11000030,跨栏,ugcModel,11000030,4,跨栏,hurdle,,2,0,0,,,
11000031,叶子,ugcModel,11000031,4,叶子,leaf,,2,0,0,,,
11000032,黄蘑菇,ugcModel,11000032,4,黄蘑菇,yellow_mushroom,,2,0,0,,,
11000033,彩虹,ugcModel,11000033,4,彩虹,rainbow,,2,0,0,,,
