索引ID[=Library*1000000+SourceID*10000+SourceValue],库[1=项目，2=我的，3=商店],分页[数字是几就是第几页],一级分类[仅备注用],一级分类ID,一级分类stringID[有重复的读第一个],二级分类,二级分类ID（图标）,二级分类stringID,二级分类排序（数字越大越靠后，有文件夹的必须用0）,来源ID[定义看配置表的资源数据页],来源区分[0=无区分，1=官方，2=玩家自定义],内容来源参数,资源卡片格式[0=图标，1=缩略图],新增按钮[0=无，1=新增，2=上传]（实际需要技术加）,左键点击操作[0=选中资源，1=插件包那种直接进编辑界面],放到快捷栏[0=不可，1=可以],可否编辑[0=不可，大于1=可以。2=方块编辑，3=生物，4=道具编辑，5=UI编辑，6=状态编辑，8=剧情编辑，10=配方编辑，12=熔炼编辑，14插件包编辑],默认打开预览[0=默认不开，1=默认打开],"查看菜单功能[0=没有，1=排序，2=来源筛选，3=模型筛选，4=动作筛选，5=预览开关，6=文件数信息显示。多个用""，""隔开]",文件数信息显示文本[填stringid],允许自定义文件夹[0=不允许，1=允许],"管理功能[0=移动，1=下载，2=删除，3=还原，4=导入，5=同步，6=上传，7=取消上传，8=复制，9=启用，10=禁用，11=重命名，12=添加快捷栏。多个用""，""隔开]（实际需要技术改）",预览外观[0=无，1=图片，2=模型],预览内容[1=名称，2=资源类型，3=描述，4=持续时间，5=触发目标，6=需要材料，7=燃烧时间，8=低温产物，9=中温产物，10=高温产物，11=状态，12=文件大小，13=模型类型，14=作者迷你号，15=动作标记，16=图片尺寸，17=音频类型，18=时长],Tips内容
ID,Library,Page,,FirstClassifyID,FirstClassifyString,,SecondClassifyID,SecondClassifyString,SecondClassifySort,SourceID,Source,SourceValue,Format,AddButton,Click,ShortcutBars,Editable,PreviewON,ViewMenu,FileNumInfo,CustomFolder,Manage,PreviewType,PreviewInfo,TipsInfo
1010011,1,1,方块,1,3931,地形,11,100016,0,1,1,11,0,0,0,1,2,0,5,,0,[2],1,"[1,2,3]",
1010012,1,1,方块,1,3931,自然,12,300398,1,1,1,12,0,0,0,1,2,0,5,,0,[2],1,"[1,2,3]",
1010013,1,1,方块,1,3931,建筑,13,292,2,1,1,13,0,0,0,1,2,0,5,,0,[2],1,"[1,2,3]",
1010014,1,1,方块,1,3931,装饰,14,100014,3,1,1,14,0,0,0,1,2,0,5,,0,[2],1,"[1,2,3]",
1010016,1,1,方块,1,3931,颜色,16,111911,4,1,1,16,0,0,0,1,2,0,5,,0,[2],1,"[1,2,3]",
1010017,1,1,方块,1,3931,功能,17,6377,5,1,1,17,0,0,0,1,2,0,5,,0,[2],1,"[1,2,3]",
1020000,1,1,方块,1,3931,自定义,19,4544,6,2,2,,0,1,0,1,2,0,5,,0,[2],1,"[1,2,3]",
1010021,1,1,生物,2,3932,动物,21,3964,0,1,1,21,0,0,0,1,3,0,5,,0,[2],2,"[1,2,3]",
1010022,1,1,生物,2,3932,怪物,22,3965,1,1,1,22,0,0,0,1,3,0,5,,0,[2],2,"[1,2,3]",
1010023,1,1,生物,2,3932,人物,23,16289,2,1,1,23,0,0,0,1,3,0,5,,0,[2],2,"[1,2,3]",
1030000,1,1,生物,2,3932,自定义,29,4544,3,3,2,,0,1,0,1,3,0,5,,0,[2],2,"[1,2,3]",
1010035,1,1,道具,3,3933,武器,35,23012,0,1,1,35,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
1010036,1,1,道具,3,3933,工具,36,23019,1,1,1,36,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
1010031,1,1,道具,3,3933,装备,31,3013,2,1,1,31,0,0,0,1,4,0,5,,0,[2],1,"[1,2,3]",
