选项ID,选项类型：0选项，1整数和小数，2只允许整数,初始描述,选后描述,最小值,最大值
ID,Type,DefaultDesc,AfterDesc,MinVal,MaxVal
1,0,是,,1,
2,0,否,,0,
3,0,7点,,7,
4,0,8点,,8,
5,0,12点,,12,
6,0,18点,,18,
7,0,24点,,0,
8,2,自定义,自定义$Num点,0,23
9,0,默认,,0,
10,0,只有晴天,,1,
11,0,只有雨雪,,2,
12,0,1,,1,
13,0,2,,2,
14,0,3,,3,
15,0,4,,4,
16,0,5,,5,
17,0,6,,6,
18,0,0.1倍重力,,0.1,
19,0,0.4倍重力,,0.4,
20,0,0.6倍重力,,0.6,
21,0,1倍重力(默认),,1,
22,0,5倍重力,,5,
23,1,自定义0.1-10,自定义$Num,0.1,10
24,0,主视角,,0,
25,0,背视角,,1,
26,0,正视角,,2,
27,0,锁定主视角,,3,
28,0,锁定背视角,,4,
29,0,锁定正视角,,5,
30,0,房主开启,,0,
31,0,达到人数自动开启,,1,
32,0,无,,0,
33,0,不限时间,,0,
34,0,2分钟,,2,
35,0,5分钟,,5,
36,0,10分钟,,10,
37,2,自定(1-999分),自定义$Num分钟,1,999
38,0,10分,,10,
39,0,50分,,50,
40,0,100分,,100,
41,2,自定(1-999分),自定义$Num分,1,999
42,0,立即再次挑战,,-1,
43,0,倒计时5秒,,5,
44,2,自定(1-999秒),自定义$Num秒,1,999
45,0,5秒,,5,
46,0,10秒,,10,
47,0,无限,,999,
48,0,无音乐,,-1,
49,0,bgm1(加速世界),,1,
50,0,bgm2(古灵精怪),,2,
51,0,bgm3(中国风),,3,
52,0,bgm4(战斗！),,4,
53,0,bgm5(孤独上帝),,5,
54,0,bgm6(解密氛围),,6,
55,0,bgm7(Bomb！),,7,
56,0,bgm8（足球场）,,8,
57,0,自由攻击,,0,
58,0,禁止攻击玩家,,1,
59,0,队伍间攻击,,2,
60,0,晴雨交错(默认),,0,
61,0,不需要分数,,0,
62,0,默认按地图设置,,-1,
63,0,随机到小队集合点,,0,
64,0,到最近小队集合点,,1,
65,0,可见,,0,
66,0,不可见,,1,
67,0,正常掉落,,0,
68,0,清空背包,,1,
69,0,保留物品,,2,
70,0,不限条件自动开启,,2,
71,0,所有人可见,,0,
72,0,仅己方队伍可见,,1,
73,0,仅敌方队伍可见,,2,
74,0,全部不可见,,3,
75,0,默认(根据分数),,0,
76,0,全体胜利,,1,
77,0,全体失败,,2,
78,0,锁定俯视角,,6,
79,0,不限,,0,
80,0,2,,2,
81,0,5,,5,
82,0,13,,13,
83,2,自定义(1-99),自定义$Num,1,99
84,0,10,,10,
85,0,20,,20,
86,0,40,,40,
87,2,自定义(1-40),自定义$Num,1,40
88,0,锁定自定义视角,,7,
89,0,0,,0,
90,0,120,,120,
91,0,自由观战,,0,
92,0,跟随屏幕,,1,
93,0,可切换,,2,
94,0,掉落箱子,,3,
95,0,背视角2,,8,
96,0,锁定背视角2,,9,
97,0,只有雷暴,,3,
98,0,不显示伤害,,0,
99,0,仅显示自己伤害,,1,
100,0,显示我方队友伤害,,2,
101,0,显示所有伤害,,3,
102,1,是否显示血条,,1,
103,0,默认的血条设置,,2,
105,0,俯视角,,10,
106,0,自定义视角,,11,
107,0,恶劣天气,,4,
108,0,下雪,,5,
109,0,沙尘暴,,6,
110,0,暴风雨,,7,
111,0,暴风雪,,8,
112,0,掉落罐子,,4,
114,0,极光天,,10,
115,0,虚空浓雾,,11,
120,0,无配置,,0,
121,0,乘法公式,,1,
122,0,除法公式,,2,
