id,音效名,备注,插件库开放[0代表不开放，1=开放 ],触发器开放[0代表不开放，1=开放 ],分类（1=脚步，2=行为，3=受击，4=待机，5=技能，6=环境，7=背景音乐，8=提示，9=其它）,音效路径,图标名字,时长(ms)
ID,Name,,AtkEffectTypeSID,TriggerType,Type,SoundPath,IconName,Duration
10000,cloth1,,0,0,2,blockd.cloth1,sounds02,214
10001,cloth2,,0,0,2,blockd.cloth2,sounds02,325
10002,cloth3,,0,1,2,blockd.cloth3,sounds02,245
10003,cloth4,,0,0,2,blockd.cloth4,sounds02,325
10004,glass1,,0,0,2,blockd.glass1,sounds02,592
10005,glass2,,0,1,2,blockd.glass2,sounds02,592
10006,glass3,,0,1,2,blockd.glass3,sounds02,592
10007,grass1,,0,1,2,blockd.grass1,sounds02,513
10008,grass2,,0,0,2,blockd.grass2,sounds02,513
10009,grass3,,0,0,2,blockd.grass3,sounds02,500
10010,grass4,,0,1,2,blockd.grass4,sounds02,494
10011,gravel1,,0,1,2,blockd.gravel1,sounds02,595
10012,gravel2,,0,0,2,blockd.gravel2,sounds02,510
10013,gravel3,,0,0,2,blockd.gravel3,sounds02,464
10014,gravel4,,0,0,2,blockd.gravel4,sounds02,373
10015,jar1,,0,1,2,blockd.jar1,sounds02,1500
10016,jar2,,0,0,2,blockd.jar2,sounds02,1500
10017,jar3,,0,0,2,blockd.jar3,sounds02,1000
10018,sand1,,0,1,2,blockd.sand1,sounds02,291
10019,sand2,,0,0,2,blockd.sand2,sounds02,375
10020,sand3,,0,0,2,blockd.sand3,sounds02,293
10021,sand4,,0,0,2,blockd.sand4,sounds02,312
10022,snow1,,0,1,2,blockd.snow1,sounds02,355
10023,snow2,,0,0,2,blockd.snow2,sounds02,325
10024,snow3,,0,0,2,blockd.snow3,sounds02,348
10025,snow4,,0,0,2,blockd.snow4,sounds02,366
10026,stone1,,0,1,2,blockd.stone1,sounds02,139
10027,stone2,,0,0,2,blockd.stone2,sounds02,261
10028,stone3,,0,0,2,blockd.stone3,sounds02,161
10029,stone4,,0,0,2,blockd.stone4,sounds02,145
10030,wood1,,0,1,2,blockd.wood1,sounds02,135
10031,wood2,,0,0,2,blockd.wood2,sounds02,212
10032,wood3,,0,0,2,blockd.wood3,sounds02,133
10033,wood4,,0,0,2,blockd.wood4,sounds02,120
10034,cloth1,,0,1,2,blocks.cloth1,sounds02,250
10035,cloth2,,0,0,2,blocks.cloth2,sounds02,250
10036,cloth3,,0,0,2,blocks.cloth3,sounds02,250
10037,cloth4,,0,0,2,blocks.cloth4,sounds02,250
10038,cloth5,,0,0,2,blocks.cloth5,sounds02,250
10039,grass1,,0,1,2,blocks.grass1,sounds02,500
10040,grass2,,0,0,2,blocks.grass2,sounds02,500
10041,grass3,,0,0,2,blocks.grass3,sounds02,500
10042,grass4,,0,0,2,blocks.grass4,sounds02,500
10043,grass5,,0,0,2,blocks.grass5,sounds02,500
10044,grass6,,0,0,2,blocks.grass6,sounds02,500
10045,gravel1,,0,1,2,blocks.gravel1,sounds02,375
10046,gravel2,,0,0,2,blocks.gravel2,sounds02,375
10047,gravel3,,0,0,2,blocks.gravel3,sounds02,375
10048,gravel4,,0,0,2,blocks.gravel4,sounds02,375
10049,gravel5,,0,0,2,blocks.gravel5,sounds02,375
10050,gravel6,,0,0,2,blocks.gravel6,sounds02,375
10051,ladder1,,0,1,2,blocks.ladder1,sounds02,530
10052,ladder2,,0,0,2,blocks.ladder2,sounds02,525
10053,ladder3,,0,0,2,blocks.ladder3,sounds02,575
10054,ladder4,,0,0,2,blocks.ladder4,sounds02,503
10055,ladder5,,0,0,2,blocks.ladder5,sounds02,580
10056,sand1,,0,1,2,blocks.sand1,sounds02,375
10057,sand2,,0,0,2,blocks.sand2,sounds02,375
10058,sand3,,0,0,2,blocks.sand3,sounds02,375
10059,sand4,,0,0,2,blocks.sand4,sounds02,375
10060,sand5,,0,0,2,blocks.sand5,sounds02,375
10061,snow1,,0,1,2,blocks.snow1,sounds02,466
10062,snow2,,0,0,2,blocks.snow2,sounds02,466
10063,snow3,,0,0,2,blocks.snow3,sounds02,466
10064,snow4,,0,0,2,blocks.snow4,sounds02,466
10065,snow5,,0,0,2,blocks.snow5,sounds02,466
10066,stone1,,0,1,2,blocks.stone1,sounds02,466
10067,stone2,,0,0,2,blocks.stone2,sounds02,466
10068,stone3,,0,0,2,blocks.stone3,sounds02,466
10069,stone4,,0,0,2,blocks.stone4,sounds02,466
10070,stone5,,0,0,2,blocks.stone5,sounds02,466
10071,stone6,,0,0,2,blocks.stone6,sounds02,466
10072,wood1,,0,1,2,blocks.wood1,sounds02,500
10073,wood2,,0,0,2,blocks.wood2,sounds02,500
10074,wood3,,0,0,2,blocks.wood3,sounds02,500
10075,wood4,,0,0,2,blocks.wood4,sounds02,500
10076,wood5,,0,0,2,blocks.wood5,sounds02,500
10077,wood6,,0,0,2,blocks.wood6,sounds02,500
10078,buff_attack_1,,0,1,5,buff.buff_attack_1,sounds05,2750
10079,buff_chicken,,0,1,5,buff.buff_chicken,sounds05,1135
10080,buff_cow,,0,1,5,buff.buff_cow,sounds05,875
10081,buff_damaged_1,,0,1,5,buff.buff_damaged_1,sounds05,2375
10082,buff_damage_absorb,,0,1,5,buff.buff_damage_absorb,sounds05,2500
10083,buff_dumpling,,0,1,5,buff.buff_dumpling,sounds05,864
10084,buff_evil,,0,1,5,buff.buff_evil,sounds05,864
10085,buff_fluorescence,,0,1,5,buff.buff_fluorescence,sounds05,3000
10086,buff_freeze,,0,1,5,buff.buff_freeze,sounds05,1750
10087,buff_hp_1,,0,1,5,buff.buff_hp_1,sounds05,2375
10088,buff_light,,0,1,5,buff.buff_light,sounds05,280
10089,buff_dundun,,0,1,5,buff.buff_dundun,sounds05,625
10090,buff_pop,,0,1,5,buff.buff_pop,sounds05,182
10091,buff_sheep,,0,1,5,buff.buff_sheep,sounds05,875
10092,buff_sick_1,,0,1,5,buff.buff_sick_1,sounds05,750
10093,buff_soccer,,0,1,5,buff.buff_soccer,sounds05,750
10094,buff_speed_1,,0,1,5,buff.buff_speed_1,sounds05,1750
10095,buff_wither_1,,0,1,5,buff.buff_wither_1,sounds05,3000
10096,idle,,0,1,4,ent.3013.idle,sounds04,1463
10097,idle1,,0,0,4,ent.3014.idle1,sounds04,1875
10098,idle2,,0,0,4,ent.3014.idle2,sounds04,2375
10099,idle1,,0,1,4,ent.3015.idle1,sounds04,4000
10100,idle1,,0,0,4,ent.3016.idle1,sounds04,864
10101,idle1,,0,1,4,ent.3017.idle1,sounds04,864
10102,die,,0,1,3,ent.3018.die,sounds03,1375
10103,foot,,0,1,1,ent.3018.foot,sounds01,875
10104,hit1,,0,1,3,ent.3018.hit1,sounds03,625
10105,hit2,,0,0,3,ent.3018.hit2,sounds03,500
10106,idle1,,0,1,4,ent.3018.idle1,sounds04,1500
10107,idle2,,0,1,4,ent.3018.idle2,sounds04,1500
10108,idle3,,0,1,4,ent.3018.idle3,sounds04,1500
10109,die,,0,1,3,ent.3101.die,sounds03,1000
10110,dig1,,0,1,2,ent.3101.dig1,sounds02,875
10111,dig2,,0,0,2,ent.3101.dig2,sounds02,875
10112,dig3,,0,0,2,ent.3101.dig3,sounds02,875
10113,dig4,,0,0,2,ent.3101.dig4,sounds02,875
10114,digbreak,,0,1,2,ent.3101.digbreak,sounds02,1500
10115,escape,,0,1,4,ent.3101.escape,sounds04,1250
10116,foot1,,0,1,1,ent.3101.foot1,sounds01,250
10117,foot2,,0,1,1,ent.3101.foot2,sounds01,250
10118,foot3,,0,0,1,ent.3101.foot3,sounds01,250
10119,foot4,,0,0,1,ent.3101.foot4,sounds01,250
10120,foot5,,0,0,1,ent.3101.foot5,sounds01,250
10121,foot6,,0,0,1,ent.3101.foot6,sounds01,250
10122,hit1,,0,1,3,ent.3101.hit1,sounds03,875
10123,hit2,,0,0,3,ent.3101.hit2,sounds03,625
10124,idle1,,0,1,4,ent.3101.idle1,sounds04,1625
10125,idle2,,0,1,4,ent.3101.idle2,sounds04,1625
10126,idle3,,0,1,4,ent.3101.idle3,sounds04,1568
10127,die,,0,1,3,ent.3102.die,sounds03,625
10128,foot1,,0,0,1,ent.3102.foot1,sounds01,250
10129,foot2,,0,0,1,ent.3102.foot2,sounds01,250
10130,foot3,,0,0,1,ent.3102.foot3,sounds01,250
10131,foot4,,0,0,1,ent.3102.foot4,sounds01,250
10132,foot5,,0,0,1,ent.3102.foot5,sounds01,250
10133,foot6,,0,0,1,ent.3102.foot6,sounds01,250
10134,hit1,,0,1,3,ent.3102.hit1,sounds03,375
10135,hit2,,0,0,3,ent.3102.hit2,sounds03,375
10136,idle1,,0,1,4,ent.3102.idle1,sounds04,1250
10137,idle2,,0,1,4,ent.3102.idle2,sounds04,1750
10138,angry,,0,1,5,ent.3103.angry,sounds05,7000
10139,die,,0,1,3,ent.3103.die,sounds03,4000
10140,hit1,,0,1,3,ent.3103.hit1,sounds03,375
10141,hit2,,0,0,3,ent.3103.hit2,sounds03,375
10142,hit3,,0,0,3,ent.3103.hit3,sounds03,375
10143,idle1,,0,1,4,ent.3103.idle1,sounds04,4000
10144,idle2,,0,1,4,ent.3103.idle2,sounds04,4000
10145,magic,,0,1,5,ent.3103.magic,sounds05,3000
10146,die,,0,1,3,ent.3105.die,sounds03,1125
10147,escape,,0,1,3,ent.3105.escape,sounds03,1250
10148,foot1,,0,1,1,ent.3105.foot1,sounds01,634
10149,foot2,,0,1,1,ent.3105.foot2,sounds01,531
10150,foot3,,0,0,1,ent.3105.foot3,sounds01,478
10151,foot4,,0,0,1,ent.3105.foot4,sounds01,481
10152,hit1,,0,1,3,ent.3105.hit1,sounds03,750
10153,hit2,,0,0,3,ent.3105.hit2,sounds03,625
10154,hit3,,0,0,3,ent.3105.hit3,sounds03,625
10155,idle1,,0,1,4,ent.3105.idle1,sounds04,1625
10156,idle2,,0,1,4,ent.3105.idle2,sounds04,1125
10157,die,,0,1,3,ent.3107.die,sounds03,589
10158,foot1,,0,1,1,ent.3107.foot1,sounds01,530
10159,foot2,,0,0,1,ent.3107.foot2,sounds01,530
10160,foot3,,0,0,1,ent.3107.foot3,sounds01,563
10161,foot4,,0,0,1,ent.3107.foot4,sounds01,563
10162,hit1,,0,1,3,ent.3107.hit1,sounds03,615
10163,hit2,,0,0,3,ent.3107.hit2,sounds03,504
10164,hit3,,0,0,3,ent.3107.hit3,sounds03,750
10165,idle1,,0,1,4,ent.3107.idle1,sounds04,740
10166,idle2,,0,1,4,ent.3107.idle2,sounds04,875
10167,idle3,,0,1,4,ent.3107.idle3,sounds04,875
10168,idle4,,0,1,4,ent.3107.idle4,sounds04,687
10169,die,,0,1,3,ent.3109.die,sounds03,875
10170,foot1,,0,0,1,ent.3109.foot1,sounds01,250
10171,hit1,,0,1,3,ent.3109.hit1,sounds03,500
10172,hit2,,0,0,3,ent.3109.hit2,sounds03,500
10173,idle1,,0,1,4,ent.3109.idle1,sounds04,1125
10174,idle2,,0,1,4,ent.3109.idle2,sounds04,1125
10175,prepare,,0,1,5,ent.3109.prepare,sounds05,1250
10176,die,,0,1,3,ent.3110.die,sounds03,1000
10177,escape,,0,1,4,ent.3110.escape,sounds04,1875
10178,foot,,0,1,1,ent.3110.foot,sounds01,1000
10179,hit1,,0,1,3,ent.3110.hit1,sounds03,250
10180,hit2,,0,0,3,ent.3110.hit2,sounds03,250
10181,hit3,,0,0,3,ent.3110.hit3,sounds03,250
10182,idle1,,0,1,4,ent.3110.idle1,sounds04,1250
10183,idle2,,0,1,4,ent.3110.idle2,sounds04,1250
10184,idle3,,0,1,4,ent.3110.idle3,sounds04,1250
10185,joint,,0,1,5,ent.3110.joint,sounds05,3000
10186,projectile_throw,,0,1,2,ent.3110.projectile_throw,sounds02,2250
10187,talk1,,0,1,4,ent.3110.talk1,sounds04,750
10188,talk2,,0,1,4,ent.3110.talk2,sounds04,1500
