强化方向ID,强化方向名称,强化效果描述,消耗星星,材料ID,材料数量,强化文件（Skill文件，数组，多文件用|分割）,强化文件（Timeline文件，数组，多文件用|分割）,回溯星星消耗,是否允许广告重置
EnhanceID,EnhanceName,Description,StarCost,MaterialID,MaterialCount,EnhanceSkillFile,EnhanceFile,ResetStarCost,CanADReset
1000101,燎原爆轰,命中已被点燃的敌人时四周轰然扩散，造成范围伤害,1,11201,1,,Patch_FireBall_Weapon1,2,1
1000102,烈焰聚涌,单发伤害提升,1,11201,1,,Patch_FireBall_Weapon2,2,1
1000103,焚心绝效,命中瞬间燃尽目标身上所有有益状态,1,11207,1,,Patch_FireBall_Weapon3,2,1
1000104,连珠火雨,冷却时间骤降,1,11211,2,Patch_FireBall_Weapon4,,2,1
1000105,焚烬余火,对已被点燃的敌人触发灭顶之灾，额外造成伤害,2,11609,2,,Patch_FireBall_Weapon5,2,1
1000106,弹数+1,火球数量+1,3,11517,2,,Patch_FireBall_Weapon6,2,1
1000107,弹数+1,火球数量+1,2,11611,2,,Patch_FireBall_Weapon7,2,1
1000108,扇形火幕,火球以扇形扩散，角度增加 10 度，覆盖更广,3,11306,3,,Patch_FireBall_Weapon8,2,1
1000201,范围加强,喷射的范围更大,1,11201,1,,dragonRange,2,1
1000202,护盾强化,喷射过程中全程获得减伤护盾,1,11201,1,,dragonShield,2,1
1000203,后背发射,增加背后同时发射，耗能增加,1,11211,2,dragonBack,dragonBack,2,1
1000204,左右发射,增加左右两侧同时发射，耗能增加,1,11206,1,dragonSide,dragonSide,2,1
1000205,伤害强化,伤害增加30%,2,11780,1,,dragonDamageUp,2,1
1000206,击退强化,增加击退效果,3,11609,3,,dragonKnock,2,1
1000207,加速释放,cd减少2秒,2,11517,2,dragonCD,,2,1
1000208,火焰眩晕,对有点燃状态的敌人造成眩晕效果,3,11611,2,,dragonStun,2,1
1000301,眩晕加成,对眩晕状态的敌人命中时造成额外伤害,1,11201,1,,Patch_ChargeBlade_StunBonus_R1|Patch_ChargeBlade_StunBonus_R2|Patch_ChargeBlade_StunBonus_R3,2,1
1000302,眩晕连携,命中敌人时引发眩晕,1,11201,1,,Patch_ChargeBlade_StunLink_S1|Patch_ChargeBlade_StunLink_S2|Patch_ChargeBlade_StunLink_S3,2,1
1000303,伤害强化,伤害增强30%,1,11077,1,,Patch_ChargeBlade_Damage_R1|Patch_ChargeBlade_Damage_R2|Patch_ChargeBlade_Damage_R3,2,1
