法术ID,法术名,描述,图标,法术颜色(11517=红，11518=蓝，11520=绿，11519=黄，11521=紫，11522=无),法术等级,铭刻特殊材料(用|隔开）,稳定剂权重增益,属于符文卷轴,符文卷轴权重,属于武器类型,武器权重,解锁道具,技能文件名,铭刻特效
SpellID,SpellName,Description,Icon,Color,Level,SpecialItem,WeightBonus,IsTalisman,TalismanWeight,IsWeapon,WeaponWeight,UnlockItem,SkillName,GraveEffectID
10001,火球术,"烈焰凝聚，蓄力发射火球灼烧路径之敌
可以铭刻在<font color='#70D86D'>法杖</font>上",fireBall,11517,1,11678|11609,4280,,,14,50,,Skill_FireBall_Weapon,3167
10002,龙息术,"龙焰吐息，持续喷射扇形烈焰灼烧前方
可以铭刻在<font color='#70D86D'>法杖</font>上",dragonBreath,11517,3,11678|11611,6080,,,14,50,18004,Skill_DragonBreath_Weapon,3173
10003,蓄力大剑,"蓄势斩击，蓄力越久刀身越长伤害越高
可以铭刻在<font color='#70D86D'>剑,锤,矛</font>上",chargeBlade,11517,3,11678|11611,6080,,,1|3|4,50,18002,Skill_ChargeBlade_Weapon,3173
10004,旋风斩,"疾旋裂风，挥舞旋转持续伤敌且可移动
可以铭刻在<font color='#70D86D'>剑,锤,矛</font>上",whirlwind,11517,1,11678|11609,4280,,,1|3|4,50,,Skill_Whirlwind_Weapon,3167
10005,血浪,"血潮汹涌，向前释放血红冲击波令敌浴血
可以铭刻在<font color='#70D86D'>剑,锤,矛</font>上",bloodWave,11517,2,11678|11609|11611,5990,,,1|3|4,50,,Skill_BloodWave_Weapon,3167
10006,火焰箭,"烈焰附矢，火箭命中灼烧敌人持续受创
可以铭刻在<font color='#70D86D'>弓</font>上",fireArrow,11517,1,11678|11609,4280,,,9,50,,Skill_Fire_Weapon,3167
20001,破石术,"破岩裂石，强力击碎前方岩石障碍
可以铭刻在<font color='#70D86D'>纸张</font>上",stoneCleaving,11518,2,11678|11611|11609|11306,7000,17004,50,,,,,
20002,探矿术,"探脉寻踪，标记出周围隐藏的矿点
可以铭刻在<font color='#70D86D'>纸张</font>上",oreSeeking,11518,3,11678|11611|11206,7800,17005,10,,,,,
20003,洞悉术,"透影观灵，清晰探查范围内所有生灵
可以铭刻在<font color='#70D86D'>纸张</font>上",insightRevealing,11518,2,11678|11611|11609|11655,7000,17006,50,,,,,
20004,连跳术,"助跃踏空，赋予轻盈身形实现多次连跳
可以铭刻在<font color='#70D86D'>纸张</font>上",multiLeaping,11518,3,11678|11611|11068,7800,17007,10,,,,,
20005,隐身术,"隐息藏形，让自身隐匿无踪迹可寻
可以铭刻在<font color='#70D86D'>纸张</font>上",formConcealing,11518,2,11678|11611|11609|12718,7000,17008,50,,,,,
20006,浮空术,"浮空定身，令命中生灵滞于半空不动
可以铭刻在<font color='#70D86D'>纸张</font>上",airLevitating,11518,2,11678|11611|11609|11067,7000,17009,50,,,,,
20007,升高术,"筑阶登高，借方块之力抬升自身高度
可以铭刻在<font color='#70D86D'>纸张</font>上",heightElevating,11518,1,11678|11609,5990,17010,100,,,,,
20008,照明术,"引光逐暗，周身萦绕柔光驱散黑暗
可以铭刻在<font color='#70D86D'>纸张</font>上",lightInvoking,11518,1,11678|11609,5990,17011,100,,,,,
20009,冰球术,"寒冰凝珠，蓄力发射冰球冻伤命中之敌
可以铭刻在<font color='#70D86D'>法杖</font>上",iceBall,11518,1,11678|11609,5990,,,14,50,,Skill_IceBall_Weapon,3165
20010,暴风雪,"寒霜漫天，召唤暴风雪冻结区域持续伤敌
可以铭刻在<font color='#70D86D'>法杖</font>上",blizzard,11518,2,11678|11609|11611,7000,,,14,50,,Skill_Blizzard_Weapon,3165
20011,冲锋,"急冲猛进，向目标方向冲锋破敌并获得护盾
可以铭刻在<font color='#70D86D'>剑,锤,矛</font>上",rush,11518,3,11678|11611,5990,,,1|3|4,50,18001,Skill_Rush_Weapon,3171
20012,冰冻箭,"寒霜附矢，冰霜箭矢减速并概率冻结目标
可以铭刻在<font color='#70D86D'>弓</font>上",iceArrow,11518,1,11678|11609,5990,,,9,50,,Skill_Ice_Weapon,3165
