喷漆ID,喷漆显示时间(s),喷漆贴图信息
ID,ShowTime,PaintInfo
1,30,"[{""TexName"":""#spray_001_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_001_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_001_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_001_4"", ""Left"":0,""Up"":-1}]"
2,30,"[{""TexName"":""#spray_002_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_002_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_002_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_002_4"", ""Left"":0,""Up"":-1}]"
3,30,"[{""TexName"":""#spray_003_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_003_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_003_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_003_4"", ""Left"":0,""Up"":-1}]"
4,30,"[{""TexName"":""#spray_004_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_004_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_004_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_004_4"", ""Left"":0,""Up"":-1}]"
5,30,"[{""TexName"":""#spray_005_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_005_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_005_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_005_4"", ""Left"":0,""Up"":-1}]"
6,30,"[{""TexName"":""#spray_006_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_006_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_006_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_006_4"", ""Left"":0,""Up"":-1}]"
7,30,"[{""TexName"":""#spray_007_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_007_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_007_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_007_4"", ""Left"":0,""Up"":-1}]"
8,30,"[{""TexName"":""#spray_008_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_008_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_008_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_008_4"", ""Left"":0,""Up"":-1}]"
9,30,"[{""TexName"":""#spray_009_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_009_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_009_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_009_4"", ""Left"":0,""Up"":-1}]"
