id,坐骑名称备注,坐骑ID/真实ID=3430+1/2,头像ID,等级,真实ID,解锁方式/1道具可用迷你币补2只迷你币3只道具,解锁消耗道具ID,解锁数量（改读服务器）,解锁道具跟迷你币比例（改读服务器）,音效,购买提示类型（1前往家园和取消 2只有确定 3前往礼包和取消 4-前往迷你点抽奖和取消 5-前往扭蛋和取消 6-前往坐骑抽奖&取消）,购买提示,能力1,能力2,能力3,能力4,能力5,能力6,商城显示(填1=不显示，不填=显示),品质标签（1稀有/2珍贵/3传说/4典藏）,IP动态标签,道具ID,道具数量,坐骑类型（1=普通，2=高级，3=不能用通用碎片解锁，可以兑换为普通通用，4=不能用通用碎片解锁，可以兑换为高级通用）,同一碎片的最高级（1=是）,坐骑品质（1灰/2绿/3蓝/4紫/5橙/6钻，数字越大，品质越高，对应坐骑橱窗背景）,背景图,橱窗位置调整1|2|3|4 X坐标|Y坐标|缩放|角度,侧边栏背景色,变形坐骑是否可以左右移动（0=不可以，1=可以）,背景动画文件
ID,,BaseHorseID,HeadID,Level,RealHorseID,UnlockType,UnlockItemID,UnlockNum,Ratio,Sound,BuyTipsType,BuyTips,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Show,HorseTag,giflogo,GoodsID,GoodsNum,Type,FinalUnlockItem,Quality,BackgroundPic,Position,ShopTabBkg,Move,BackgroundAnim
1,化石龙,3430,3431,1,3431,3,20031,300,1,horse1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,1,2,,,,,,,,,,1,,6,horse_img_bg_04.png,40|0|1.2|45,1,,
2,化石龙,3430,3431,2,3432,3,10069,999,1,horse1,,,1,2,,,,,,,,,,,,6,horse_img_bg_04.png,40|0|1.2|45,1,,
3,化石龙,3430,3431,3,34303,3,10069,999,1,horse1,,,1,2,,,,,,,,,,,,6,horse_img_bg_04.png,40|0|1.2|45,1,,
4,化石龙,3430,3431,4,34304,3,10069,999,1,horse1,,,1,2,,,,,,,,,,,,6,horse_img_bg_04.png,40|0|1.2|45,1,,
5,化石龙,3430,3431,5,34305,3,10069,999,1,horse1,,,1,2,,,,,,,,,,,,6,horse_img_bg_04.png,40|0|1.2|45,1,,
6,化石龙,3430,3431,6,34306,3,10069,999,1,horse1,,,1,2,,,,,,,,,,,,6,horse_img_bg_04.png,40|0|1.2|45,1,,
7,化石龙,3430,3431,7,34307,3,10069,999,1,horse1,,,1,2,,,,,,,,,,,,6,horse_img_bg_04.png,40|0|1.2|45,1,,
8,化石龙,3430,3431,8,34308,3,10069,999,1,horse1,,,1,2,,,,,,,,,,,,6,horse_img_bg_04.png,40|0|1.2|45,1,,
9,化石龙,3430,3431,9,34309,3,10069,999,1,horse1,,,1,2,,,,,,,,,,,,6,horse_img_bg_04.png,40|0|1.2|45,1,,
10,超级化石龙,3430,3432,10,34310,3,10069,999,1,horse1,,,1,2,3,,,,,,,,,1,1,6,horse_img_bg_04.png,40|0|1.2|45,1,,
11,敏捷小飞鼠,3433,3434,1,3434,3,20032,300,1,horse2,2,解锁道具可通过运营活动获得。,1,4,,,,,,,,,,1,,5,horse_img_bg_04.png,0|50|1.5|45,1,,
12,敏捷小飞鼠,3433,3434,2,3435,3,10069,999,1,horse2,,,1,4,,,,,,,,,,,,5,horse_img_bg_04.png,0|50|1.5|45,1,,
13,敏捷小飞鼠,3433,3434,3,34333,3,10069,999,1,horse2,,,1,4,,,,,,,,,,,,5,horse_img_bg_04.png,0|50|1.5|45,1,,
14,敏捷小飞鼠,3433,3434,4,34334,3,10069,999,1,horse2,,,1,4,,,,,,,,,,,,5,horse_img_bg_04.png,0|50|1.5|45,1,,
15,敏捷小飞鼠,3433,3434,5,34335,3,10069,999,1,horse2,,,1,4,,,,,,,,,,,,5,horse_img_bg_04.png,0|50|1.5|45,1,,
16,敏捷小飞鼠,3433,3434,6,34336,3,10069,999,1,horse2,,,1,4,,,,,,,,,,,,5,horse_img_bg_04.png,0|50|1.5|45,1,,
17,敏捷小飞鼠,3433,3434,7,34337,3,10069,999,1,horse2,,,1,4,,,,,,,,,,,,5,horse_img_bg_04.png,0|50|1.5|45,1,,
18,敏捷小飞鼠,3433,3434,8,34338,3,10069,999,1,horse2,,,1,4,,,,,,,,,,,,5,horse_img_bg_04.png,0|50|1.5|45,1,,
19,敏捷小飞鼠,3433,3434,9,34339,3,10069,999,1,horse2,,,1,4,,,,,,,,,,,,5,horse_img_bg_04.png,0|50|1.5|45,1,,
20,机灵小飞鼠,3433,3435,10,34340,3,10069,999,1,horse2,,,1,4,5,,,,,,,,,1,1,5,horse_img_bg_04.png,0|50|1.5|45,1,,
21,麒麟,3436,3437,1,3437,3,20033,300,1,horse3,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,1,6,,,,,,,,,,1,,6,horse_img_bg_04.png,20|0|1.2|45,1,,
22,麒麟,3436,3437,2,3438,3,10069,999,2,horse3,,,1,6,,,,,,,,,,,,6,horse_img_bg_04.png,20|0|1.2|45,1,,
23,麒麟,3436,3437,3,34363,3,10069,999,3,horse3,,,1,6,,,,,,,,,,,,6,horse_img_bg_04.png,20|0|1.2|45,1,,
24,麒麟,3436,3437,4,34364,3,10069,999,4,horse3,,,1,6,,,,,,,,,,,,6,horse_img_bg_04.png,20|0|1.2|45,1,,
25,麒麟,3436,3437,5,34365,3,10069,999,5,horse3,,,1,6,,,,,,,,,,,,6,horse_img_bg_04.png,20|0|1.2|45,1,,
26,麒麟,3436,3437,6,34366,3,10069,999,6,horse3,,,1,6,,,,,,,,,,,,6,horse_img_bg_04.png,20|0|1.2|45,1,,
27,麒麟,3436,3437,7,34367,3,10069,999,7,horse3,,,1,6,,,,,,,,,,,,6,horse_img_bg_04.png,20|0|1.2|45,1,,
28,麒麟,3436,3437,8,34368,3,10069,999,8,horse3,,,1,6,,,,,,,,,,,,6,horse_img_bg_04.png,20|0|1.2|45,1,,
29,麒麟,3436,3437,9,34369,3,10069,999,9,horse3,,,1,6,,,,,,,,,,,,6,horse_img_bg_04.png,20|0|1.2|45,1,,
30,祥瑞麒麟,3436,3438,10,34370,3,10069,999,10,horse3,,,1,6,7,,,,,,,,,1,1,6,horse_img_bg_04.png,20|0|1.2|45,1,,
31,大陆行鸟,3439,3440,1,3440,3,20034,300,1,horse4,2,家园果实≥10级，可通过开果实收集能量，达成条件后免费领取该坐骑。,1,9,,,,,,,,,,,1,6,horse_img_bg_04.png,,1,,
32,迷你小白象,3442,3443,1,3443,3,20036,300,1,horse5,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,1,,,,,,,,,,,1,,5,horse_img_bg_04.png,50|30|1.5|45,1,,
33,迷你小白象,3442,3443,2,3444,3,10069,999,1,horse5,,,1,,,,,,,,,,,,,5,horse_img_bg_04.png,50|30|1.5|45,1,,
34,迷你小白象,3442,3443,3,34423,3,10069,999,1,horse5,,,1,,,,,,,,,,,,,5,horse_img_bg_04.png,50|30|1.5|45,1,,
35,迷你小白象,3442,3443,4,34424,3,10069,999,1,horse5,,,1,,,,,,,,,,,,,5,horse_img_bg_04.png,50|30|1.5|45,1,,
36,迷你小白象,3442,3443,5,34425,3,10069,999,1,horse5,,,1,,,,,,,,,,,,,5,horse_img_bg_04.png,50|30|1.5|45,1,,
37,迷你小白象,3442,3443,6,34426,3,10069,999,1,horse5,,,1,,,,,,,,,,,,,5,horse_img_bg_04.png,50|30|1.5|45,1,,
38,迷你小白象,3442,3443,7,34427,3,10069,999,1,horse5,,,1,,,,,,,,,,,,,5,horse_img_bg_04.png,50|30|1.5|45,1,,
39,迷你小白象,3442,3443,8,34428,3,10069,999,1,horse5,,,1,,,,,,,,,,,,,5,horse_img_bg_04.png,50|30|1.5|45,1,,
40,迷你小白象,3442,3443,9,34429,3,10069,999,1,horse5,,,1,,,,,,,,,,,,,5,horse_img_bg_04.png,50|30|1.5|45,1,,
41,盛典小白象,3442,3444,10,34430,3,10069,999,1,horse5,,,1,11,,,,,,,,,,1,1,5,horse_img_bg_04.png,50|30|1.5|45,1,,
42,海豹船长,3445,3446,1,3446,3,20038,300,1,horse6,2,解锁道具可通过运营活动获得。,1,13,,,,,,,,,,1,,5,horse_img_bg_04.png,0|30|1.5|45,1,,
43,海豹船长,3445,3446,2,3447,3,10069,999,1,horse6,,,1,13,,,,,,,,,,,,5,horse_img_bg_04.png,0|30|1.5|45,1,,
44,海豹船长,3445,3446,3,34453,3,10069,999,1,horse6,,,1,13,,,,,,,,,,,,5,horse_img_bg_04.png,0|30|1.5|45,1,,
45,海豹船长,3445,3446,4,34454,3,10069,999,1,horse6,,,1,13,,,,,,,,,,,,5,horse_img_bg_04.png,0|30|1.5|45,1,,
46,海豹船长,3445,3446,5,34455,3,10069,999,1,horse6,,,1,13,,,,,,,,,,,,5,horse_img_bg_04.png,0|30|1.5|45,1,,
47,海豹船长,3445,3446,6,34456,3,10069,999,1,horse6,,,1,13,,,,,,,,,,,,5,horse_img_bg_04.png,0|30|1.5|45,1,,
48,海豹船长,3445,3446,7,34457,3,10069,999,1,horse6,,,1,13,,,,,,,,,,,,5,horse_img_bg_04.png,0|30|1.5|45,1,,
49,海豹船长,3445,3446,8,34458,3,10069,999,1,horse6,,,1,13,,,,,,,,,,,,5,horse_img_bg_04.png,0|30|1.5|45,1,,
50,海豹船长,3445,3446,9,34459,3,10069,999,1,horse6,,,1,13,,,,,,,,,,,,5,horse_img_bg_04.png,0|30|1.5|45,1,,
51,超能海豹,3445,3447,10,34460,3,10069,999,1,horse6,,,1,13,14,,,,,,,,,1,1,5,horse_img_bg_04.png,0|30|1.5|45,1,,
52,,3448,3449,1,3449,3,,600,1,horse7,2,,,15,,,,,1,,,,,,,,,,1,,
53,,3450,3451,1,3451,3,,600,1,horse8,2,,,16,,,,,1,,,,,,,,,,1,,
54,,3452,3453,1,3453,3,,600,1,horse7,2,,,17,,,,,1,,,,,,,,,,1,,
55,猫咪1级,3454,3455,1,3455,3,25553,300,1,horse9,2,解锁道具可通过运营活动获得。,1,18,,,,,,,,,,2,,7,horse_img_bg_04.png,30|20|1.3|45,1,,110186
56,猫咪2级,3454,3455,2,3456,3,10069,999,1,horse9,,,1,18,,,,,,,,,,,,7,horse_img_bg_04.png,30|20|1.3|45,1,,110186
57,猫咪3级,3454,3455,3,34543,3,10069,999,1,horse9,,,1,18,,,,,,,,,,,,7,horse_img_bg_04.png,30|20|1.3|45,1,,110186
58,猫咪4级,3454,3455,4,34544,3,10069,999,1,horse9,,,1,18,,,,,,,,,,,,7,horse_img_bg_04.png,30|20|1.3|45,1,,110186
59,猫咪5级,3454,3455,5,34545,3,10069,999,1,horse9,,,1,18,,,,,,,,,,,,7,horse_img_bg_04.png,30|20|1.3|45,1,,110186
