id,备注,中文简体,此表为公共目录stringdef表的子表，根据分配的id填写，必须与公共表格id不冲突
ID,,Desc,
172101,新版商店,优先使用迷你豆,
172117,新版商店,时间从近到远,
172118,新版商店,时间从远到近,
172125,新版商店,该部件无法和试穿中的#cffda0a@1#n同时使用，已自动替换,
172126,新版商店,共搜索到[color=#68FFC1]@1[/color]个结果,
172127,新版商店,未搜索到结果,
172128,新版商店,共搜索到[color=#68FFC1]@1[/color]个结果，部分部件无法和试穿装扮[color=#68FFC1]@2[/color]同时使用,
172129,新版商店,无法和试穿中的[color=#68FFC1]@1[/color]同时使用，坚持试穿会自动替换,
172132,新版商店,发布时间,
172133,新版商店,来源,
172134,新版商店,当前界面中的部件无法和试穿装扮[color=#68FFC1]@1[/color]同时使用，坚持试穿会替换掉[color=#68FFC1]@2[/color]哦,
172135,新版商店,显示[color=#68FFC1]@1[/color]个结果,
172136,新版商店,有商品上新,
172140,新版商店,包含以下物品：,
172141,新版商店,装饰,
172144,新版商店,活动获取，无法购买,
172145,新版商店,礼盒获取，无法购买,
172146,新版商店,其他途径获取，无法购买,
172147,新版商店,碎片充足[color=#ffda0a]@1[/color]，建议单独结算,
172152,新版商店,迷你豆余额不足，是否用[color=#ffda0a]@1[/color]迷你币补足,
172153,新版商店,迷你豆余额不足，当前剩余迷你币无法补足，还差[color=#ffda0a]@1[/color]迷你币，推荐充值[color=#ffda0a]@2[/color]元（@3迷你币）,
172154,新版商店,迷你豆、迷你币余额均不足，总共还查[color=#ffda0a]@1[/color]迷你币，推荐充值[color=#ffda0a]@2[/color]元（@3迷你币）,
172156,新版商店,获得皮肤：,
172162,新版商店,该部件无法和当前正在穿戴的装扮#68FFC1@1#n同时使用，可去仓库搭配,
172163,新版商店,是否保存到仓库外观方案？,
172164,新版商店,快捷应用,
172165,新版商店,应用成功,
172166,新版商店,应用中,
172167,新版商店,首充双倍,
172168,新版商店,会员特权,
172169,新版商店,星工场,
172170,新版商店,上新,
172171,新版商店,充值,
172172,新版商店,角色外观,
172173,新版商店,辅助外观,
172174,新版充值,充值,
172175,新版充值,客服,
172176,新版充值,帮助,
172177,新版充值,大会员,
172178,新版充值,潮玩银享,
172179,新版充值,充值失败,
172180,新版充值,充值成功，请留意到账通知,
172181,新版充值,充值失败，请去APP Shore重新安装游戏,
172182,新版充值,充值失败，请联系客服获得帮助,
172183,新版充值,首充双倍,
172184,新版充值,商店,
172185,新版充值,仓库,
172186,新版充值,会员特权,
172187,新版充值,付款,
172188,新版充值,打开@1扫一扫继续付款,
172189,新版充值,代付,
172190,新版充值,充值/会员,
172191,新版商店,迷你豆商店,
172192,新版商店,根据健康保护规则，您本月充值金额已达[color=#F07543]上限[/color] 可通过以下方式[color=#F07543]调整额度[/color]，请选择:,
172193,新版商店,功能维护中，请选择联系客服,
172801,新版仓库,显示@1个结果,
172802,新版仓库,添加定制装扮,
172803,新版仓库,空位@1,
172804,新版仓库,修改方案名,
172805,新版仓库,开通大会员可解锁,
172806,新版仓库,添加星装扮,
172807,新版仓库,保存搭配方案,
172808,新版仓库,当前未搭配方案,
172809,新版仓库,该方案已有搭配方案，确认替换？,
172810,新版仓库,开通（1个月）迷你大会员,
172811,新版仓库,开通迷你大会员，解锁@1个会员专属预设位。还有更多特权等着你！,
172812,新版仓库,查看更多特权及档位,
172813,新版仓库,立即开通,
172814,新版仓库,编辑方案,
172815,新版仓库,保存到方案名称,
172816,新版仓库,角色骑乘,
172817,新版仓库,角色手持,
172818,新版仓库,拥有：,
