任务线id,分类（0=主线，1=支线，2=成就）,名称（成就必填，其他类型当备注，7个中文限定）,描述（成就必填，其他类型当备注）,任务线等级（成就必填，0=无等级，1=铜，2=银，3=金）,"任务列表（任务线包含的任务，索引NewSurviveTaskDef,成就里的所有任务并行）",自动追踪（当前任务线完成时自动追踪的任务线id，多个时按数组依次查找可追踪任务）,默认解锁（0=解锁，1锁定）,解锁类型（0=且，1=或）（默认解锁则该字段无效）,解锁前置任务列表(完成其中任务解锁当前任务线）,默认发现（0=发现，1隐藏）,发现类型（0=且，1=或）（默认发现则该字段无效）,发现前置任务列表（完成其中任务发现当前任务线）
ID,Group,Name,Desc,Rank,TaskSequence,FinishTrack,DefaultUnlock,UnlockType,UnlockSequence,DefaultDisplay,DisplayType,DisplaySequence
1001,0,终局,最终线,0,"[100101,100102]",[],1,0,[100901],1,0,[100901]
1002,0,新手任务1,新手任务1,0,"[100201,100202,100203,100204,100205,100206,100207,100208,100209,100210,100211]",[1003],0,0,[],0,0,[]
1003,0,新手任务2,新手任务2,0,"[100301,100302,100303,100304,100305,100306,100307,100308]",[1004],1,0,[100211],1,0,[100211]
1004,0,提升战力1,铁矿线,0,"[100401,100402,100403,100404,100405]",[1015],1,0,[100308],1,0,[100308]
1005,0,提升战力2,铝矿线,0,"[100501,100502,100503,100504]",[1006],1,0,[101502],1,0,[101502]
1006,0,提升战力3,钛矿线,0,"[100601,100602,100603,100604]",[1007],1,0,[100504],1,0,[100504]
1007,0,羽蛇神,羽蛇神,0,"[100701,100702,100703,100704,100705]","[1008,1001]",1,0,[100308],1,0,[100308]
1008,0,神圣果实,神圣果实,0,"[100801,100802,100803]","[1009,1004,1015,1005,1006,1010,1001]",1,0,[100705],1,0,[100705]
1009,0,星站,星站,0,[100901],"[1010,1006,1008,1001]",1,0,"[100603,100705]",1,0,"[100603,100705]"
1010,0,黑龙,黑龙,0,"[101001,101002,101003]","[1012,1011,1001]",1,0,[100901],1,0,[100901]
1011,0,提升战力4,钴矿线,0,"[101101,101102,101103,101104]","[1012,1001]",1,0,[101001],1,0,[101001]
1012,0,远古巨人,远古巨人,0,"[101201,101202,101203,101204]","[1014,1013,1001]",1,0,"[101003,100901]",1,0,"[101003,100901]"
1013,0,提升战力5,钨金线,0,"[101301,101302,101303,101304]","[1014,1001]",1,0,[101201],1,0,[101201]
1014,0,火山圣器,火山圣器,0,[101401],[1001],1,0,"[100803,101003,101204]",1,0,"[100803,101003,101204]"
1015,0,符文之力,符文主线教学,0,"[101501,101502]","[1005,1006,1007]",1,0,[100405],1,0,[100405]
2001,1,种植,种植教学线,0,"[200101,200102,200103,200104,200105]","[1003,1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[100307,200101]"
2002,1,烹饪,烹饪教学线,0,"[200201,200202,200203,200204,200205]","[1003,1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[200105,200201]"
2003,1,浇水,浇水教学,0,"[200301,200302,200303,200304]","[1003,1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[200104,200301]"
2004,1,土坑,土坑教学,0,"[200401,200402]","[1003,1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[200102,200401]"
2005,1,菇灯,菇灯教学,0,"[200501,200502,200503,200504]","[1003,1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",1,0,[100304],1,1,[100304]
2006,1,修理,修理教学,0,[200601],"[1003,1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",1,0,[100307],1,1,[100307]
2007,1,领地,领地教学,0,"[200701,200702,200703,200704,200705]","[1003,1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",1,0,[100308],1,1,[100308]
2008,1,养殖,养殖教学,0,"[200801,200802,200803,200804]","[1003,1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[200801,200704]"
2009,1,驯养,驯养教学,0,"[200901,200902,200903,200904,200905]","[1003,1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[200901,200804]"
2010,1,符文,符文教学,0,"[201001,201002]","[1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",1,0,[101502],1,0,[101502]
2011,1,石油,石油教学,0,"[201101,201102]","[1004,1015,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[100403,201101]"
2012,1,拍照,拍照教学,0,"[201201,201202,201203,201204]","[1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[100503,201201]"
2014,1,海洋支线,海洋支线,0,"[201401,201402,201403,201404,201405,201406]","[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[100705,201401]"
2015,1,钓鱼,钓鱼,0,"[201501,201502]","[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[201401,201501]"
2016,1,高级潜水服,高级潜水服,0,"[201601,201602]","[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[201405,201601]"
2017,1,沙漠支线,沙漠支线,0,"[201701,201702,201703,201704]","[2018,1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[100705,201701]"
2018,1,沙漠boss,沙漠boss,0,[201801],"[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,[201701]
2019,1,冰原支线,冰原支线,0,"[201901,201902,201903,201904,201905,201906]","[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,"[100705,201901]"
2020,1,雪山附峰支线,雪山附峰支线,0,"[202001,202002]","[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,[201903]
2021,1,村民支线,村民支线,0,"[202101,202102,202103]","[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,[201903]
2022,1,堆雪人支线,堆雪人支线,0,"[202201,202202,202203]","[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",0,0,[],1,1,[201902]
2023,1,黑龙支线,黑龙支线,0,"[202301,202302,202303,202304,202305,202306]","[1011,1012,1013,1014,1001]",1,0,[101003],1,0,[101003]
2024,1,烈焰星支线,烈焰星支线,0,"[202401,202402]","[1010,1011,1012,1013,1014,1001]",0,0,[],1,1,[101001]
2025,1,融合技术,双持教学,0,"[202501,202502]","[1004,1005,1006,1015,1007,1008,1009,1010,1011,1012,1013,1014,1001]",1,0,[100705],1,0,[100705]
2026,1,宇宙商人,宇宙商人,0,[202601],"[1012,1013,1014,1001]",1,0,[101201],1,0,[101201]
2034,1,野人伙伴支线1,部落,0,[203401],"[2027,1007,1001]",1,0,"[100705,100502]",1,0,"[100705,100502]"
