工具id,名称,类型：1斧，2镐，3铲，4耙，5剪刀，6工具，7弓，8头盔，9胸甲，10护腿，11靴子，12容器，13点火石，14投掷物，16披风（特殊），17空白卷轴，18火之卷轴，19坐骑鞍，20坐骑项圈，21混乱卷轴，22捕鱼网，23变异卷轴，24法杖，25家园回收（植物），26家园回收（动物），27合成锤，28锅，29鱼竿，32开关道具,子类型：1-剑，2-盾，3-锤，4-矛，5-镐，6-斧，7-铲，8-耙，9-弓，10-杖，11-箭，12-法球，13-回旋镖，14-新法杖,装扮ID,等级（装备的等级必须和美术模型名称尾缀数字相同，不然会影响到野人伙伴装备的显隐及行为树）,子等级（用于双持武器配置用的等级，不为0的才会参与到双持内）,技能冷却,效率加成,视野亮度,"攻击类型:0近程,1远程,2爆炸",攻击力,削韧值（默认5）,物理防御,近战防御,远程防御,爆炸防御,元素防御,混乱防御,燃烧防御,毒素防御,冰冻防御,移动速度加成,行走速度,潜行速度,奔跑速度,游泳速度,开垦速度（单位tick）,攻击速度倍率,韧性,韧性恢复间隔时间,韧性恢复速度,攻击附带buffid（使用该工具攻击命中其他生物时可对目标施加一个状态，本列填buff的id）,攻击附带bufflv（使用该工具攻击命中其他生物时可对目标施加一个状态，本列填buff的lv）,耐久,采集消耗耐久,攻击1次消耗耐久,耐压阈值（控制水压环境中装备是否会被损坏）,压力消耗耐久（配合耐压阈值使用，控制水压环境中装备耐久的消耗速度）,修复消耗经验,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,修理材料ID1,修复量1,修理材料ID2,修复量2,修理材料ID3,修复量3,修理材料ID4,修复量4,修理材料ID5,修复量5,修理材料ID6,修复量6,效果库ID1（仅限装备道具使用）,默认值1（时间需要除以10）,效果库ID2,默认值2,效果库ID3,默认值3,效果库ID4,默认值4,效果库ID5,默认值5,分数,自带附魔（旧字段，不要用，但是不可以删）,自带新附魔,消耗ItemID,每次消耗的数量,发射音效,蓄力时间,"蓄力种类(0-弓那种,1-必须蓄到完成才能用,2-无需蓄力)",蓄力消耗体力（默认不填就读luaconstans）,蓄力音效,释放音效,攻击连段动作列表,连段计时器,游泳攻击动作,骑乘攻击动作,第一人称挖掘动作,第一人称启动动作,第一人称循环动作,第一人称右键施放动作,工具启动动作,工具循环动作,工具攻击动作,第三人称待机,第三人称挖掘动作,第三人称循环,第三人称右键施放,第三人称攻击特效,工具切换模型/弓切换有箭和没箭模型,挥动音效,附魔特效比例(默认是1倍写200就是2倍),附魔UV动画配置JSON文件名,初速度加成,可否投掷/0=不可投掷，1=可投掷,温度防御,元素攻击,混乱攻击,燃烧攻击,毒素攻击,冰冻攻击,击退抗性（万分比）,评分（用于更换标准）
ID,Name,Type,SubType,AvatarPartID,Level,SubLevel,SkillCD,Efficiency,ViewLight,AttackType,Attack,TouReduce,ArmorPhysics,ArmorPunch,ArmorRange,ArmorExplosion,ArmorMagic,ArmorWither,ArmorFire,ArmorPoison,ArmorIce,MoveSpeed,WalkSpeed,SneakSpeed,RunSpeed,SwimSpeed,Farmingspeed,AtkSpeed,Toughness,TouRecoverDelay,TouRecoverSpeed,punchBuffId,punchBuffV,Duration,CollectDuration,AtkDuration,ResPressureLevel,PressDuration,RepairExp,IsGroup,RepairID1,RepairAmount1,RepairID2,RepairAmount2,RepairID3,RepairAmount3,RepairID4,RepairAmount4,RepairID5,RepairAmount5,RepairID6,RepairAmount6,EffectBankID1,Default1,EffectBankID2,Default2,EffectBankID3,Default3,EffectBankID4,Default4,EffectBankID5,Default5,Score,Enchant,Tunestone,ConsumeItemID,ConsumeCount,FireSound,AccumulatorTime,AccumulatorType,AccumulatorExpend,UseSound,AtkSound,AtkComboSeq,ComboTimer,SwimAtkSeq,RideAtkSeq,HandDigSeq,HandStartSeq,HandLoopSeq,HandAtkSeq,ToolStartSeq,ToolLoopSeq,ToolAtkSeq,BodyStandSeq,BodyDigSeq,BodyLoopSeq,BodyAtkSeq,BodyAtkEffect,SwitchModel,WieldSound,EnchantEffectScale,EnchantUvConfig,SpeedAdd,CanThrow,TemperatureDefense,AttackMagic,AttackWither,AttackFire,AttackPoison,AttackIce,RepelRes,MarkScore
10100,,0,,,1,,,50,,,8,,,0,,,,,,,,,,,,,,,,,,,,50,1,1,,,,0,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,0
11000,空手,0,,,1,,,0,,,5,,,0,,,,,,,,,,,,,,1.5,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,0
11231,聚物手套,0,,,1,,2,0,,,,,,0,,,,,,,,,,,,,,,,,,,,450,0,0,,,100,0,11824,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,0
12820,篮球衣,0,,,1,,2,0,,,,,,0,,,,,,,,,,,,,,,,,,,,450,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,0
12821,足球服,0,,,1,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,450,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,0
11001,黄铜斧,1,6,,2,2,15,80,,,22,5,,,,,,,,,,,,,,,,1.52,,,,,,180,1,2,,,100,0,11329,60,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,Axe_Natk_01,1,,,,,,101129,,,,,,,100147,,,,20000,,,,,,,,,,,900
11002,石斧,1,6,,1,1,,20,,,15,5,,,,,,,,,,,,,,,,1.52,,,,,,100,1,2,,,50,0,11627,50,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Axe_Natk_01,1,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,400
11003,铸铁斧,1,6,,3,3,10,140,,,29,5,,,,,,,,,,,,,,,,1.52,,,,,,270,1,2,,,150,0,11209,90,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,Axe_Natk_01,1,,,,,,101129,,,,,,,100147,,,,20000,weapon_11003,,,,,,,,,,1650
11004,钛合金斧,1,6,,5,4,5,300,,,42,5,,,,,,,,,,,,,,,,1.52,,,,,,1050,1,2,,,300,0,11330,350,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,Axe_Natk_01,1,,,,,,101129,,,,,,,100147,,,,20000,weapon_11004,,,,,,,,,,220
